DateTime,Entries,UniqueIPs
1526406264,97905,112099
1526407225,97946,112141
1526408186,98135,112331
1526409386,98127,112335
1526410344,98168,112384
1526411310,98120,112347
1526412276,98141,112365
1526413220,98164,112383
1526414180,98094,112303
1526416382,98098,112302
1526417804,98066,112262
1526418992,98397,112613
1526419945,98902,113092
1526420900,99412,113612
1526422111,98795,112965
1526423300,98721,112868
1526424272,98746,112900
1526425228,98686,112830
1526426182,98711,112844
1526427147,98693,112808
1526428094,98664,112774
1526429068,98655,112771
1526430019,98744,112873
1526430986,98669,112782
1526431964,98619,112714
1526432922,98705,112816
1526433858,98753,112846
1526434819,98804,112901
1526435781,98782,112877
1526436765,98755,112910
1526437693,98732,112869
1526438677,98715,112859
1526439625,98627,112762
1526440588,98651,112805
1526441551,98641,112790
1526442497,98602,112751
1526443466,98490,112628
1526444420,98498,112640
1526445389,98504,112657
1526446334,98402,112565
1526447305,98352,112516
1526448258,98336,112500
1526449229,98292,112456
1526450178,98267,112429
1526451143,98218,112376
1526452109,98168,112319
1526453071,98181,112360
1526454031,98104,112278
1526454982,98114,112296
1526455946,98069,112236
1526456898,98093,112266
1526457882,98051,112212
1526458815,98078,112257
1526459788,98050,112224
1526460738,97952,112090
1526461711,97921,112054
1526462659,97953,112081
1526463621,97957,112106
1526464578,97911,112051
1526465544,97869,112008
1526466493,97956,112100
1526467473,98143,112281
1526468416,98153,112300
1526469386,98154,112308
1526470359,98036,112176
1526471305,97935,112072
1526472278,97939,112077
1526473228,97879,112018
1526474186,97824,111960
1526475141,97797,111932
1526476112,97753,111888
1526477070,97697,111828
1526478020,97654,111782
1526478994,97633,111778
1526479937,97689,111842
1526480892,97741,111907
1526481877,97737,111909
1526482841,97707,111875
1526483781,97750,111931
1526484736,97761,111930
1526485714,97745,111894
1526486683,97797,111963
1526488856,97920,112089
1526489772,97932,112100
1526490750,97976,112149
1526491697,98035,112222
1526492701,98085,112261
1526493622,98162,112347
1526494589,98246,112439
1526495557,98295,112502
1526496501,98394,112614
1526497465,98448,112689
1526498417,98537,112801
1526499408,98572,112837
1526500342,98610,112880
1526501315,98598,112858
1526502280,98682,112954
1526503215,98801,113085
1526504211,98780,113069
1526505155,98823,113111
1526506107,99221,113517
1526507081,100055,114355
1526508034,100631,114943
1526508984,99891,114189
1526510644,99928,114215
1526512376,99968,114269
1526513295,99985,114298
1526514262,100051,114377
1526515220,100039,114369
1526516196,100052,114383
1526517139,100076,114416
1526518106,100116,114487
1526519059,100162,114530
1526520023,100193,114564
1526520995,100240,114625
1526521938,100254,114636
1526522896,100317,114691
1526523863,100397,114779
1526524814,100466,114852
1526525807,100458,114851
1526526744,100532,114934
1526527701,100575,114980
1526528678,100635,115044
1526529641,100646,115073
1526530576,100689,115115
1526531550,100704,115135
1526532493,100743,115179
1526533469,100766,115209
1526534415,100789,115234
1526535403,100820,115262
1526536336,100848,115292
1526537325,100868,115315
1526538255,100898,115356
1526539223,100926,115396
1526540176,100942,115426
1526541171,100982,115471
1526542092,101002,115479
1526543087,101023,115507
1526544027,101047,115539
1526544991,101086,115578
1526545939,101129,115630
1526546903,101159,115669
1526547867,101219,115745
1526548816,101286,115811
1526549803,101333,115875
1526550742,101349,115891
1526551712,101382,115939
1526552662,101425,115977
1526553613,101433,115984
1526554598,101464,116022
1526555545,101566,116140
1526556497,101561,116130
1526557461,101659,116241
1526558453,101658,116237
1526559646,101672,116252
1526560578,101719,116303
1526561539,101777,116376
1526562519,101806,116417
1526563475,101815,116443
1526564423,101831,116470
1526565379,101790,116413
1526566350,101815,116449
1526567292,101807,116440
1526568259,101809,116443
1526569237,101794,116425
1526570180,101861,116498
1526571137,101994,116633
1526572107,102072,116741
1526573059,102126,116830
1526574021,102141,116885
1526574988,102131,116875
1526575939,102109,116847
1526576897,102101,116830
1526577870,102072,116797
1526578816,102033,116754
1526579775,101997,116712
1526580748,102004,116719
1526581698,102030,116752
1526582656,102169,116918
