DateTime,AddedIPs,RemovedIPs
1526406264,1223,1223
1526407225,927,927
1526408186,1930,1930
1526409386,1484,1484
1526410344,772,772
1526411310,622,622
1526412276,709,709
1526413220,1211,1211
1526414180,273,273
1526416382,1422,1422
1526417804,1100,1100
1526418992,1269,1269
1526419945,612,612
1526420900,586,586
1526422111,2000,2000
1526423300,570,570
1526424272,988,988
1526425228,663,663
1526426182,863,863
1526427147,599,599
1526428094,712,712
1526429068,686,686
1526430019,906,906
1526430986,787,787
1526431964,661,661
1526432922,679,679
1526433858,568,568
1526434819,964,964
1526435781,353,353
1526436765,1509,1509
1526437693,164,164
1526438677,1244,1244
1526439625,92,92
1526440588,1276,1276
1526441551,477,477
1526442497,832,832
1526443466,65,65
1526444420,745,745
1526445389,1155,1155
1526446334,539,539
1526447305,928,928
1526448258,318,318
1526449229,874,874
1526450178,378,378
1526451143,891,891
1526452109,352,352
1526453071,1192,1192
1526454031,74,74
1526454982,1122,1122
1526455946,253,253
1526456898,1015,1015
1526457882,510,510
1526458815,1122,1122
1526459788,781,781
1526460738,478,478
1526461711,714,714
1526462659,922,922
1526463621,1498,1498
1526464578,448,448
1526465544,359,359
1526466493,2000,2000
1526467473,1949,2000
1526468416,1453,1402
1526469386,1069,1069
1526470359,440,440
1526471305,232,232
1526472278,147,147
1526473228,90,90
1526474186,111,111
1526475141,78,78
1526476112,113,113
1526477070,109,109
1526478020,87,87
1526478994,657,657
1526479937,1500,1500
1526480892,801,801
1526481877,722,722
1526482841,625,625
1526483781,636,636
1526484736,500,500
1526485714,674,674
1526486683,654,654
1526488856,1916,1916
1526489772,586,586
1526490750,727,727
1526491697,855,855
1526492701,877,877
1526493622,676,676
1526494589,987,987
1526495557,830,830
1526496501,759,759
1526497465,808,808
1526498417,918,918
1526499408,1013,1013
1526500342,929,929
1526501315,1093,1093
1526502280,1522,1522
1526503215,1173,1173
1526504211,636,636
1526505155,694,694
1526506107,665,665
1526507081,884,884
1526508034,588,588
1526508984,2000,2000
1526510644,1083,1083
1526512376,1115,1115
1526513295,670,670
1526514262,804,804
1526515220,488,488
1526516196,916,916
1526517139,621,621
1526518106,748,748
1526519059,812,812
1526520023,669,669
1526520995,799,799
1526521938,500,500
1526522896,805,805
1526523863,741,741
1526524814,708,708
1526525807,446,446
1526526744,837,837
1526527701,573,573
1526528678,908,908
1526529641,703,703
1526530576,673,673
1526531550,483,483
1526532493,792,792
1526533469,725,725
1526534415,666,666
1526535403,722,722
1526536336,524,524
1526537325,600,600
1526538255,752,752
1526539223,797,797
1526540176,619,619
1526541171,771,771
1526542092,495,495
1526543087,793,793
1526544027,702,702
1526544991,834,834
1526545939,633,633
1526546903,659,659
1526547867,806,806
1526548816,976,976
1526549803,748,748
1526550742,542,542
1526551712,1028,1028
1526552662,914,914
1526553613,267,267
1526554598,667,667
1526555545,979,979
1526556497,715,715
1526557461,1057,1057
1526558453,724,724
1526559646,876,876
1526560578,651,651
1526561539,650,650
1526562519,803,803
1526563475,713,713
1526564423,417,417
1526565379,494,494
1526566350,573,573
1526567292,524,524
1526568259,666,666
1526569237,379,379
1526570180,919,919
1526571137,1224,1224
1526572107,2000,2000
1526573059,1501,1501
1526574021,2000,2000
1526574988,176,176
1526575939,121,121
1526576897,118,118
1526577870,114,114
1526578816,61,61
1526579775,88,88
1526580748,82,82
1526581698,490,490
1526582656,1486,1486
1526583631,625,625
1526584577,711,711
1526585563,609,609
1526586492,491,491
1526587470,524,524
1526588415,595,595
1526589400,534,534
1526590336,565,565
1526591300,633,633
1526592261,642,642
1526593225,616,616
1526594189,662,662
1526595153,723,723
1526596092,2000,2000
1526598376,1478,1478
1526599459,789,789
1526600417,591,591
1526601391,759,759
1526602345,689,689
1526603296,662,662
1526604266,659,659
1526605222,720,720
1526606192,739,739
1526607137,499,499
1526608107,696,696
1526609068,486,486
1526610025,698,698
1526610976,731,731
1526611958,672,672
1526612897,707,707
1526613876,721,721
1526614813,775,775
1526615796,713,713
1526616741,812,812
1526617709,568,568
1526618662,831,831
1526619631,1076,1076
1526620573,796,796
1526621547,692,692
1526622494,652,652
1526623494,816,816
1526624414,647,647
1526625381,905,905
1526626336,582,582
1526627303,547,547
1526628266,647,647
1526629230,707,707
1526630180,493,493
1526631153,616,616
1526632094,774,774
1526633067,716,716
1526634044,624,624
1526634995,1305,1305
1526635936,1092,1092
1526636920,1681,1962
1526637865,403,122
1526638824,640,640
1526639784,642,642
1526640743,397,397
1526641698,237,237
1526642671,188,188
1526643615,141,141
1526644601,122,122
1526647042,540,540
1526647962,344,344
1526648935,433,433
1526649869,929,929
1526650843,681,681
1526651774,692,692
1526652751,572,572
1526653697,441,441
1526654684,386,386
1526655645,379,379
1526656828,1063,1063
1526657776,721,721
1526658763,957,957
1526659970,1116,1116
1526660893,661,661
1526661877,928,928
1526662818,743,743
1526663785,1013,1013
1526664738,797,797
1526665713,980,980
1526666910,1139,1139
1526667865,920,920
1526668813,1108,1108
1526669789,1113,1113
1526670750,868,868
1526671702,762,762
1526672668,812,812
1526673619,802,802
1526674586,843,843
1526675541,762,762
1526676505,894,894
1526677461,731,731
1526678412,844,844
1526679392,894,894
1526680337,1079,1079
1526681309,2000,2000
1526682270,1018,1018
1526683457,1189,1189
1526684416,865,865
1526685465,1111,1111
1526686599,918,918
1526687555,889,889
1526688506,1101,1101
