DateTime,AddedIPs,RemovedIPs
1524074416,0,1
1524085215,2,0
1524088815,0,1
1524092415,5,0
1524096020,11,1
1524099622,3,2
1524110423,1,0
1524114019,0,1
1524117623,1,2
1524121226,0,0
1524124823,1,2
1524128422,0,2
1524132019,2,2
1524135619,1,1
1524139218,2,1
1524142816,3,3
1524146415,1,6
1524150021,1,1
1524153619,0,3
1524157217,1,2
1524160818,1,9
1524164417,2,4
1524168020,2,4
1524171623,3,6
1524175221,4,0
1524178819,2,3
1524182418,1,0
1524186019,1,1
1524189615,1,4
1524193220,0,3
1524200423,0,3
1524204017,0,1
1524207619,1,0
1524214819,1,3
1524218423,1,1
1524225623,1,0
1524229220,1,0
1524232816,1,1
1524236417,2,1
1524247220,1,1
1524254418,3,0
1524258016,0,1
1524265225,0,1
1524272421,1,0
1524286821,0,1
1524304818,0,1
1524308423,1,0
1524312023,0,1
1524333618,0,1
1524340820,0,1
1524355218,1,0
1524380414,0,1
1524391216,0,1
1524398417,1,2
1524402019,0,2
1524405620,0,1
1524409225,1,0
1524412823,1,0
1524416424,0,1
1524420021,1,0
1524430817,3,0
1524434414,1,0
1524445216,3,0
1524448820,12,0
1524452425,1,0
1524456031,1,1
1524477614,1,0
1524517214,0,1
1524520815,0,2
1524528015,0,1
1524531618,0,1
1524535216,1,3
1524538818,1,0
1524546018,1,0
1524549621,1,1
1524553217,0,1
1524560422,2,0
1524564015,1,0
1524582016,0,2
1524585618,1,1
1524589218,1,0
1524592819,0,2
1524596420,1,1
1524600018,0,1
1524603619,1,0
1524607216,0,1
1524610820,1,0
1524614419,0,1
1524628819,0,1
1524650417,0,2
1524664818,1,0
1524675614,0,1
1524697214,0,1
1524704414,0,1
1524711616,0,1
1524718817,0,1
1524729618,1,1
1524733218,1,0
1524736824,5,0
1524740426,2,1
1524744021,3,0
1524747619,2,1
1524754821,3,0
1524758421,1,0
1524762023,0,1
1524765617,0,1
1524769224,1,2
1524772824,1,1
1524776422,3,1
1524780030,1,6
1524783623,1,1
1524787219,1,2
1524790819,0,1
1524794417,0,1
1524798017,3,3
1524801623,2,0
1524808818,1,0
1524816024,0,1
1524819622,2,0
1524823223,1,0
1524830423,1,0
1524837615,2,1
1524841215,1,1
1524844817,0,2
1524852015,0,1
1524855614,0,2
1524862815,1,1
1524873615,1,1
1524880816,1,0
1524884416,0,1
1524891617,1,0
1524898819,1,1
1524906016,0,1
1524909616,1,0
1524913216,0,1
1524916815,0,2
1524934815,1,0
1524942019,1,0
1524949219,2,0
1524963621,0,2
1524992416,1,0
1524996016,3,0
1524999620,4,0
1525003221,0,1
1525006819,2,2
1525010418,1,0
1525017618,0,2
1525021220,1,1
1525024821,0,1
1525035622,0,2
1525039218,1,5
1525042819,1,10
1525046422,1,2
1525050021,1,5
1525053622,0,14
1525057219,2,1
1525064421,0,1
1525075224,0,1
1525082424,0,1
1525089623,1,1
1525104026,1,0
1525114823,1,0
1525122013,0,1
1525125615,1,1
1525129213,0,1
1525136415,1,0
1525140015,0,1
1525143613,1,1
1525150816,1,1
1525154413,1,1
