DateTime,AddedIPs,RemovedIPs
1523080812,2,0
1523084412,0,1
1523088013,2,0
1523095210,1,0
1523098812,1,0
1523102410,1,0
1523113212,1,0
1523116811,0,1
1523124012,1,0
1523127612,0,1
1523131214,0,1
1523138414,1,2
1523145620,1,0
1523149222,1,0
1523156417,0,2
1523170810,0,1
1523196012,2,1
1523199610,1,0
1523203211,1,0
1523224816,1,0
1523235611,1,0
1523242811,2,0
1523253611,1,0
1523271617,1,0
1523275212,1,0
1523289613,1,0
1523293214,1,0
1523296812,0,23
1523314813,2,0
1523325610,2,1
1523329210,0,1
1523340015,2,1
1523343617,2,0
1523347217,1,0
1523350818,4,0
1523354413,1,2
1523358012,1,0
1523361610,0,5
1523372410,1,0
1523376010,3,0
1523379613,1,0
1523386811,1,0
1523397613,1,0
1523401214,0,1
1523404814,1,0
1523408415,1,0
1523415611,1,0
1523422811,1,0
1523433612,1,0
1523458812,1,0
1523466012,1,0
1523476813,0,1
1523484013,1,0
1523494817,1,2
1523498410,0,7
1523505616,1,0
1523512811,3,0
1523520013,1,1
1523523613,2,0
1523527212,3,0
1523534413,4,0
1523538013,4,0
1523541614,5,0
1523548811,3,1
1523552412,1,0
1523556012,4,0
1523559613,2,1
1523563213,3,4
1523566814,5,0
1523570417,1,0
1523592014,1,0
1523595620,1,1
1523610013,1,0
1523613612,1,0
1523620816,1,0
1523624412,1,1
1523635212,0,1
1523638813,1,0
1523642412,1,0
1523646012,1,0
1523649614,0,1
1523656813,1,0
1523660413,1,0
1523664013,0,3
1523671213,0,1
1523682014,2,1
1523692814,0,1
1523703616,0,1
1523707215,0,1
1523718014,0,1
1523728817,1,1
1523736021,1,2
1523739623,0,1
1523750414,1,2
1523754012,0,1
1523757612,0,1
1523772023,0,1
1523775621,1,1
1523782822,2,2
1523790015,0,1
1523793614,1,0
1523808013,0,1
1523818816,1,1
1523822415,0,1
1523833217,0,1
1523840416,0,1
1523847619,0,2
1523851213,1,0
1523862012,1,0
1523869212,1,0
1523876412,0,1
1523880012,0,1
1523905211,0,1
1523919611,0,2
1523926812,1,0
1523930411,1,1
1523934011,0,2
1523937611,0,2
1523944815,4,0
1523948411,1,0
1523952012,2,0
1523955611,0,2
1523959214,2,0
1523962812,3,0
1523966411,2,0
1523970016,0,2
1523973612,1,2
1523977211,1,4
1523980812,2,6
1523984411,0,2
1523988012,1,0
1523991612,0,1
1523995218,0,1
1523998811,0,1
1524006011,1,2
1524009611,0,1
1524016811,1,1
1524020412,0,1
1524027611,1,0
1524038412,0,1
1524056412,1,0
1524063619,0,1
1524070812,1,1
1524074413,0,1
1524085210,2,0
1524088811,0,1
1524092411,1,0
1524096016,1,0
1524099618,1,1
1524110419,1,0
1524117620,1,2
1524121222,0,0
1524124820,0,1
1524128422,0,2
1524132016,2,2
1524139217,1,1
1524142811,2,3
1524146410,0,5
1524153613,0,3
1524157214,0,2
1524160818,0,6
1524164413,0,4
1524168015,0,4
1524171617,1,5
1524175219,3,0
1524178815,1,1
1524182414,1,0
1524189611,1,0
1524200418,0,3
1524204014,0,1
1524207615,1,0
1524214815,1,3
1524218420,1,1
1524225618,1,2
1524232814,0,2
1524236417,2,1
1524247216,1,0
1524254417,3,0
1524258012,0,1
1524265221,0,1
1524272417,1,0
1524286817,0,1
1524333612,0,1
1524340812,0,1
1524355214,1,0
