DateTime,AddedIPs,RemovedIPs
1514592162,0,3
1514595755,0,1
1514602953,0,1
1514610165,0,1
1514649764,0,1
1514678573,0,1
1514714517,1,0
1514761341,1,0
1514826143,1,0
1514858566,0,1
1514977360,0,1
1514984562,1,0
1514998924,1,0
1515045722,1,0
1515081750,0,1
1515110550,0,1
1515124939,0,1
1515157372,0,1
1515193387,0,1
1515276126,1,0
1515322977,1,0
1515366153,0,1
1515373358,1,0
1515430974,1,0
1515452581,1,0
1515495756,0,1
1515499349,1,0
1515538976,0,1
1515585746,1,0
1515589352,0,1
1515592949,1,0
1515639777,2,0
1515679341,1,0
1515697380,1,0
1515700958,1,0
1515740514,0,1
1515805326,1,0
1515823375,0,1
1515902541,0,1
1515906171,0,1
1515927750,0,1
1515938561,0,1
1515960172,1,0
1515992545,1,0
1516006977,0,1
1516032155,0,1
1516035751,0,1
1516060938,0,1
1516104162,0,1
1516158164,1,0
1516194172,1,0
1516219386,1,0
1516222963,1,0
1516226536,1,0
1516244585,0,1
1516284177,0,1
1516302193,1,0
1516323770,1,0
1516327369,0,1
1516345346,1,0
1516348959,0,2
1516356174,0,1
1516384977,0,1
1516410153,1,0
1516438978,1,0
1516446170,0,1
1516478573,1,0
1516503789,1,0
1516546958,0,1
1516568584,2,0
1516669333,1,0
1516676557,2,1
1516683726,1,0
1516712524,0,1
1516752191,2,0
1516762993,0,1
1516780968,1,0
1516834968,0,1
1516842188,2,0
1516885358,0,1
1516906954,1,0
1516921394,0,1
1516928586,0,1
1516950150,0,1
1516968137,0,1
1516978993,2,0
1516996986,1,0
1517004169,1,1
1517022159,0,1
1517068943,0,1
1517083326,1,1
1517086958,1,0
1517101341,0,1
1517137309,1,0
1517158932,1,0
1517169751,1,0
1517173364,0,1
1517184166,1,0
1517220124,0,1
1517223714,0,1
1517238151,0,1
1517248997,1,0
1517256189,0,2
1517259786,0,3
1517263385,0,1
1517317352,1,0
1517328131,0,1
1517356991,1,0
1517360562,0,1
1517367788,1,0
1517385782,1,1
1517389323,1,0
1517403771,0,1
1517450553,0,1
1517479351,0,1
1517486436,1,0
1517518918,1,0
1517529795,0,1
1517536845,0,1
1517544112,1,0
1517551383,1,0
1517572988,1,0
1517608978,1,0
1517623763,1,0
1517659371,0,1
1517677379,0,1
1517695390,0,1
1517716943,0,1
1517731353,1,0
1517734946,0,2
1517774558,0,1
1517810564,0,1
1517860981,1,0
1517882587,1,0
1517918560,0,1
1517965352,0,1
1517990586,0,1
1517997767,0,2
1518030180,1,0
1518048129,1,0
1518062532,1,0
1518066133,1,0
1518084198,1,0
1518094956,1,0
1518105754,0,1
1518130999,1,0
1518159764,0,1
1518174169,0,1
1518206543,1,0
1518213781,0,1
1518231756,0,1
1518256974,1,0
1518260551,0,1
1518296589,0,1
1518303782,0,1
1518318166,0,1
1518354194,1,0
1518379375,0,1
1518400971,1,0
1518465747,0,1
1518505341,1,0
1518577386,1,0
1518638532,0,1
1518670988,0,1
1518688993,0,1
1518706989,1,1
1518739355,0,1
1518742955,0,1
1518753731,1,0
1518757338,0,1
1518760964,0,1
1518771781,0,1
1518778995,1,0
1518782598,1,0
1518807774,0,1
1518815010,1,0
1518825775,0,1
1518850925,1,0
1518886983,1,0
1518908589,0,1
1518958971,0,1
1518969720,1,0
1519005766,1,0
1519034592,0,1
1519110193,0,1
1519167758,0,1
1519178599,0,1
1519311738,0,1
1519336946,1,0
1519387345,0,1
1519419803,0,1
1519455769,0,1
1519477390,0,1
1519502551,1,0
1519506160,1,0
1519549390,1,0
1519552941,1,0
1519571006,1,0
1519621401,0,1
1519628543,0,1
1519682597,0,1
1519711388,0,1
1519758134,1,0
1519768983,3,0
1519772594,2,0
1519804996,2,0
1519808552,1,0
1519902139,1,0
1519927357,0,1
1519941761,0,1
1519992122,1,0
1520038981,1,0
1520128988,0,2
1520157736,0,1
1520204577,0,1
1520218990,0,1
1520229805,1,0
1520233368,1,0
1520363015,0,1
1520373795,0,1
1520377397,1,1
1520380990,0,3
1520416999,0,1
1520528592,1,0
1520564592,1,0
1520568189,0,1
1520596975,0,1
1520737374,1,0
1520748183,0,1
1520762572,1,0
1520780549,1,0
1520802177,0,1
1520827326,1,0
1520834554,0,1
1520899355,1,0
1520960589,2,0
1520967760,1,0
1520989399,2,0
1521032545,1,0
1521039796,1,0
1521064945,1,0
1521068560,0,1
1521219798,1,0
1521241395,1,0
1521255801,0,1
1521302596,0,1
1521309791,1,0
1521345802,1,0
1521360183,1,0
1521388959,0,1
1521414200,0,1
1521421356,1,0
1521432192,3,0
1521435796,1,0
1521475359,0,1
1521540195,1,0
1521561797,0,1
1521572565,2,0
1521576194,1,0
1521583404,0,1
1521590593,1,0
1521594167,0,2
1521604988,0,2
1521644595,1,0
1521673401,0,1
1521763344,0,1
1521810195,1,0
1521820968,1,0
1521846155,0,1
1521889361,0,1
1521896546,0,1
1521918155,0,1
1521943375,1,0
1521950542,1,1
1522001021,0,1
1522011750,0,1
1522015382,1,0
1522044189,0,1
1522047786,0,1
1522051386,0,2
1522195397,0,1
1522198981,0,1
1522202572,0,2
1522213379,1,0
1522224198,1,0
1522263798,0,1
1522270989,0,1
1522339385,1,0
1522346594,4,0
1522350200,1,0
1522353800,1,0
1522393380,0,1
1522411354,1,0
1522440181,0,1
1522443764,0,1
1522458199,0,1
1522490592,1,0
1522555380,0,1
1522587737,0,1
1522612988,0,1
1522620173,0,1
1522627332,1,0
1522630931,1,0
1522641796,1,0
1522645391,1,0
1522702996,1,0
1522738968,0,1
1522954975,1,0
1522958578,0,1
1522962166,1,0
1522965795,0,2
1522969376,0,1
1523030603,1,0
1523077377,2,0
1523120584,0,1
1523131352,0,1
1523145793,1,0
1523232172,1,0
1523246591,2,0
1523264579,1,0
1523268175,1,1
1523318606,0,1
1523325795,0,1
1523343813,1,1
1523365392,0,1
1523376171,0,1
1523379765,1,1
1523404965,1,0
1523603005,1,0
1523635376,0,1
1523664194,1,0
1523682176,0,1
1523746928,0,1
1523779399,0,1
1523836963,1,0
1523869401,0,1
1523901818,0,1
1523908991,0,1
1523948607,0,1
1523952218,1,0
1523988220,1,0
1524031393,1,0
1524035014,2,0
1524049419,0,1
1524078212,1,0
1524092549,0,0
1524096146,0,0
1524110575,1,0
1524121389,0,0
1524124992,1,0
1524128593,0,1
1524139361,0,1
1524153744,0,3
1524189720,1,0
1524214972,2,0
1524243749,1,0
1524247363,1,0
1524283345,0,1
1524351785,0,1
1524391370,1,0
1524423807,1,0
1524434555,1,0
1524448997,1,0
1524463389,1,0
1524502980,1,0
1524517399,2,1
1524524586,0,2
1524531757,1,0
1524560546,1,0
1524564183,0,1
1524585795,1,0
1524592972,0,1
1524625374,1,0
1524639800,0,3
1524646983,1,0
1524668556,1,0
1524679396,1,0
1524700937,1,0
1524711740,1,0
1524715350,0,1
1524726187,0,1
1524747741,1,1
1524783804,1,0
1524791003,1,0
1524812622,1,0
1524816203,1,0
1524819801,0,1
1524852204,0,1
1524855809,0,1
1524866620,3,0
1524888205,0,1
1524891784,0,1
1524938583,1,0
1524949410,1,0
1524967386,1,0
1524971002,1,0
1525010574,1,0
1525053780,2,0
1525068195,0,1
1525071773,0,1
1525086201,1,0
1525104194,0,1
1525107798,0,1
1525122199,0,2
1525169007,4,0
1525197798,0,1
1525230166,0,1
1525233769,1,0
1525237377,0,2
1525258952,0,1
1525273383,1,0
1525302193,0,1
1525338202,1,0
1525349005,1,0
1525377817,1,0
1525417395,1,1
1525421004,1,0
1525435373,1,0
1525446187,0,1
1525453370,1,0
1525457003,0,1
1525467813,0,1
1525478586,1,1
1525482187,1,0
1525496610,1,0
1525514595,0,1
1525521814,0,1
1525525405,0,1
1525543411,0,1
1525565004,0,1
1525590191,0,1
1525604561,1,0
1525636973,0,1
1525647788,1,0
1525655008,1,0
1525683762,0,1
1525687339,0,1
1525690985,0,2
1525723371,0,1
1525737800,1,0
1525795409,0,1
1525809773,1,0
1525824171,1,0
1525845812,0,1
1525853005,0,1
1525874601,0,3
1525885409,1,0
1525910574,1,1
1525921404,1,0
1525932185,1,0
1525943009,0,1
1525946603,0,1
1525964607,1,1
1525968206,2,0
1525975390,1,0
1526022210,0,1
1526029401,1,0
1526040170,0,1
1526043781,0,1
1526065391,1,0
1526101375,0,1
1526144580,0,1
1526158999,1,0
1526184149,2,0
1526198603,1,0
1526223810,1,0
1526252577,0,1
1526266952,0,1
1526281408,0,1
1526306588,0,0
1526328165,0,1
1526342585,0,1
1526400208,0,2
1526450558,0,1
1526461350,1,0
1526508172,0,1
1526526195,1,0
1526536997,0,1
1526565806,1,0
1526573014,0,1
1526576597,0,1
1526580190,0,1
1526583756,1,0
1526587385,0,1
1526612586,0,1
1526619786,1,0
1526659387,1,0
1526666569,1,0
1526680992,0,1
1526684580,0,1
1526688206,1,0
1526691777,0,1
1526702607,0,1
1526716970,1,0
1526752989,1,0
1526788993,0,1
1526792559,1,0
1526810577,0,1
1526835789,0,1
1526886206,1,0
