DateTime,AddedIPs,RemovedIPs
1524809017,2,1
1524812641,3,2
1524816222,3,0
1524819820,2,1
1524823418,2,0
1524827036,1,1
1524830624,1,0
1524834215,2,0
1524837812,2,0
1524841393,3,1
1524845003,1,1
1524848626,2,1
1524852224,1,0
1524855829,1,2
1524859425,2,2
1524863033,5,0
1524866640,3,0
1524870221,0,2
1524873818,1,4
1524884613,1,3
1524888226,0,1
1524891804,1,3
1524895421,2,0
1524899026,1,0
1524902625,0,2
1524906225,0,2
1524909820,3,1
1524913422,0,2
1524916989,0,1
1524920609,0,1
1524924221,0,1
1524927816,1,1
1524931427,0,1
1524935029,0,3
1524938602,0,1
1524942206,0,2
1524945837,1,2
1524949429,0,2
1524953028,3,1
1524956631,0,3
1524960224,0,4
1524963838,1,1
1524967405,2,1
1524971021,2,0
1524974619,10,2
1524978230,0,2
1524985374,0,1
1524989004,2,3
1524992617,2,1
1524999821,1,1
1525003417,1,3
1525007011,4,1
1525010593,1,1
1525014177,4,0
1525017777,5,3
1525021378,1,1
1525024962,1,0
1525028575,2,3
1525032155,2,1
1525035824,0,1
1525039422,0,1
1525043017,3,2
1525046627,6,2
1525050222,2,3
1525053799,0,2
1525057408,2,3
1525060992,0,3
1525064578,1,1
1525071793,1,1
1525079025,3,0
1525082629,0,1
1525086220,0,1
1525089828,1,1
1525097046,1,3
1525100618,1,1
1525107818,1,0
1525111420,0,2
1525122219,1,2
1525125826,2,0
1525129424,2,1
1525133029,1,1
1525136624,1,2
1525140222,1,0
1525143823,0,2
1525147415,0,1
1525151002,1,0
1525154605,1,0
1525158220,1,2
1525169027,1,2
1525172622,0,2
1525176226,0,5
1525179832,1,0
1525183424,1,1
1525186997,0,2
1525190632,0,2
1525194235,2,1
1525201421,0,4
1525204977,2,3
1525208626,1,2
1525212134,0,1
1525215758,1,2
1525219440,1,1
1525222959,3,0
1525226567,1,0
1525233788,0,1
1525237395,1,0
1525240978,0,1
1525244609,0,2
1525251812,1,1
1525255403,1,4
1525258970,0,1
1525262618,1,1
1525266219,0,1
1525269808,1,0
1525273401,1,4
1525280586,2,1
1525284202,0,1
1525287819,1,1
1525291426,1,1
1525295023,1,0
1525305816,5,2
1525309424,2,0
1525313001,1,0
1525323782,0,2
1525338221,0,1
1525341814,0,1
1525345419,3,0
1525349023,2,1
1525352627,1,2
1525356216,1,0
1525359806,1,3
1525363408,2,1
1525367031,2,1
1525370638,0,1
1525374227,2,2
1525377835,0,1
1525381427,2,4
1525384996,2,0
1525388619,5,0
1525392218,4,2
1525395825,2,1
1525399429,1,1
1525403036,0,3
1525406597,0,3
1525410204,0,1
1525413827,0,1
1525417413,2,3
1525421022,0,3
1525424594,0,2
1525428222,2,0
1525431775,2,2
1525435388,2,1
1525439001,3,1
1525442602,2,2
1525446205,0,6
1525449802,0,2
1525453388,2,1
1525457020,1,1
1525460632,2,1
1525464228,0,1
1525467831,2,4
1525471419,0,3
1525474996,1,0
1525478604,0,2
1525482204,0,1
1525489393,2,0
1525496628,0,1
1525507420,2,0
1525511027,2,0
1525514613,2,3
1525525424,4,1
1525529014,2,0
1525532590,1,0
1525536195,1,2
1525539826,1,0
1525543428,2,1
1525554186,2,0
1525557773,0,1
1525561392,3,0
1525568573,1,1
1525572187,1,1
1525575815,0,1
1525579408,0,7
1525586619,1,0
1525590209,0,1
1525593806,1,1
1525601019,1,0
1525604578,1,2
1525611811,1,1
1525619014,2,3
1525622582,0,3
1525626168,1,0
1525629786,3,1
1525633398,4,1
1525636991,1,1
1525644224,1,2
1525647806,1,0
1525651426,0,4
1525655025,1,5
1525658617,2,1
1525662182,2,2
1525665818,1,1
1525669427,1,2
1525673013,0,3
1525676625,1,4
1525680224,1,2
1525683779,1,4
1525687356,0,1
1525691000,1,1
1525698204,1,1
1525701806,1,1
1525705394,4,2
1525708983,7,0
1525712620,1,2
1525716197,1,1
1525719808,0,3
1525723388,1,0
1525730569,2,0
1525734214,8,3
1525737817,10,0
1525741412,3,0
1525744991,8,1
1525748587,7,0
1525752178,2,2
1525755803,0,1
1525759400,0,1
1525762989,0,2
1525770202,0,1
1525773809,1,2
1525777433,0,1
1525784606,1,0
1525788180,2,0
1525791819,1,2
1525795428,1,0
1525799031,2,1
1525802612,1,0
1525809791,2,1
1525813404,1,2
1525820624,3,1
1525824190,1,1
1525827769,0,3
1525831367,8,0
1525834971,0,1
1525838627,1,1
1525842226,1,2
1525849437,1,0
1525853021,0,1
1525856627,0,2
1525860226,1,2
1525863834,2,0
1525871021,1,0
1525874621,1,0
1525878215,1,3
1525881829,2,0
1525885428,1,1
1525889031,1,0
1525892634,1,1
1525896218,0,2
1525899810,1,1
1525903412,1,1
1525907015,1,1
1525910594,1,2
1525914181,2,2
1525921422,2,1
1525925029,1,0
1525928607,0,1
1525932206,0,1
1525935784,1,1
1525939402,0,2
1525950205,0,2
1525953792,0,2
1525957378,1,0
1525960978,3,2
1525964626,1,1
1525968224,1,1
