DateTime,AddedIPs,RemovedIPs
1525093914,82,25
1525097514,52,32
1525101119,56,39
1525104718,38,61
1525108317,64,30
1525111921,46,28
1525115525,37,20
1525119124,44,34
1525122718,35,44
1525126322,58,24
1525129928,55,68
1525133524,32,43
1525137121,49,46
1525140722,30,38
1525144321,22,50
1525151516,42,106
1525155108,37,28
1525158716,20,42
1525162312,24,67
1525165915,30,51
1525169510,25,35
1525173113,24,53
1525176718,33,52
1525180312,30,49
1525183908,26,33
1525187507,25,48
1525191110,19,50
1525194707,14,45
1525198309,27,36
1525201904,30,51
1525205509,43,40
1525209073,32,76
1525212696,16,80
1525216284,25,71
1525219924,13,73
1525223496,19,61
1525227086,36,69
1525230691,19,78
1525234286,12,71
1525237882,20,90
1525241476,23,80
1525245077,36,77
1525248675,17,71
1525252266,29,83
1525255865,12,92
1525259468,26,61
1525263058,18,83
1525266658,35,62
1525270251,32,68
1525273857,27,62
1525277457,14,50
1525281056,14,44
1525284654,15,50
1525288243,42,54
1525291852,26,43
1525295447,16,40
1525299046,27,52
1525302647,20,34
1525306246,21,42
1525309842,21,37
1525313444,22,46
1525317048,40,51
1525320647,23,44
1525324240,10,41
1525327835,12,46
1525331437,22,59
1525335030,32,48
1525338636,40,43
1525342232,31,41
1525345836,31,45
1525349443,28,56
1525353031,17,54
1525356627,23,141
1525360227,18,125
1525363811,24,104
1525367410,35,76
1525371016,16,91
1525374607,6,68
1525378208,12,86
1525381803,23,71
1525385404,34,72
1525388997,13,55
1525392598,18,74
1525396193,12,60
1525399789,19,70
1525403386,31,84
1525406980,18,60
1525410580,36,66
1525414171,12,78
1525417776,30,60
1525421372,18,72
1525424968,22,85
1525428575,94,58
1525432170,100,46
1525435774,70,64
1525439374,51,76
1525442973,53,60
1525446573,31,42
1525450176,53,45
1525453768,46,49
1525457369,34,66
1525460968,24,65
1525464563,34,54
1525468164,24,55
1525471762,31,33
1525475358,19,36
1525478965,30,37
1525482559,27,37
1525486157,21,45
1525489757,27,35
1525493352,28,31
1525496956,25,28
1525500556,20,45
1525504156,15,43
1525507750,18,52
1525511353,8,60
1525514956,123,51
1525518558,68,44
1525522162,39,46
1525525763,60,40
1525529358,52,60
1525532956,30,47
1525536564,34,19
1525540158,27,31
1525543762,34,27
1525547358,18,53
1525550958,11,29
1525554553,34,35
1525558159,23,35
1525561757,29,36
1525568949,45,93
1525572548,8,36
1525576151,28,46
1525579751,19,33
1525583349,26,40
1525586948,24,26
1525590543,17,46
1525594139,9,51
1525597739,22,49
1525601339,22,39
1525604943,18,50
1525608541,21,41
1525612137,32,69
1525615738,21,45
1525619335,31,69
1525622929,11,67
1525626532,38,58
1525630126,39,70
1525633726,27,89
1525637320,13,81
1525640918,18,30
1525644521,15,33
1525648114,40,35
1525651723,14,12
1525655321,22,27
1525658919,12,49
1525662513,9,26
1525666116,9,38
1525669711,20,29
1525673311,37,27
1525676920,26,36
1525680532,17,46
1525684111,20,36
1525687704,20,27
1525691317,30,35
1525694935,472,61
1525698537,144,100
1525702137,69,62
1525705740,70,30
1525709348,58,38
1525712939,53,39
1525716536,45,40
1525720147,167,41
1525723743,62,43
1525727351,51,22
1525730956,45,20
1525734554,42,36
1525738157,56,26
1525741754,31,46
1525745354,43,32
1525748952,37,28
1525752553,33,27
1525756155,22,31
1525759753,32,38
1525763356,52,29
1525766961,33,39
1525770552,28,35
1525774150,16,40
1525777757,27,34
1525781352,41,41
1525784947,21,44
1525788550,30,35
1525792142,23,44
1525795751,30,34
1525799350,22,25
1525802945,24,49
1525806548,34,36
1525810146,20,55
1525813742,12,47
1525817339,20,30
1525820941,20,33
1525824540,34,31
1525828140,13,30
1525831732,23,51
1525835337,20,33
1525838931,24,21
1525842541,20,23
1525846136,25,34
1525849742,34,51
1525853341,22,36
1525856945,111,40
1525860558,301,22
1525864169,231,32
1525867780,160,29
1525871379,102,42
1525874985,78,46
1525878580,64,40
1525882180,89,20
1525885793,192,27
1525889402,80,25
1525892995,60,45
1525896594,52,31
1525900195,34,26
1525903798,27,36
1525907397,41,34
1525910997,43,25
1525914595,43,34
1525918199,20,30
1525921792,38,48
1525925397,27,25
1525928991,24,30
1525932594,21,19
1525936204,21,27
1525939806,38,52
1525943392,27,34
1525946991,18,43
1525950588,16,42
1525954188,23,29
1525957792,42,25
1525961390,29,28
1525964995,30,31
1525968592,14,33
1525972189,30,51
1525975790,20,28
1525979386,32,14
1525982992,33,22
1525986591,25,33
1525990188,10,43
1525993785,15,23
1525997391,10,21
1526000987,40,28
1526004585,25,32
1526008188,17,40
1526011788,25,34
1526015385,17,44
1526018986,14,26
