DateTime,Entries,UniqueIPs
1525101033,7023,7023
1525104629,6993,6993
1525108231,7009,7009
1525111832,7011,7011
1525115434,7017,7017
1525119036,7020,7020
1525122635,7014,7014
1525126236,7037,7037
1525129835,7028,7028
1525133434,7020,7020
1525137031,7021,7021
1525140628,7015,7015
1525144231,6990,6990
1525147827,6960,6960
1525151420,6935,6935
1525155018,6941,6941
1525158626,6923,6923
1525162223,6881,6881
1525165824,6852,6852
1525169421,6839,6839
1525173025,6809,6809
1525176628,6797,6797
1525180227,6777,6777
1525183820,6771,6771
1525187415,6746,6746
1525191016,6712,6712
1525194617,6686,6686
1525198218,6678,6678
1525201818,6662,6662
1525205418,6647,6647
1525208993,6626,6626
1525212603,6597,6597
1525216199,6575,6575
1525219812,6543,6543
1525223408,6524,6524
1525227006,6517,6517
1525230604,6492,6492
1525234199,6455,6455
1525237803,6414,6414
1525241401,6389,6389
1525244994,6387,6387
1525248593,6366,6366
1525252190,6344,6344
1525255791,6301,6301
1525259394,6282,6282
1525262989,6247,6247
1525266594,6243,6243
1525270191,6232,6232
1525273788,6223,6223
1525277391,6191,6191
1525280989,6170,6170
1525284591,6159,6159
1525288188,6167,6167
1525291791,6159,6159
1525295388,6150,6150
1525298988,6135,6135
1525302583,6131,6131
1525306189,6119,6119
1525309785,6110,6110
1525313383,6101,6101
1525316988,6111,6111
1525320591,6101,6101
1525324188,6079,6079
1525327786,6057,6057
1525331381,6039,6039
1525334973,6049,6049
1525338586,6045,6045
1525342182,6049,6049
1525345782,6049,6049
1525349383,6043,6043
1525352980,6022,6022
1525356574,5941,5941
1525360174,5876,5876
1525363772,5839,5839
1525367371,5836,5836
1525370974,5792,5792
1525374569,5750,5750
1525378167,5699,5699
1525381770,5682,5682
1525385365,5659,5659
1525388965,5634,5634
1525392562,5610,5610
1525396161,5584,5584
1525399761,5570,5570
1525403358,5540,5540
1525406948,5522,5522
1525410556,5521,5521
1525414151,5491,5491
1525417755,5481,5481
1525421354,5466,5466
1525424953,5430,5430
1525428557,5455,5455
1525432147,5482,5482
1525435756,5488,5488
1525439349,5464,5464
1525442948,5452,5452
1525446544,5460,5460
1525450151,5463,5463
1525453744,5463,5463
1525457345,5441,5441
1525460950,5424,5424
1525464546,5409,5409
1525468145,5382,5382
1525471742,5383,5383
1525475340,5373,5373
1525478945,5382,5382
1525482539,5378,5378
1525486140,5351,5351
1525489739,5350,5350
1525493339,5353,5353
1525496939,5356,5356
1525500537,5346,5346
1525504140,5328,5328
1525507735,5313,5313
1525511333,5282,5282
1525514935,5312,5312
1525518537,5325,5325
1525522142,5317,5317
1525525749,5352,5352
1525529339,5344,5344
1525532940,5331,5331
1525536543,5338,5338
