DateTime,AddedIPs,RemovedIPs
1524726208,0,1
1524729807,1,1
1524737014,11,0
1524740611,1,0
1524744211,3,1
1524747820,1,0
1524755010,1,1
1524758618,1,1
1524762225,1,1
1524765817,1,1
1524769410,3,1
1524773019,2,1
1524776608,3,6
1524780214,0,2
1524783819,3,9
1524787414,5,4
1524791016,0,1
1524794615,0,2
1524801817,4,0
1524805412,1,0
1524809009,1,1
1524812622,1,3
1524816217,1,0
1524819821,2,0
1524827017,1,1
1524830613,1,5
1524834223,2,3
1524837809,0,1
1524841418,2,1
1524845023,3,2
1524848615,0,2
1524855823,1,0
1524859412,1,2
1524866624,1,1
1524870213,1,2
1524873810,7,3
1524877414,0,3
1524884621,1,0
1524888218,0,2
1524891824,1,0
1524899015,2,0
1524909813,0,3
1524913410,0,1
1524917016,1,3
1524920604,2,4
1524924212,2,1
1524927805,1,0
1524931415,1,1
1524935016,1,3
1524938612,1,1
1524945825,2,1
1524949419,0,1
1524953021,2,0
1524956622,2,2
1524960212,2,2
1524963827,2,2
1524967421,0,1
1524971010,0,2
1524981814,2,0
1524985418,1,3
1524989020,1,2
1524992611,0,1
1524999812,3,1
1525014214,1,0
1525017817,1,1
1525021413,1,1
1525025018,0,5
1525028617,1,2
1525032227,3,1
1525035827,0,1
1525039423,1,3
1525043009,0,7
1525046617,0,2
1525050211,1,1
1525053819,2,1
1525057419,0,2
1525061024,1,0
1525064614,0,1
1525068208,1,2
1525071817,0,5
1525075412,1,3
1525079008,0,2
1525082606,2,0
1525089818,1,2
1525097019,1,3
1525100604,1,7
1525104211,1,1
1525107811,0,2
1525111412,1,0
1525115016,2,1
1525122210,0,2
1525125806,1,0
1525129416,0,1
1525133015,3,1
1525136617,0,1
1525140216,0,2
1525143802,0,1
1525147407,2,0
1525154602,0,1
1525158219,1,0
1525161814,0,2
1525165408,0,1
1525172604,0,1
1525179808,2,0
1525187003,1,2
1525190620,1,1
1525194219,0,3
1525197807,2,0
1525201409,0,3
1525205017,0,1
1525212210,1,1
1525215812,3,2
1525223019,0,2
1525233805,1,1
1525237423,0,2
1525241023,0,1
1525244603,0,1
1525248217,2,0
1525255404,0,1
1525259014,1,0
1525262614,4,4
1525266213,4,0
1525269808,1,2
1525273415,1,0
1525277014,0,1
1525284216,0,3
1525287809,0,1
1525291421,1,1
1525295008,1,0
1525302207,1,0
1525305808,5,0
1525309406,2,0
1525316597,4,1
1525320221,0,2
1525327413,0,1
1525331013,7,0
1525334603,5,0
1525338210,2,2
1525341810,1,9
1525345413,4,1
1525349012,0,1
1525352608,3,1
1525356210,3,2
1525359812,1,1
1525363421,4,0
1525367010,2,3
1525370615,0,2
1525374217,1,1
1525377827,2,1
1525381419,0,1
1525385024,1,0
1525388621,3,3
1525392212,1,5
1525406606,0,3
1525410216,1,0
