DateTime,AddedIPs,RemovedIPs
1522551016,1,0
1522554916,2,0
1522556417,1,0
1522557917,1,0
1522559419,2,0
1522560317,1,0
1522561217,1,0
1522562417,13,0
1522562716,1,0
1522563617,1,0
1522564516,1,0
1522564818,1,0
1522570218,1,0
1522570819,1,0
1522571717,1,0
1522572916,1,0
1522573516,1,0
1522576819,1,0
1522578916,1,0
1522581017,1,0
1522581316,1,0
1522585218,1,0
1522587317,1,0
1522590616,3,0
1522594818,1,0
1522595716,4,0
1522596017,1,0
1522598116,1,0
1522598418,1,0
1522599917,1,0
1522600220,1,0
1522609217,3,0
1522617616,1,0
1522625417,1,0
1522626017,1,0
1522626316,1,0
1522626916,3,1
1522627216,2,0
1522634116,1,0
1522634716,1,0
1522636817,1,0
1522644017,1,0
1522644917,1,0
1522645816,1,0
1522651217,1,0
1522656018,1,0
1522659017,1,0
1522659316,1,0
1522663217,1,0
1522665917,1,0
1522666517,1,0
1522672817,1,0
1522673118,1,0
1522675218,1,0
1522690818,1,0
1522718117,1,0
1522722617,1,0
1522723815,1,0
1522725617,1,0
1522726217,1,0
1522726816,1,0
1522727717,1,0
1522729518,1,0
1522730117,1,0
1522734017,2,0
1522734915,2,0
1522736416,1,0
1522737616,1,0
1522738818,1,0
1522749916,1,0
1522756216,1,0
1522757417,1,0
1522762517,1,0
1522764019,1,0
1522764917,2,0
1522766417,2,0
1522768516,1,0
1522780816,2,0
1522782018,2,0
1522788316,1,0
1522788616,1,0
1522794316,0,1
1522794916,1,0
1522806317,1,0
1522808118,1,0
1522809020,1,0
1522809916,1,0
1522816816,1,0
1522817116,1,0
1522821918,1,0
1522827619,1,0
1522830616,1,0
1522833015,1,0
1522835417,0,1
1522846215,1,0
1522851317,1,0
1522853416,1,0
1522857017,2,0
1522867216,1,0
1522886717,1,0
1522892417,1,0
1522894216,1,0
1522903216,2,0
1522906217,1,0
1522908915,1,0
1522910715,0,1
1522921816,1,0
1522922115,1,0
1522922417,1,0
1522924817,1,0
1522929617,1,0
1522936216,2,0
1522936817,1,0
1522946417,1,0
1522947317,1,0
1522955116,1,0
1522978515,1,0
1522989017,1,0
1522992017,1,0
1522995316,1,0
1522998916,1,0
1523001017,1,0
1523001917,0,1
1523021116,1,0
1523060416,1,0
1523061315,1,0
1523090116,1,0
1523105116,1,0
1523108118,1,0
1523118017,1,0
1523131219,0,1
1523142016,2,0
1523144417,1,0
1523145618,2,0
1523152818,1,0
1523166615,1,0
1523167217,1,0
1523168721,1,0
1523173816,1,0
1523174418,1,0
1523176818,1,0
1523181317,1,0
1523191517,1,0
1523195418,1,0
1523202018,1,0
1523223316,0,1
1523223616,0,8
1523235315,2,0
1523235618,1,0
1523242818,1,0
1523254817,1,0
1523259016,1,0
1523266216,1,0
1523274915,6,0
1523275515,5,0
1523275817,6,0
1523276416,9,0
1523280017,1,0
1523281820,0,1
1523285116,5,0
1523300716,1,0
1523337016,1,0
1523341522,1,0
1523341818,1,0
1523345716,1,0
1523354117,9,0
1523354419,17,0
1523358317,1,0
1523358916,1,0
1523371218,1,0
1523406017,2,0
1523406619,1,0
1523406916,1,0
1523409617,1,0
1523414417,1,0
1523415618,1,0
1523416217,1,0
1523419220,0,2
1523421917,1,0
1523422216,1,0
1523437515,1,0
1523442017,1,0
1523458819,1,0
1523494216,1,0
1523526615,1,0
1523539217,1,0
1523551517,0,1
1523574917,1,0
1523578517,1,0
1523579120,1,0
1523579420,2,0
1523580018,7,0
1523580620,4,0
1523581220,1,0
1523591418,1,0
1523592021,1,0
1523592317,1,0
1523592917,3,0
1523613620,23,0
1523618418,1,0
1523637016,0,1
1523646617,14,0
1523647517,0,1
1523648116,1,0
1523656215,2,0
1523656517,1,0
1523667317,1,0
1523672418,1,0
1523672716,1,0
1523674216,1,0
1523675716,22,0
1523676316,25,0
1523676617,4,0
1523678115,1,0
1523692820,0,1
1523724616,1,0
1523726116,0,1
1523728218,5,0
1523739917,1,0
1523748618,1,0
1523754019,1,0
1523782820,1,0
1523799618,1,0
1523803818,1,0
1523835316,2,0
1523835917,6,0
1523844616,1,0
1523857218,1,0
1523867717,1,0
1523884518,1,0
1523887218,2,0
1523900418,1,0
1523900717,2,0
1523901017,4,0
1523901318,5,0
1523901622,6,0
1523902218,20,0
1523905220,0,1
1523910317,1,0
1523913317,1,0
1523913618,7,0
1523914218,2,0
1523914516,3,0
1523914817,2,0
1523915117,4,0
1523915418,3,0
1523916024,3,0
1523916316,1,0
1523929218,1,0
1523934318,1,0
1523934616,6,0
1523935217,12,0
1523935517,2,0
1523936117,3,0
1523940617,1,0
1523954116,1,0
1523967316,1,0
1523970022,1,0
1523976018,1,0
1523977220,1,0
1523979019,1,1
1523982019,1,0
1524003316,1,0
1524004218,21,0
1524004818,2,0
1524010517,1,0
1524011418,1,0
1524013816,1,0
1524024917,11,0
1524026417,1,0
1524047716,1,0
1524058219,1,0
1524066916,1,0
1524077416,0,4
1524093917,0,0
1524095116,1,0
1524097216,0,0
1524099316,220,0
1524124218,0,0
1524128718,0,1
1524138617,1,0
1524150316,1,0
1524160819,1,0
1524166220,0,3
1524190216,1,0
1524191118,1,0
1524192017,14,0
1524192318,1,0
1524192617,2,0
1524193219,21,0
1524193517,5,0
1524194116,1,0
1524210016,0,1
1524210916,15,0
1524221716,0,1
1524225618,1,0
1524227417,1,0
1524246019,1,0
1524247817,0,1
1524264316,1,0
1524277817,1,0
1524280516,1,0
1524290716,1,0
1524292517,6,0
1524294317,1,0
1524296115,1,0
1524328216,1,0
1524359118,1,0
1524363617,3,0
1524363916,1,0
1524365116,2,0
1524366018,1,0
1524366317,1,0
1524374416,1,0
1524378916,1,0
1524402021,1,0
1524415218,1,0
1524423620,1,0
1524477917,1,0
1524493217,1,0
1524533117,1,0
1524583217,1,0
1524632119,0,1
1524649817,1,0
1524677716,2,0
1524730517,1,0
1524731418,0,1
1524744916,3,0
1524745818,0,1
1524746416,1,0
1524760816,1,0
1524765317,0,1
1524787816,0,3
1524804018,1,0
1524808518,2,0
1524811218,0,1
1524812716,1,0
1524818118,0,5
1524828018,0,1
1524885016,1,0
1524886516,1,0
1524904518,1,0
1524926419,1,0
1524944719,1,0
1524955816,3,0
1524984318,1,0
1524987318,1,0
1524989416,1,0
1525096216,1,0
1525117218,2,0
1525118719,0,2
1525146017,1,0
1525179620,0,9
1525213218,164,0
1525213517,20,0
1525214418,1,0
1525216217,3,0
1525226420,2,0
1525226717,1,0
1525232717,1,0
1525268417,2,0
1525269319,0,1
1525270518,2,0
1525278619,1,0
1525286418,0,1
1525311018,59,0
1525311617,3,0
1525321217,3,0
1525329317,1,0
1525334116,1,0
1525338022,0,1
1525416319,0,1
1525427716,0,1
1525429218,3,0
1525431017,0,2
1525498819,1,0
1525581619,3,0
1525611317,1,0
1525632917,4,0
1525652116,1,0
1525672824,1,0
1525704317,1,0
1525837519,1,0
1525843518,1,0
1525882818,1,0
1525889718,1,0
1525917316,1,0
1525919418,1,0
1525944618,70,0
1525947317,5,0
1525947618,1,0
1525987517,30,0
1526002217,2,0
1526002818,3,0
1526004919,1,0
1526009116,2,0
1526010019,1,0
1526010616,23,0
1526023818,1,0
1526034620,1,0
1526034919,1,0
1526037916,0,1
1526038217,0,1
1526048417,0,1
1526049618,1,0
1526097316,1,0
1526097917,2,0
1526100018,1,0
1526104518,30,0
1526104821,7,0
1526105717,13,0
1526106018,1,0
1526106322,6,0
1526106918,5,0
1526107218,1,0
1526151318,1,0
1526160017,1,0
1526160317,1,0
1526190917,0,1
1526191519,0,1
1526191816,0,2
1526192418,0,1
1526193018,0,4
1526193618,0,1
1526193918,0,1
1526194216,0,1
1526195717,2,0
1526202317,1,0
1526231416,1,0
1526232017,1,0
1526232916,1,0
1526233519,2,0
1526233816,2,0
1526239218,1,0
1526239817,0,2
1526240716,0,1
1526243415,1,0
1526247018,1,0
1526247318,1,0
1526247618,1,0
1526271018,1,0
1526272818,10,0
1526273417,1,0
1526309719,0,0
1526323819,1,0
1526341220,0,5
1526381418,0,1
1526417119,0,1
1526437519,0,1
1526438118,0,2
1526544021,1,0
1526577617,0,1
1526594426,0,2
1526615717,1,0
1526618419,42,0
1526619018,108,0
1526619318,1,0
1526619620,9,0
1526643018,8,0
1526697617,6,0
1526706020,29,0
1526706618,2,0
1526726117,1,0
1526726419,176,0
1526726720,5,0
1526729418,1,0
1526736019,8,0
1526736317,2,0
1526736918,1,0
1526745620,0,3
1526745917,0,1
1526746517,0,2
1526746818,0,2
1526748319,1,0
1526764219,2,0
1526765420,11,0
1526768118,24,0
1526771419,2,0
1526772020,2,0
1526772619,2,0
1526772918,1,0
1526773218,1,0
1526775919,2,0
1526776218,1,0
1526777419,1,0
1526777718,1,0
1526778018,1,0
1526778318,1,0
1526778917,3,0
1526780117,1,2
1526793317,0,1
1526795418,1,0
1526824217,1,0
1526847917,36,0
1526848220,300,0
1526848820,351,0
1526863218,45,0
1526868019,4,0
1526875818,12,0
1526890217,1,0
