DateTime,AddedIPs,RemovedIPs
1521040540,0,1280
1521045512,1024,0
1521058534,512,0
1521063909,256,0
1521071109,0,256
1521083726,256,0
1521098130,256,0
1521131535,0,1024
1521138972,1024,0
1521144918,0,256
1521156604,0,256
1521158409,0,256
1521178296,256,0
1521202532,256,0
1521221403,512,0
1521225003,0,512
1521270004,0,256
1521302403,0,256
1521307803,0,1280
1521311435,1024,0
1521323119,256,0
1521333455,256,0
1521394202,1024,0
1521395115,256,0
1521396923,256,0
1521398034,0,768
1521408876,256,0
1521409502,0,256
1521417605,0,256
1521423089,0,256
1521427256,256,0
1521477358,768,0
1521479716,0,768
1521480604,0,256
1521483321,256,0
1521487803,0,256
1521490519,256,0
1521491681,0,256
1521502203,0,256
1521506280,256,0
1521510326,256,0
1521552689,256,0
1521562519,0,1024
1521589533,256,0
1521591326,0,256
1521592203,0,256
1521639902,0,1024
1521649821,1024,0
1521656132,256,0
1521659724,0,256
1521663326,256,0
1521678715,256,0
1521736203,0,768
1521739803,2304,0
1521740720,256,0
1521741604,0,256
1521747003,0,256
1521749724,256,256
1521783929,0,256
1521796533,0,256
1521815426,512,0
1521826204,0,1536
1521836122,0,256
1521843325,0,256
1521901981,0,256
1521909002,512,0
1521913519,256,0
1521921603,0,256
1521928804,0,256
1521937943,768,0
1521942331,0,256
1521947743,256,0
1521995227,512,512
1522015204,0,256
1522023332,256,0
1522024204,0,256
1522044935,256,0
1522048530,0,256
1522080004,0,512
1522081949,768,0
1522087204,0,256
1522088760,256,0
1522095321,256,256
1522101603,0,256
1522109733,0,256
1522111532,256,0
1522167335,0,1024
1522171613,512,0
1522180804,0,256
1522196129,256,0
1522199738,256,0
1522203327,256,0
1522217733,0,256
1522254625,768,0
1522257326,256,0
1522257986,0,512
1522282533,0,256
1522290343,256,0
1522340861,256,768
1522347329,256,0
1522370735,512,0
1522420226,1024,0
1522426519,0,1024
1522428322,256,0
1522434630,256,0
1522440930,256,0
1522454406,0,256
1522457136,0,512
1522459649,256,0
1522506602,0,1536
1522514032,0,256
1522519204,0,256
1522521003,1024,0
1522526404,0,256
1522548932,256,0
1522600442,1024,0
1522602920,256,0
1522607403,0,256
1522613727,0,256
1522621802,0,256
1522629932,256,0
1522631745,256,0
1522636063,0,256
1522687502,0,768
1522689338,0,256
1522690205,1024,0
1522692922,256,0
1522698321,256,0
1522699203,0,256
1522710003,256,0
1522714536,256,256
1522716358,0,256
1522774804,768,0
1522776603,0,512
1522778404,0,256
1522785603,0,256
1522794970,0,256
1522800931,0,256
1522804540,256,0
1522829730,0,256
1522843203,0,256
1522859408,0,1280
1522863028,1536,0
1522950321,0,1536
1522957524,0,256
1522974602,1792,0
1523007002,1536,0
1523017915,256,0
1523022333,256,0
1523038521,256,0
1523061003,0,1280
1523068474,0,256
1523093557,0,512
1523108731,0,256
1523111603,1280,0
1523115002,0,256
1523117719,0,256
1523131202,0,256
1523146535,0,256
1523197990,0,768
1523208771,768,0
1523211321,0,256
1523218521,0,256
1523224803,0,256
1523232006,0,256
1523240144,256,0
1523287803,1280,0
1523377802,768,3328
1523392160,256,0
1523402130,256,0
1523405738,512,0
1523478635,1024,0
1523484003,0,256
1523484925,256,0
1523487603,0,256
1523491204,0,256
1523493003,0,256
1523550710,1536,0
1523556934,256,0
1523561984,256,0
1523565084,0,512
1523571327,0,256
1523585742,256,0
1523597402,0,256
1523607332,256,0
1523637003,0,1024
1523637902,768,0
1523643325,256,0
1523646929,256,256
1523671202,0,256
1523679327,0,256
1523682004,256,0
1523692802,0,256
1523716245,1280,0
1523723403,0,1024
1523727546,256,256
1523732403,0,256
1523740525,256,0
1523751338,256,0
1523752353,768,0
1523771103,256,0
1523801736,0,1280
1523810347,1024,0
1523810702,0,256
1523812517,0,256
1523814319,256,0
1523819719,256,0
1523821517,256,0
1523839839,256,0
1523843129,256,0
1523866530,0,256
1523896500,256,2304
1523902527,1280,0
1523913333,256,0
1523925596,256,0
1523931340,256,0
1523942130,0,256
1523982603,0,1280
1523986825,1280,0
1523988919,256,512
1523992523,256,0
1523997003,0,256
1523998804,0,256
1524006922,256,0
1524008327,256,0
1524024925,0,256
1524029402,0,256
1524029682,256,0
1524039331,256,0
1524061803,1280,0
1524072602,0,1024
1524072734,256,0
1524074402,0,256
1524080201,256,0
1524093322,0,0
1524096930,0,0
1524110402,0,256
1524116115,0,256
1524119403,0,256
1524122134,256,0
1524123934,0,0
1524147331,0,1280
1524148358,0,256
1524155827,1024,0
1524158118,0,512
1524161725,256,0
1524170722,0,256
1524172519,256,0
1524227425,768,0
1524242030,0,1536
1524266133,512,0
1524298535,0,256
1524312933,0,1280
1524324889,1024,0
1524330929,256,0
1524345332,256,0
1524353402,0,256
1524357759,256,0
1524411003,0,1280
1524413733,0,256
1524418203,1536,0
1524420935,256,0
1524424525,0,256
1524438003,0,256
1524464135,0,256
1524497876,1024,0
1524504603,0,768
1524505548,512,0
1524506404,0,256
1524512046,256,0
1524514550,256,0
1524518156,256,0
1524526206,256,256
1524527156,256,0
1524530220,256,0
1524583802,0,1280
1524591902,0,256
1524594602,0,256
1524596403,0,256
1524598203,0,256
1524605402,0,512
1524612602,0,256
1524616734,1280,512
1524618951,256,0
1524635140,256,0
1524636936,256,0
1524641428,1280,0
1524649129,256,0
1524651347,256,0
1524669346,256,0
1524676549,256,0
1524680142,256,0
1524698155,256,0
1524703502,0,1024
1524721562,0,256
1524727803,0,1280
1524733203,0,256
1524737756,0,256
1524743102,0,256
1524747603,0,256
1524753141,0,256
1524763803,0,256
1524765603,0,256
1524784560,0,256
1524785713,0,256
1524789249,1792,256
1524791731,256,0
1524816930,0,256
1524846604,1024,0
1524847516,256,0
1524860120,256,0
1524874524,0,768
1524879931,256,0
1524925829,1536,0
1524932115,0,1280
1524933003,0,256
1524942915,0,256
1524946534,256,0
1524957331,256,256
1524964540,256,0
1524966303,0,256
1525012497,0,1024
1525014935,0,256
1525015894,0,256
1525018528,0,256
1525019402,1536,0
1525021202,0,256
1525029332,256,0
1525032925,256,0
1525035602,0,256
1525042803,0,256
1525050003,0,256
1525068002,256,0
1525101993,512,0
1525105803,0,768
1525112127,256,0
1525115730,256,0
1525118403,0,256
1525122919,0,256
1525131938,256,0
1525187733,0,512
1525188631,1536,0
1525189421,256,0
1525194002,0,256
1525196721,0,256
1525198517,0,512
1525202133,256,256
1525205726,256,256
1525221211,256,0
1525241729,256,256
1525275002,0,1024
1525276804,0,256
1525278464,1024,0
1525283123,0,256
1525288520,256,256
1525291203,0,256
1525294803,0,256
1525303803,0,256
1525307498,256,256
1525327202,0,256
1525361402,768,0
1525365003,0,512
1525366804,0,256
1525367725,256,0
1525395603,0,256
1525440603,768,0
1525443322,256,0
1525447802,0,1024
1525455926,256,0
1525457746,256,0
1525468520,256,0
1525482003,256,0
1525499133,256,0
1525526137,0,1024
1525529735,0,256
1525540533,0,256
1525541427,512,0
1525544122,512,0
1525545921,256,0
1525549524,256,0
1525554923,256,0
1525558535,256,0
1525559835,256,0
1525563934,256,0
1525568403,256,0
1525578328,0,256
1525593603,256,0
1525597203,256,0
1525626926,0,1024
1525634117,0,256
1525636803,0,256
1525639524,256,0
1525645802,0,256
1525680933,256,0
1525707002,1024,0
1525710602,256,1536
1525712404,256,0
1525727728,256,0
1525740333,256,0
1525753803,0,256
1525758331,0,256
1525793425,2048,512
1525794318,0,256
1525795203,0,256
1525796128,256,0
1525797003,0,256
1525799720,256,0
1525809604,0,256
1525814131,0,512
1525821328,256,0
1525826328,1024,0
1525826703,0,512
1525843803,0,256
1525844733,256,0
1525879816,0,2304
1525890603,1024,0
1525905054,0,256
1525911323,0,512
1525912786,512,0
1525914933,256,0
1525973402,1280,0
1525975203,256,0
1525977002,0,1792
1525990520,256,0
1525994131,0,256
1525995933,256,0
1525997722,256,0
1525999040,512,512
1526018403,0,256
1526056202,1280,0
1526058921,0,1280
1526066814,0,256
1526067923,256,0
1526076929,256,256
1526083203,0,256
1526084123,0,256
1526086803,0,512
1526142602,0,1024
1526145894,1024,0
1526148002,256,0
1526153255,256,0
1526154316,0,256
1526156125,256,256
1526170521,256,256
1526193934,256,0
1526232332,768,768
1526234403,0,256
1526235320,512,0
1526242523,0,256
1526258726,256,0
1526261552,0,256
1526309126,0,0
1526315119,512,0
1526318115,256,0
1526319002,0,768
1526321724,512,0
1526328922,0,512
1526344038,256,0
1526345122,256,0
1526391003,768,0
1526393717,256,0
1526400922,0,1024
1526403603,0,512
1526408115,0,768
1526413515,0,256
1526428802,0,256
1526430602,0,256
1526477402,0,512
1526493602,0,256
1526494536,256,0
1526495402,1792,0
1526501719,256,0
1526513402,0,256
1526516151,512,0
1526517487,512,0
1526570574,1792,0
1526580002,0,256
1526580921,0,1536
1526586318,0,256
1526601603,0,256
1526602531,0,512
1526656545,0,1280
1526661003,1792,0
1526667317,0,256
1526672718,0,256
1526674519,256,0
1526679579,256,0
1526680805,0,256
1526690749,256,256
1526747403,768,1536
1526753735,256,0
1526760931,0,256
1526769003,0,256
1526789740,256,0
1526797802,0,256
1526826666,512,0
1526830389,256,0
1526833802,0,768
1526840117,0,256
1526841355,256,0
