DateTime,Entries,UniqueIPs
1520919124,32,8448
1520955011,29,7680
1520963126,27,7168
1521021644,26,6912
1521040540,21,5632
1521045512,25,6656
1521058534,27,7168
1521063909,28,7424
1521071109,27,7168
1521083726,28,7424
1521098130,29,7680
1521131535,25,6656
1521138972,29,7680
1521144918,28,7424
1521156604,27,7168
1521158409,26,6912
1521178296,27,7168
1521202532,28,7424
1521221403,30,7936
1521225003,28,7424
1521270004,27,7168
1521302403,26,6912
1521307803,21,5632
1521311435,25,6656
1521323119,26,6912
1521333455,27,7168
1521394202,31,8192
1521395115,32,8448
1521396923,33,8704
1521398034,30,7936
1521408876,31,8192
1521409502,30,7936
1521417605,29,7680
1521423089,28,7424
1521427256,29,7680
1521477358,32,8448
1521479716,29,7680
1521480604,28,7424
1521483321,29,7680
1521487803,28,7424
1521490519,29,7680
1521491681,28,7424
1521502203,27,7168
1521506280,28,7424
1521510326,29,7680
1521552689,30,7936
1521562519,26,6912
1521589533,27,7168
1521591326,26,6912
1521592203,25,6656
1521639902,21,5632
1521649821,25,6656
1521656132,26,6912
1521659724,25,6656
1521663326,26,6912
1521678715,26,7168
1521736203,23,6400
1521739803,28,8704
1521740720,29,8960
1521741604,28,8704
1521747003,27,8448
1521749724,24,8448
1521783929,23,8192
1521796533,22,7936
1521815426,24,8448
1521826204,19,6912
1521836122,18,6656
1521843325,17,6400
1521901981,16,6144
1521909002,18,6656
1521913519,19,6912
1521921603,18,6656
1521928804,20,6400
1521937943,23,7168
1521942331,22,6912
1521947743,23,7168
1521995227,20,7168
1522015204,22,6912
1522023332,20,7168
1522024204,19,6912
1522044935,20,7168
1522048530,19,6912
1522080004,17,6400
1522081949,20,7168
1522087204,22,6912
1522088760,23,7168
1522095321,23,7168
1522101603,22,6912
1522109733,21,6656
1522111532,22,6912
1522167335,21,5888
1522171613,23,6400
1522180804,22,6144
1522196129,22,6400
1522199738,23,6656
1522203327,24,6912
1522217733,23,6656
1522254625,26,7424
1522257326,27,7680
1522257986,25,7168
1522282533,24,6912
1522290343,25,7168
1522340861,23,6656
1522347329,22,6912
1522370735,24,7424
1522420226,28,8448
1522426519,24,7424
1522428322,25,7680
1522434630,26,7936
1522440930,27,8192
1522454406,26,7936
1522457136,27,7424
1522459649,28,7680
1522506602,23,6144
1522514032,22,5888
1522519204,21,5632
1522521003,25,6656
1522526404,24,6400
1522548932,25,6656
1522600442,29,7680
1522602920,30,7936
1522607403,29,7680
1522613727,28,7424
1522621802,27,7168
1522629932,28,7424
1522631745,29,7680
1522636063,28,7424
1522687502,25,6656
1522689338,24,6400
1522690205,28,7424
1522692922,29,7680
1522698321,30,7936
1522699203,29,7680
1522710003,30,7936
1522714536,30,7936
1522716358,29,7680
1522774804,32,8448
1522776603,30,7936
1522778404,29,7680
1522785603,28,7424
1522794970,27,7168
1522800931,26,6912
1522804540,27,7168
1522829730,26,6912
1522843203,25,6656
1522859408,20,5376
1522863028,26,6912
1522950321,20,5376
1522957524,19,5120
1522974602,26,6912
1523007002,32,8448
1523017915,33,8704
1523022333,34,8960
1523038521,35,9216
1523061003,30,7936
1523068474,29,7680
1523093557,27,7168
1523108731,26,6912
1523111603,30,8192
1523115002,29,7936
1523117719,28,7680
1523131202,27,7424
1523146535,26,7168
1523197990,23,6400
1523208771,26,7168
1523211321,25,6912
1523218521,25,6656
1523224803,24,6400
1523232006,23,6144
1523240144,24,6400
1523287803,28,7680
1523377802,18,5120
1523392160,19,5376
1523402130,20,5632
1523405738,22,6144
1523478635,26,7168
1523484003,25,6912
1523484925,26,7168
1523487603,25,6912
1523491204,24,6656
1523493003,23,6400
1523550710,28,7936
1523556934,29,8192
1523561984,30,8448
1523565084,28,7936
1523571327,27,7680
1523585742,28,7936
1523597402,27,7680
1523607332,28,7936
1523637003,24,6912
1523637902,27,7680
1523643325,28,7936
1523646929,28,7936
1523671202,27,7680
1523679327,26,7424
1523682004,27,7680
1523692802,26,7424
1523716245,30,8704
1523723403,26,7680
1523727546,27,7680
1523732403,27,7424
1523740525,28,7680
1523751338,29,7936
1523752353,32,8704
1523771103,33,8960
1523801736,28,7680
1523810347,32,8704
1523810702,31,8448
1523812517,30,8192
1523814319,31,8448
1523819719,32,8704
1523821517,33,8960
1523839839,34,9216
1523843129,35,9472
1523866530,34,9216
1523896500,26,7168
1523902527,30,8448
1523913333,31,8704
1523925596,32,8960
1523931340,32,9216
1523942130,31,8960
1523982603,27,7680
1523986825,31,8960
1523988919,30,8704
1523992523,31,8960
1523997003,30,8704
1523998804,29,8448
1524006922,30,8704
1524008327,31,8960
1524024925,30,8704
1524029402,30,8448
1524029682,31,8704
1524039331,32,8960
1524061803,37,10240
1524072602,33,9216
1524072734,34,9472
1524074402,33,9216
1524080201,33,9472
1524110402,32,9216
1524116115,31,8960
1524119403,30,8704
1524122134,31,8960
1524147331,26,7680
1524148358,25,7424
1524155827,29,8448
1524158118,28,7936
1524161725,28,8192
1524170722,28,7936
1524172519,29,8192
1524227425,32,8960
1524242030,27,7424
1524266133,28,7936
1524298535,27,7680
1524312933,23,6400
1524324889,27,7424
1524330929,28,7680
1524345332,29,7936
1524353402,28,7680
1524357759,29,7936
1524411003,24,6656
1524413733,23,6400
1524418203,29,7936
1524420935,30,8192
1524424525,30,7936
1524438003,29,7680
1524464135,28,7424
1524497876,31,8448
1524504603,28,7680
1524505548,28,8192
1524506404,27,7936
1524512046,28,8192
1524514550,29,8448
1524518156,30,8704
1524526206,29,8704
1524527156,30,8960
1524530220,31,9216
1524583802,26,7936
1524591902,25,7680
1524594602,24,7424
1524596403,24,7168
1524598203,23,6912
1524605402,22,6400
1524612602,22,6144
1524616734,24,6912
1524618951,25,7168
1524635140,26,7424
1524636936,27,7680
1524641428,31,8960
1524649129,32,9216
1524651347,33,9472
1524669346,34,9728
1524676549,35,9984
1524680142,36,10240
1524698155,36,10496
1524703502,32,9472
1524721562,31,9216
1524727803,28,7936
1524733203,27,7680
1524737756,26,7424
1524743102,25,7168
1524747603,24,6912
1524753141,23,6656
1524763803,22,6400
1524765603,21,6144
1524784560,20,5888
1524785713,20,5632
1524789249,26,7168
1524791731,27,7424
1524816930,27,7168
1524846604,30,8192
1524847516,31,8448
1524860120,32,8704
1524874524,29,7936
1524879931,30,8192
1524925829,35,9728
1524932115,31,8448
1524933003,30,8192
1524942915,29,7936
1524946534,29,8192
1524957331,29,8192
1524964540,29,8448
1524966303,28,8192
1525012497,24,7168
1525014935,23,6912
1525015894,22,6656
1525018528,21,6400
1525019402,27,7936
1525021202,27,7680
1525029332,27,7936
1525032925,27,8192
1525035602,26,7936
1525042803,25,7680
1525050003,25,7424
1525068002,26,7680
1525101993,28,8192
1525105803,26,7424
1525112127,27,7680
1525115730,28,7936
1525118403,28,7680
1525122919,28,7424
1525131938,29,7680
1525187733,27,7168
1525188631,31,8704
1525189421,31,8960
1525194002,30,8704
1525196721,29,8448
1525198517,27,7936
1525202133,27,7936
1525205726,27,7936
1525221211,28,8192
1525241729,28,8192
1525275002,24,7168
1525276804,24,6912
1525278464,28,7936
1525283123,28,7680
1525288520,28,7680
1525291203,27,7424
1525294803,26,7168
1525303803,25,6912
1525307498,25,6912
1525327202,24,6656
1525361402,27,7424
1525365003,26,6912
1525366804,25,6656
1525367725,26,6912
1525395603,25,6656
1525440603,28,7424
1525443322,29,7680
1525447802,25,6656
1525455926,25,6912
1525457746,26,7168
1525468520,27,7424
1525482003,28,7680
1525499133,29,7936
1525526137,25,6912
1525529735,24,6656
1525540533,23,6400
1525541427,25,6912
1525544122,27,7424
1525545921,28,7680
1525549524,29,7936
1525554923,30,8192
1525558535,30,8448
1525559835,31,8704
1525563934,31,8960
1525568403,32,9216
1525578328,31,8960
1525593603,32,9216
1525597203,33,9472
1525626926,29,8448
1525634117,28,8192
1525636803,27,7936
1525639524,28,8192
1525645802,28,7936
1525680933,28,8192
1525707002,32,9216
1525710602,28,7936
1525712404,29,8192
1525727728,30,8448
1525740333,31,8704
1525753803,30,8448
1525758331,29,8192
1525793425,30,9728
1525794318,29,9472
1525795203,28,9216
1525796128,29,9472
1525797003,30,9216
1525799720,31,9472
1525809604,30,9216
