DateTime,AddedIPs,RemovedIPs
1522044935,256,256
1522081949,1024,1024
1522088760,256,256
1522095321,256,256
1522111532,256,256
1522131334,256,256
1522171613,768,768
1522196129,256,256
1522199738,256,256
1522203327,256,256
1522216805,256,256
1522217733,256,256
1522224931,256,256
1522254625,1536,1536
1522257326,256,256
1522260917,256,256
1522268124,256,256
1522275329,256,256
1522282533,256,256
1522290343,256,256
1522340861,1536,1536
1522347329,512,512
1522354525,512,512
1522368927,256,256
1522370735,512,512
1522420226,1536,1536
1522428322,256,256
1522434630,256,256
1522440930,256,256
1522459649,256,256
1522460737,256,256
1522464331,256,256
1522469734,256,256
1522473333,256,256
1522484134,256,256
1522491357,256,256
1522492622,256,256
1522494942,256,256
1522496736,256,256
1522521003,1280,1280
1522527325,256,256
1522534521,256,256
1522536332,256,256
1522541733,512,512
1522548932,256,256
1522600442,1280,1280
1522602920,256,256
1522613727,256,256
1522620927,256,256
1522623603,256,256
1522628127,512,512
1522629932,256,256
1522631745,256,256
1522636063,256,256
1522649735,256,256
1522690205,1024,1024
1522692922,256,256
1522698321,256,256
1522700837,512,512
1522710003,256,256
1522714536,512,512
1522716358,256,256
1522725331,256,256
1522728926,256,256
1522744041,256,256
1522757731,256,256
1522774804,1280,1280
1522804540,256,256
1522822537,256,256
1522863028,1792,1792
1522863149,256,256
1522867518,256,256
1522932323,256,256
1522974602,1792,1792
1522982715,256,256
1523007002,1536,1536
1523017915,256,256
1523022333,256,256
1523024117,256,256
1523025306,256,256
1523027716,256,256
1523029527,512,512
1523031315,256,256
1523038521,512,512
1523045723,256,256
1523052947,512,512
1523054083,256,256
1523060128,512,512
1523061635,256,256
1523111603,1792,1792
1523115918,256,256
1523117719,256,256
1523124923,256,256
1523132122,256,256
1523139333,256,256
1523146535,256,256
1523166335,256,256
1523177135,256,256
1523208771,1024,1024
1523214927,256,256
1523232934,256,256
1523240144,256,256
1523256331,256,256
1523287803,1792,1792
1523377802,1792,1792
1523392160,256,256
1523398525,256,256
1523402130,256,256
1523405738,512,512
1523407287,256,256
1523478635,1024,1024
1523484925,256,256
1523492127,256,256
1523511938,256,256
1523550710,1792,1792
1523556934,768,768
1523561984,256,256
1523564121,512,512
1523568981,256,256
1523571327,256,256
1523572427,256,256
1523576475,256,256
1523579848,256,256
1523585742,256,256
1523594160,256,256
1523600130,256,256
1523607332,256,256
1523637902,1280,1280
1523641502,256,256
1523643325,256,256
1523646929,256,256
1523648164,256,256
1523650531,256,256
1523682004,256,256
1523684163,256,256
1523716245,2048,2048
1523720239,256,256
1523722521,256,256
1523724316,256,256
1523727546,512,512
1523729718,256,256
1523735102,256,256
1523740525,256,256
1523751338,256,256
1523752353,768,768
1523756552,256,256
1523771103,1024,1024
1523780125,256,256
1523810347,2816,2816
1523814319,256,256
1523819719,256,256
1523821517,256,256
1523830533,256,256
1523839839,256,256
1523843129,256,256
1523844935,256,256
1523855726,256,256
1523857538,512,512
1523859327,256,256
1523875539,256,256
1523878605,256,256
1523880948,256,256
1523896500,1536,1536
1523902527,1280,1280
1523909727,256,256
1523910860,256,256
1523913333,256,256
1523914926,256,256
1523918178,256,256
1523925596,256,256
1523927731,256,256
1523931340,256,256
1523933102,256,256
1523939477,256,256
1523943929,256,256
1523945734,256,256
1523952931,256,256
1523986825,2048,2048
1523988919,512,512
1523992523,256,256
1523993687,256,256
1523998804,256,256
1523999717,256,256
1524000853,256,256
1524004292,256,256
1524006922,256,256
1524008327,256,256
1524017725,256,256
1524018662,256,256
1524023129,256,256
1524029682,768,768
1524033065,256,256
1524039331,256,256
1524050129,256,256
1524051125,256,256
1524053727,256,256
1524061803,2048,2048
1524062718,256,256
1524065724,256,256
1524071715,768,768
1524072734,256,256
1524075319,256,256
1524078920,256,256
1524080201,256,256
1524084326,256,256
1524086119,256,256
1524093322,256,256
1524096930,0,0
1524100541,512,512
1524107731,512,512
1524122134,256,256
1524123934,0,0
1524125731,256,256
1524155827,2304,2304
1524161725,512,512
1524165327,256,256
1524172519,256,256
1524179725,256,256
1524181120,256,256
1524186927,256,256
1524202384,256,256
1524204929,256,256
1524209670,256,256
1524212131,256,256
1524227425,1536,1536
1524230121,256,256
1524237318,256,256
1524248125,256,256
1524266133,768,768
1524276933,256,256
1524288704,256,256
1524324889,1792,1792
1524328291,256,256
1524330929,256,256
1524338125,256,256
1524345332,256,256
