DateTime,AddedIPs,RemovedIPs
1526414180,29,17
1526416382,121,26
1526417804,75,21
1526418992,60,15
1526419945,33,9
1526420900,30,1022
1526422111,154,16
1526423300,53,22
1526424272,101,12
1526425228,48,18
1526426182,59,10
1526427147,24,10
1526428094,58,7
1526429068,36,13
1526430019,78,6
1526430986,75,7
1526431964,59,13
1526432922,29,7
1526433858,114,14
1526434819,80,19
1526435781,19,14
1526436765,77,18
1526437693,9,0
1526438677,65,11
1526439625,8,13
1526440588,81,16
1526441551,21,0
1526442497,82,10
1526443466,5,16
1526444420,186,70
1526445389,51,7
1526446334,54,9
1526447305,60,19
1526448258,34,6
1526449229,51,10
1526450178,18,16
1526451143,66,7
1526452109,28,12
1526453071,79,8
1526454031,2,11
1526454982,55,12
1526455946,67,11
1526456898,64,9
1526457882,16,21
1526458815,41,9
1526459788,11,13
1526460738,15,8
1526461711,20,25
1526462659,19,11
1526463621,33,18
1526464578,6,13
1526465544,7,13
1526466493,46,18
1526467473,42,11
1526468416,45,28
1526469386,45,8
1526470359,93,23
1526471305,120,11
1526472278,68,17
1526473228,1467,1484
1526474186,64,18
1526475141,39,11
1526476112,36,20
1526477070,27,20
1526478020,38,15
1526478994,46,9
1526479937,76,11
1526480892,53,13
1526481877,48,3
1526482841,47,20
1526483781,52,4
1526484736,42,22
1526485714,43,3
1526486683,33,25
1526488856,165,22
1526489772,53,12
1526490750,46,17
1526491697,56,11
1526492701,78,8
1526493622,52,14
1526494589,72,9
1526495557,69,21
1526496501,42,9
1526497465,55,9
1526498417,61,16
1526499408,57,18
1526500342,39,12
1526501315,40,17
1526502280,62,16
1526503215,51,16
1526504211,36,28
1526505155,56,0
1526506107,47,29
1526507081,33,13
1526508034,9,940
1526508984,120,23
1526510644,85,5
1526512376,77,25
1526513295,70,24
1526514262,61,12
1526515220,54,0
1526516196,66,8
1526517139,71,17
1526518106,70,12
1526519059,67,12
1526520023,65,22
1526520995,60,4
1526521938,65,0
1526522896,76,24
1526523863,48,0
1526524814,61,20
1526525807,31,11
1526526744,71,12
1526527701,46,12
1526528678,61,0
1526529641,43,20
1526530576,83,74
1526531550,38,8
1526532493,37,8
1526533469,41,11
1526534415,49,7
1526535403,52,15
1526536336,53,6
1526537325,43,8
1526538255,43,14
1526539223,48,11
1526540176,57,3
1526541171,62,20
1526542092,40,5
1526543087,18,18
1526544027,54,8
1526544991,73,11
1526545939,68,9
1526546903,58,18
1526547867,45,21
1526548816,67,4
1526549803,55,18
1526550742,36,7
1526551712,33,19
1526552662,38,4
1526553613,32,20
1526554598,44,14
1526555545,57,6
1526556497,20,18
1526557461,37,17
1526558453,44,21
1526559646,1152,1196
1526560578,9,16
1526561539,101,4
1526562519,28,19
1526563475,26,3
1526564423,6,9
1526565379,9,12
1526566350,8,12
1526567292,14,11
1526568259,19,20
1526569237,4,19
1526570180,37,10
1526571137,59,19
1526572107,59,16
1526573059,40,9
1526573536,129,1806
1526574021,60,11
1526574988,48,26
1526575939,31,20
1526576897,37,18
1526577870,36,23
1526578816,33,18
1526579775,41,12
1526580748,30,21
1526581698,35,12
1526582656,64,15
1526583631,49,20
1526584577,42,15
1526585563,52,17
1526586492,30,18
1526587470,34,14
1526588415,35,28
1526589400,45,45
1526590336,38,0
1526591300,36,23
1526592261,43,15
1526593225,27,15
1526594189,18,1026
1526595153,34,9
1526596092,86,36
1526598376,111,49
1526599459,53,10
1526600417,58,18
1526601391,42,12
1526602345,65,10
1526603296,58,15
1526604266,55,9
1526605222,69,6
1526606192,95,20
1526607137,68,0
1526608107,55,7
1526609068,66,13
1526610025,71,5
1526610976,65,19
1526611958,40,5
1526612897,51,6
1526613876,51,9
1526614813,52,8
1526615796,50,10
1526616741,74,73
1526617709,25,18
1526618662,39,5
1526619631,50,10
1526620573,45,4
1526621547,26,13
1526622494,36,10
1526623494,43,10
1526624414,36,6
1526625381,53,16
1526626336,37,10
1526627303,21,6
1526628266,15,10
1526629230,23,26
1526630180,10,14
1526631153,13,10
1526632094,9,30
1526633067,18,8
1526634044,15,13
1526634995,26,0
1526635936,39,36
1526636920,11,3
1526637865,10,31
1526638824,43,29
1526639784,59,10
1526640743,99,19
1526641698,74,13
1526642671,66,56
1526643615,34,11
1526644601,29,26
1526647042,3910,1501
1526647962,44,10
1526648935,42,14
1526649869,52,10
1526650843,53,20
1526651774,35,20
1526652751,53,15
1526653697,44,21
1526654684,37,7
1526655645,30,19
1526656828,88,0
1526657776,46,16
1526658486,50,49
1526658763,54,19
1526659970,55,7
1526660893,42,16
1526661877,66,14
1526662818,39,13
1526663785,69,7
1526664738,51,17
1526665713,62,10
1526666910,62,9
1526667865,56,11
1526668813,46,11
1526669789,59,9
1526670750,43,10
1526671702,43,16
1526672668,44,10
1526673619,49,16
1526674586,52,8
1526675541,45,16
1526676505,43,14
1526677461,40,14
1526678412,49,8
1526679392,53,9
1526680337,11,9
1526681309,66,856
1526682270,56,17
1526683457,66,11
1526684416,58,22
1526685465,64,0
1526686599,63,13
1526687555,48,10
1526688506,67,13
1526689467,76,18
1526690416,73,11
1526691391,77,8
1526692354,77,6
1526693292,63,0
1526694274,85,14
1526695237,67,11
1526696203,63,14
1526697385,51,6
1526698341,55,6
1526699305,52,3
1526700268,44,12
1526701213,73,3
1526702191,57,8
1526703174,92,97
1526704098,48,0
1526705060,51,21
1526706022,41,9
1526706989,40,6
1526707943,43,0
1526708897,53,9
1526709885,52,12
1526710838,46,14
1526711777,58,0
1526712732,33,9
1526713714,47,31
1526714689,55,14
1526715614,32,0
1526716579,54,15
1526717573,26,4
