DateTime,AddedIPs,RemovedIPs
1526522594,0,1
1526523123,9,0
1526523843,3,74
1526524921,3,0
1526525763,53,0
1526526134,1,1
1526526721,5,0
1526527321,2,0
1526527981,1,0
1526528522,6,0
1526529625,89,167
1526529733,2,3
1526530322,1,0
1526530921,2,0
1526532121,4,0
1526532721,2,0
1526533444,71,90
1526533922,11,0
1526535364,85,0
1526535722,23,0
1526537283,62,71
1526537522,4,0
1526538722,2,0
1526539921,2,0
1526540593,4,0
1526541722,2,0
1526542922,1,0
1526543522,1,0
1526544193,7,0
1526544966,58,106
1526545321,2,0
1526546883,61,0
1526547121,0,1
1526547796,0,1
1526549521,1,1
1526550122,2,0
1526550723,61,97
1526551394,0,5
1526551921,1,0
1526552522,1,0
1526553721,2,0
1526554321,4,0
1526554563,66,0
1526554995,7,0
1526555522,3,0
1526556122,1,0
1526556484,0,55
1526556781,5,0
1526557321,1,0
1526558410,56,0
1526558595,2,0
1526559615,0,51
1526560322,71,0
1526562135,1,0
1526562721,2,0
1526563321,1,0
1526564402,56,14
1526565363,1,98
1526565794,3,2
1526566321,3,0
1526566921,1,0
1526568242,67,0
1526568721,1,0
1526569396,18,3
1526570163,55,15
1526571722,2,0
1526572083,0,88
1526572322,1,0
1526572936,0,3
1526573522,2,0
1526575322,2,0
1526575922,82,0
1526576522,1,0
1526576596,0,4
1526577122,3,0
1526577722,5,0
1526578321,1,0
1526578921,1,0
1526579522,2,0
1526579763,73,48
1526580194,1,15
1526581683,0,74
1526581981,1,0
1526582522,1,0
1526583121,1,0
1526583794,4,0
1526584922,2,0
1526585523,78,56
1526586721,5,0
1526587442,73,0
1526589364,0,72
1526589721,1,0
1526590922,1,0
1526591283,121,121
1526591522,4,0
1526592122,1,0
1526593202,64,0
1526593322,2,1
1526593921,3,0
1526594540,1,1
1526595122,2,0
1526595722,1,0
1526598244,47,169
1526598721,3,0
1526599321,1,0
1526600163,77,0
1526600521,5,0
1526601794,1,2
1526603581,1,0
1526604244,54,173
1526604722,1,0
1526605394,0,1
1526605921,3,0
1526606522,1,0
1526607722,8,0
1526608082,83,0
1526608321,4,0
1526608935,4,0
1526609521,3,0
1526610121,2,0
1526611322,10,0
1526611925,52,62
1526612521,2,0
1526613722,4,0
1526614921,5,0
1526615763,95,4
1526616198,3,0
1526616723,0,186
1526617321,2,0
1526617982,1,0
1526619610,70,0
1526619794,6,3
1526620321,5,0
1526620563,0,78
1526620921,5,0
1526621523,88,0
1526622122,1,0
1526622721,2,0
1526623395,10,2
1526623922,1,0
1526625363,60,15
1526625721,1,0
1526626323,0,111
1526626921,21,0
1526626934,0,1
1526627522,8,0
1526628122,2,0
1526629203,68,0
1526629322,10,0
1526629922,1,0
1526630538,0,1
1526632083,0,61
1526633042,56,0
1526634136,4,2
1526634966,3,57
1526635322,6,0
1526636882,57,0
1526637121,3,0
1526637734,3,2
1526638322,1,0
1526638921,1,0
1526639581,1,0
1526640724,47,96
1526641395,1,3
1526643721,7,0
1526644563,81,0
1526644995,2,0
1526646976,64,20
1526647322,1,0
1526647921,3,0
1526648883,2,91
1526650322,2,0
1526650803,85,0
1526652198,8,0
1526652721,1,0
1526653322,5,0
1526654643,73,110
1526655121,4,0
1526656321,3,0
1526656802,67,0
1526656922,7,0
1526658122,2,0
1526659395,0,6
1526660643,3,76
1526661722,3,0
1526662563,91,0
1526662996,5,0
1526663522,4,0
1526665322,1,0
1526665921,1,0
1526666418,61,108
1526666535,2,0
1526667122,18,0
1526667722,4,0
1526668327,76,0
1526668922,2,0
1526669521,2,0
1526670195,3,4
1526670721,3,0
1526672165,72,18
1526672522,4,0
1526673122,1,0
1526674083,1,107
1526674321,1,0
1526676002,88,0
1526676122,2,0
1526676721,1,0
1526677335,1,0
1526678521,1,0
1526679844,0,81
1526680322,6,0
1526680935,5,0
1526681764,71,0
1526682122,3,0
1526682781,3,0
1526683322,5,0
1526683923,49,162
1526684600,1,2
1526685121,2,0
1526685722,2,0
1526688011,76,0
1526688199,2,1
1526689923,51,12
1526690523,2,0
1526690883,12,89
1526691803,7,1
1526692922,4,0
1526693522,10,0
1526693763,58,10
1526694122,2,0
1526694721,2,0
1526695922,4,0
1526696643,0,131
1526697181,2,0
1526697843,67,0
1526698321,1,0
1526698998,4,2
1526699763,78,16
1526700122,4,0
1526701321,1,0
1526702644,9,167
1526703122,2,0
1526703722,6,0
1526704381,5,0
1526704922,1,0
1526705522,73,0
1526706195,1,3
1526706721,1,0
1526707322,5,0
1526708522,1,0
1526709363,85,5
1526709796,1,3
1526710323,1,114
1526712121,2,0
1526713213,56,0
1526713395,0,2
1526713921,1,0
1526715124,59,7
1526715721,1,0
1526716083,0,76
1526716998,5,1
1526718122,3,0
1526718962,66,0
1526719322,1,1
1526720601,3,2
1526721845,64,48
1526722802,0,50
1526722922,1,0
1526724199,1,0
1526724722,2,0
1526725322,2,0
1526725981,7,0
1526727721,6,0
1526727800,6,2
1526728564,53,0
1526728922,0,1
1526729523,70,52
1526730484,1,66
1526730722,11,0
1526731400,0,2
1526733722,2,0
1526734322,2,1
1526734996,3,1
1526736484,67,0
1526736782,2,0
1526737443,9,54
1526738412,87,0
1526738521,2,0
1526738538,0,1
1526740921,2,0
1526741283,50,49
1526741521,1,1
1526742243,2,62
1526743321,1,0
1526744162,61,0
1526744521,1,0
1526745122,2,0
1526746082,62,19
1526746922,7,0
1526748964,3,90
1526750522,6,0
1526751122,1,0
1526751843,58,0
1526752936,22,2
1526753522,2,0
1526754121,2,0
1526754721,2,0
1526755203,47,49
1526756596,3,1
1526757603,0,74
1526757722,22,0
1526758921,2,0
1526759521,0,1
1526760722,6,0
1526761442,118,0
1526762883,14,66
1526763121,4,0
1526763803,1,1
1526764322,1,0
1526764803,0,56
1526765521,1,0
1526766121,1,0
1526766721,1,0
1526767215,69,0
1526767396,0,1
1526767921,4,0
1526768643,10,69
1526769125,49,0
1526769722,6,0
1526770996,1,1
1526771522,2,0
