DateTime,AddedIPs,RemovedIPs
1525756802,11,4
1525758602,256,256
1525760133,8,18
1525763748,24,10
1525767925,19,10
1525770967,5,15
1525773131,0,1
1525774533,1,0
1525775044,9,4
1525779004,7,14
1525780805,0,3932160
1525782018,15,18
1525784404,1,27136
1525785351,38,3
1525789205,2,3
1525792533,0,1
1525793045,4,5
1525793425,2305,2305
1525796128,260,266
1525799720,256,256
1525800002,6,39
1525800730,1,0
1525801518,256,256
1525803342,256,256
1525804210,22,3
1525805402,256,256
1525806921,260,260
1525808886,256,256
1525810806,6,4
1525814131,4,12
1525817729,12,30
1525819528,256,256
1525821328,290,261
1525824930,20,13
1525826646,1536,1280
1525829109,24,1
1525832135,2,4
1525835710,6,29
1525839328,9,15
1525841402,1024,0
1525842902,6,24
1525844166,0,1
1525845603,256,256
1525846802,16,3
1525850076,4,11
1525854001,16,16
1525856702,0,1
1525857605,10,6
1525860933,22,4
1525864534,6,3
1525868402,2,9
1525870814,0,19712
1525872008,6,6
1525872605,1,1
1525876086,2,25
1525878934,0,1
1525879502,16,10
1525881902,0,1024
1525882505,11,2
1525886133,7,263
1525890002,1,7
1525890603,2048,2304
1525893283,4,31
1525897449,10,18
1525900502,16,9
1525904402,40,7
1525907710,11,7
1525908001,256,256
1525911601,17,1
1525913050,512,512
1525913104,0,1
1525914968,256,256
1525915203,5,4
1525918502,5,16
1525921502,0,1
1525922590,3,32
1525925704,3,10
1525929336,7,46
1525932058,256,257
1525932902,24,9
1525936563,51,2
1525940408,9,4
1525943631,5,3
1525947304,7,4
1525950905,5,16
1525952728,0,1
1525954801,12,4
1525955701,1,0
1525957203,4352,40960
1525958169,5,7
1525962249,4,10
1525965330,2,13
1525968012,1,0
1525968931,2,0
1525969632,3,32
1525971001,0,1
1525972802,26,14
1525973703,1536,1536
1525975203,256,256
1525976168,5,8
1525977002,1,0
1525980007,22,5
1525980902,256,256
1525983322,12,1
1525985113,0,1
1525986905,8,8
1525990520,266,262
1525994411,8,9
1525995933,256,257
1525997722,256,256
1525998002,34,5
1525999040,512,512
1526000645,0,1
1526001602,17,11
1526005202,1,6
1526009240,5,45
1526009404,0,1
1526012121,7,5
1526015659,8,23
1526019253,7,0
1526022930,14,4
1526026525,18,5
1526030404,5,8
1526033704,13,2
1526037332,4,5
1526039104,1,0
1526040909,2,12
1526042743,1,0
1526043602,1024,8704
1526044802,3,12
1526048136,3,44
1526052005,17,28
1526055331,9,9
1526056202,1536,1280
1526058921,41,13
1526062520,9,2
1526064602,0,1
1526065445,1,0
1526066124,4,10
1526067923,256,256
1526069725,0,256
1526070002,15,4
1526070604,1024,768
1526073326,6,37
1526074207,0,1
1526076969,256,256
1526077202,12,8
1526080804,36,5
1526084123,300,263
1526085908,0,1
1526088002,2,5
1526089504,0,1
1526091956,10,4
1526094928,6,28
1526096407,0,1
1526096728,1,0
1526098522,7,24
1526100329,1,0
1526102168,10,1
1526104808,0,1
1526106006,12,30
1526108402,0,2
1526109334,0,1
1526109844,11,8
1526112931,17,7
1526117526,8,11
1526120129,10,7
1526123704,24,7
1526128208,8,6
1526130003,0,46336
1526131445,5,4
1526134529,5,8
1526138125,0,1
1526139002,6,27
1526139929,0,1
1526141769,11,6
1526145610,9,6
1526145902,1280,1024
1526148002,256,256
1526149446,4,15
1526152508,12,18
1526153287,256,256
1526156125,256,256
1526156402,6,15
1526157130,0,1
1526159719,42,7
1526160967,0,1
1526163325,271,263
1526164809,256,256
1526166931,1290,257
1526170571,512,512
1526174012,28,641553835
1526175924,5120,0
1526177648,8,9
1526181290,6,33
1526184846,10,5135
1526185806,69,439
1526188467,434,69
1526192023,30,3
1526193934,5120,0
1526195652,0,5
1526200037,3,11
1526202822,7,5
1526206540,261,279
1526210130,25,8
1526213683,6,4
1526216403,620111304,0
1526217202,6,10
1526220930,9,6
1526224495,7,55
1526228817,16,7
1526231732,31,7
1526232332,1792,1792
1526235320,541,519
1526237115,256,256
1526239478,18,6
1526241603,70,0
1526242523,516,514
1526244302,0,1
1526246093,4,8
1526249719,6,13
1526254203,11,27
1526256005,256,256
1526256907,31,10
1526257419,256,256
1526257502,298,0
1526258102,1,0
1526259002,256,256
1526260523,10,5
1526264102,4,15
1526267728,10,28
1526269508,1,0
1526271307,3,26
1526274926,9,17
1526278801,45,6
1526280002,0,1
1526280602,1,0
1526282036,9,3
1526285704,5,3
1526289330,4,2
1526293202,7,27
1526296503,3,14
1526300102,7,23
1526302502,256,0
1526304604,30,4
1526307325,7,17
1526308836,21433443,0
1526309126,1024,0
1526311448,6,6
1526313366,0,1
1526313605,1,0
1526314504,8,6
1526315286,1792,1792
1526318115,512,512
1526319129,16,16
1526321706,4,10
1526321724,766,768
1526325738,17,5
1526328003,256,256
1526328969,3,11
1526329802,0,1
1526332507,0,1
1526333286,5,21
1526333402,1,0
1526334309,1,0
1526336116,15,1284
1526340001,12,37
1526340603,0,1
1526344038,277,257
1526345122,256,256
1526347209,14,7
1526350528,14,14
1526354128,5,26
1526358302,24,12
1526361324,8,8
1526364963,14,7
1526367603,1,0
1526368506,18,8
1526372108,4,14
1526374201,1,0
1526376002,14,5
1526379307,15,12
1526381402,1,0
1526382928,6,10
1526386529,1,0
1526387059,18,2
1526389203,0,39680
1526390124,3,12
1526391126,770,766
1526393051,1,0
1526393717,265,270
1526397306,4,15
1526399109,2,0
1526400969,265,289
1526401803,3,0
1526402889,0,1
1526404806,7,7
1526408115,256,256
1526408884,25,13
1526410816,1,0
1526411726,26,2
1526416206,6,8
1526418968,7,7
1526422806,3,15
1526426104,7,37
1526428566,253,256
1526429401,0,2
1526429719,60,7
1526433602,26,1
1526436903,4,5
1526440802,8,17
1526444101,5,16
1526447769,2,29
1526451610,20,11
1526454930,4,24
1526458537,1,0
1526458802,17,35
1526461225,0,1
1526462131,25,8
1526465736,5,10
1526469334,23,2
1526471402,512,1024
1526472934,28,6
1526475603,2048,58112
1526476568,3,8
1526477408,1,0
1526479207,1,1
1526479502,1,0
1526480407,2,5
1526483708,13,6
1526487302,10,31
1526490907,4,10
1526493002,1,0
1526494568,256,256
1526494802,28,3
1526495402,1792,1788
1526498403,1,16
1526501719,256,256
1526502244,17,9
1526503502,1,0
1526505306,12,2
1526508917,6,9
1526514244,5,3
1526516173,512,512
1526516402,12,20
1526517487,512,512
1526520005,18,13
1526523305,18,8
1526525106,0,1
1526526906,5,23
1526530802,16,3
1526534106,3,7
1526535906,0,2
1526537729,3,10
1526538606,0,2
1526541327,4,4
1526541902,1024,0
1526543402,1,0
1526544970,10,50
1526545802,1,0
1526547605,0,1
1526548400,44,7
1526552126,9,5
1526555702,10,2
1526556604,0,1
1526559303,6,3
1526562003,1,37632
1526562931,4,19
1526566502,6,7
1526570165,7,28
1526570574,2048,1792
1526574005,11,8
1526577319,13,14
1526580921,259,269
1526585022,31,3
1526586602,256,256
1526588045,5,12
1526591720,7,12
1526595302,9,6
1526595602,0,256
1526600165,15,29
1526602502,34,3
1526602802,256,256
1526606166,4,18
1526610006,10,8
1526613302,3,21
1526616902,7,21
1526619615,0,1
