DateTime,AddedIPs,RemovedIPs
1526401322,1,0
1526401922,10,0
1526402522,4,0
1526403121,2,0
1526404322,2,0
1526406122,2,1
1526407322,1,0
1526407922,1,0
1526408522,1,0
1526411521,1,0
1526412122,8,0
1526416922,4,0
1526417522,3,0
1526418122,1,0
1526418721,8,0
1526419322,15,0
1526419921,3,0
1526420522,3,0
1526421122,4,0
1526421721,19,0
1526422321,3,0
1526422921,8,0
1526423581,2,0
1526424122,1,0
1526426522,10,0
1526427721,17,0
1526428321,3,0
1526430121,1,0
1526430781,1,0
1526431321,1,0
1526431922,2,0
1526434922,1,0
1526435522,8,0
1526436122,1,0
1526437322,4,0
1526437981,2,0
1526439121,1,0
1526439721,14,0
1526440321,5,0
1526440922,8,0
1526441522,1,0
1526442121,1,0
1526442722,2,0
1526443322,1,0
1526443921,7,0
1526444521,2,0
1526445181,0,1
1526446322,23,0
1526446922,2,0
1526447522,5,0
1526448121,6,0
1526448721,1,0
1526449322,1,0
1526450521,1,0
1526451121,1,0
1526452381,1,0
1526453521,1,0
1526454722,1,0
1526455321,4,0
1526455922,2,0
1526456521,1,0
1526458921,2,0
1526459581,1,0
1526461322,2,0
1526461922,2,0
1526463121,1,0
1526464922,5,0
1526465522,1,0
1526467321,5,0
1526468521,5,0
1526469375,180,88
1526469722,1,0
1526470321,1,0
1526472122,1,0
1526472722,2,0
1526473322,2,0
1526473981,2,0
1526475122,1,0
1526475722,1,0
1526477521,1,1
1526480521,2,0
1526482922,2,0
1526485321,5,0
1526486521,3,0
1526487122,2,0
1526488381,6,0
1526488921,2,0
1526490122,1,0
1526492521,2,0
1526494922,4,0
1526495522,5,0
1526496122,3,0
1526496721,2,0
1526497321,2,0
1526498522,4,0
1526501521,4,0
1526502122,6,0
1526503322,13,0
1526503921,8,0
1526504521,2,0
1526506381,22,0
1526506921,2,0
1526507522,1,0
1526508122,1,0
1526508721,1,0
1526509322,1,0
1526509921,3,0
1526512321,10,0
1526512922,1,0
1526514121,1,0
1526514722,1,0
1526515322,1,0
1526515922,1,0
1526516522,1,0
1526518322,2,0
1526518922,4,0
1526520122,2,0
1526522522,4,0
1526523123,9,0
1526523721,3,1
1526524921,3,0
1526525521,2,0
1526526122,1,0
1526526721,5,0
1526527321,2,0
1526527981,1,0
1526528522,7,0
1526529722,2,0
1526530322,1,0
1526530921,2,0
1526532121,4,0
1526532721,2,0
1526533922,11,0
1526535722,23,0
1526537522,4,0
1526538722,2,0
1526539921,2,0
1526540521,4,0
1526541722,2,0
1526542922,1,0
1526543522,1,0
1526544122,3,0
1526544721,2,0
