DateTime,AddedIPs,RemovedIPs
1524432726,1,0
1524438494,0,1
1524439208,1,0
1524445926,0,1
1524446411,1,0
1524450007,0,1
1524452422,1,0
1524457688,0,1
1524461044,1,0
1524464413,0,1
1524467288,1,0
1524468261,3,0
1524474012,0,1
1524475205,1,0
1524477124,1,0
1524478092,0,1
1524480965,1,0
1524483847,0,1
1524487205,1,0
1524502812,0,1
1524503287,0,2
1524503769,2,0
1524506652,1,0
1524507606,0,1
1524511937,3,0
1524512893,4,5
1524519367,1,0
1524525606,0,1
1524528486,1,2
1524528971,2,0
1524534726,0,1
1524535221,1,0
1524543850,0,1
1524544331,1,0
1524555634,2,0
1524557525,0,1
1524561370,1,0
1524563766,0,2
1524564252,2,0
1524570726,0,1
1524573128,1,0
1524574087,1,0
1524580087,0,1
1524581532,0,1
1524584405,1,0
1524585848,1,0
1524589451,0,1
1524593047,1,0
1524596417,0,1
1524597846,1,0
1524598329,0,1
1524599305,5,4
1524601217,1,0
1524604569,0,2
1524605045,2,0
1524620164,0,1
1524620650,1,0
1524622571,0,1
1524625446,1,0
1524628820,0,2
1524629287,2,0
1524646810,1,0
1524649788,0,1
1524651846,0,1
1524654733,0,2
1524655205,3,0
1524656168,1,0
1524661451,1,0
1524671532,0,1
1524678250,1,0
1524680168,0,1
1524680647,1,0
1524681365,0,1
1524682865,1,0
1524685691,4,2
1524686688,1,0
1524695529,0,1
1524698651,0,2
1524699607,2,0
1524701531,1,0
1524705368,1,0
1524706805,0,1
1524707291,1,0
1524707766,0,1
1524708247,1,0
1524730583,2,0
1524737770,1,0
1524740647,0,1
1524744016,1,0
1524744969,1,0
1524745931,2,0
1524747367,0,1
1524750967,1,0
1524754815,0,1
1524759126,1,0
1524761528,0,1
1524763449,1,0
1524765849,0,1
1524767770,3,0
1524772088,4,5
1524773050,1,0
1524774510,1,0
1524777368,1,0
1524792727,0,1
1524793205,1,1
1524793687,1,0
1524806166,0,2
1524806648,1,0
1524807128,0,1
1524807607,2,0
1524813130,313,291
1524815531,1,0
1524829447,1,0
1524831366,0,2
1524831858,1,0
1524832328,1,0
1524834248,1,0
1524836406,0,1
1524840969,0,2
1524841450,2,0
1524843845,1,0
1524847690,0,2
1524848168,0,1
1524848649,1,0
1524849609,2,0
1524851051,0,2
1524852965,0,1
1524858251,2,2
1524861847,1,0
1524905540,1,0
1524913688,1,0
1524921370,0,1
1524925929,1,0
1524944889,4,1
1524947768,0,1
1524949249,2,0
1524966489,1,0
1524966965,0,1
1524967451,1,1
1524978485,1,0
1524982810,0,1
1525002490,1,0
1525005846,0,1
1525010165,1,0
1525014487,0,1
1525026730,1,0
1525031287,1,1
1525043049,1,0
1525052645,0,1
1525057929,0,1
1525058890,1,0
1525062244,0,1
1525064648,1,0
1525076164,0,1
1525080005,1,0
1525080510,3,0
1525085530,1,0
1525091291,0,1
1525092724,0,1
1525093218,1,0
1525100649,0,1
1525101606,0,1
1525105205,1,0
1525117926,2,2
1525119845,0,1
1525124170,2,0
1525124408,1,0
1525127764,0,1
1525148887,1,0
1525153208,0,1
1525155606,1,0
1525160888,1,0
1525164729,0,1
1525167848,4,0
1525168566,1,0
1525171926,0,1
1525175766,1,0
1525189691,1,0
1525200246,0,1
1525204085,1,4
