DateTime,AddedIPs,RemovedIPs
1525914027,711,0
1525915937,21,22
1525917868,20,24
1525920017,16,31
1525921949,17,29
1525923877,22,14
1525926017,20,21
1525927936,6,24
1525929858,10,9
1525931776,28,23
1525933690,29,18
1525935868,91,71
1525937783,51,35
1525939942,55,56
1525941861,45,25
1525943771,49,33
1525945696,30,44
1525947617,52,33
1525949536,34,35
1525951454,30,24
1525953368,24,23
1525955311,32,1882
1525957243,736,1
1525959149,50,43
1525961078,51,38
1525963234,79,19
1525965156,46,24
1525967069,47,24
1525969244,31,30
1525971146,47,24
1525973067,41,26
1525975236,101,49
1525977147,23,23
1525979072,37,29
1525981008,38,21
1525982916,52,28
1525984827,28,43
1525986755,31,33
1525988669,20,25
1525990597,20,45
1525992737,27,36
1525994906,37,30
1525997324,40,56
1525999228,18,24
1526001401,676,0
1526003312,25,39
1526005479,18,37
1526007389,31,19
1526009302,28,22
1526011239,68,53
1526013402,22,23
1526017227,136,53
1526019146,20,22
1526021069,31,23
1526022987,16,29
1526024911,24,21
1526026826,35,28
1526028992,36,43
1526031142,87,58
1526033083,52,45
1526034992,39,35
1526036913,45,31
1526038828,35,32
1526040756,47,1726
1526042672,38,27
1526044596,816,0
1526046510,48,24
1526048428,63,19
1526050589,50,16
1526052511,37,22
1526054459,92,41
1526056342,23,9
1526058276,44,15
1526060196,18,25
1526062118,30,30
1526064027,34,31
1526065956,26,61
1526067870,23,55
1526069799,24,57
1526071712,34,44
1526073633,45,50
1526075564,32,32
1526077467,42,54
1526079386,43,32
1526081310,43,31
1526083255,38,55
1526085148,30,26
1526087305,742,0
1526089228,41,23
1526091152,39,18
1526093071,27,16
1526094997,28,22
1526096914,21,21
1526098837,24,17
1526100747,23,6
1526102670,21,14
1526104592,24,24
1526106511,37,28
1526108425,35,30
1526110351,133,108
1526112270,31,56
1526114191,23,44
1526116118,32,50
1526118257,27,29
1526120207,13,52
1526122112,35,32
1526124014,48,31
1526125931,37,23
1526127871,27,1776
1526130030,825,0
1526131942,32,24
1526133865,23,19
1526135795,36,32
1526137716,55,30
1526139629,52,36
1526141957,49,27
1526144174,45,27
1526146092,80,27
1526148025,98,41
1526149936,34,24
1526151867,40,18
1526153784,23,20
1526155705,24,31
1526157627,26,36
1526159539,38,43
1526161458,24,50
1526163383,25,52
1526165324,39,43
1526167215,36,46
1526169148,33,35
1526171081,32,50
1526173255,729,0
1526175148,30,22
1526177056,22,16
1526178981,18,30
1526181151,20,26
1526183058,15,36
1526184988,23,25
1526186897,21,26
1526188839,20,26
1526190737,21,18
1526192656,17,18
1526194587,27,23
1526196487,35,16
1526198453,35,50
