DateTime,Entries,UniqueIPs
1525914027,3631,3631
1525915937,3630,3630
1525917868,3626,3626
1525920017,3611,3611
1525921949,3599,3599
1525923877,3607,3607
1525926017,3606,3606
1525927936,3588,3588
1525929858,3589,3589
1525931776,3594,3594
1525933690,3605,3605
1525935868,3625,3625
1525937783,3641,3641
1525939942,3640,3640
1525941861,3660,3660
1525943771,3676,3676
1525945696,3662,3662
1525947617,3681,3681
1525949536,3680,3680
1525951454,3686,3686
1525953368,3687,3687
1525955311,1837,1837
1525957243,2572,2572
1525959149,2579,2579
1525961078,2592,2592
1525963234,2652,2652
1525965156,2674,2674
1525967069,2697,2697
1525969244,2698,2698
1525971146,2721,2721
1525973067,2736,2736
1525975236,2788,2788
1525977147,2788,2788
1525979072,2796,2796
1525981008,2813,2813
1525982916,2837,2837
1525984827,2822,2822
1525986755,2820,2820
1525988669,2815,2815
1525990597,2790,2790
1525992737,2781,2781
1525994906,2788,2788
1525997324,2772,2772
1525999228,2766,2766
1526001401,3442,3442
1526003312,3428,3428
1526005479,3409,3409
1526007389,3421,3421
1526009302,3427,3427
1526011239,3442,3442
1526013402,3441,3441
1526017227,3524,3524
1526019146,3522,3522
1526021069,3530,3530
1526022987,3517,3517
1526024911,3520,3520
1526026826,3527,3527
1526028992,3520,3520
1526031142,3549,3549
1526033083,3556,3556
1526034992,3560,3560
1526036913,3574,3574
1526038828,3577,3577
1526040756,1898,1898
1526042672,1909,1909
1526044596,2725,2725
1526046510,2749,2749
1526048428,2793,2793
1526050589,2827,2827
1526052511,2842,2842
1526054459,2893,2893
1526056342,2907,2907
1526058276,2936,2936
1526060196,2929,2929
1526062118,2929,2929
1526064027,2932,2932
1526065956,2897,2897
1526067870,2865,2865
1526069799,2832,2832
1526071712,2822,2822
1526073633,2817,2817
1526075564,2817,2817
1526077467,2805,2805
1526079386,2816,2816
1526081310,2828,2828
1526083255,2811,2811
1526085148,2815,2815
1526087305,3557,3557
1526089228,3575,3575
1526091152,3596,3596
1526093071,3607,3607
1526094997,3613,3613
1526096914,3613,3613
1526098837,3620,3620
1526100747,3637,3637
1526102670,3644,3644
1526104592,3644,3644
1526106511,3653,3653
1526108425,3658,3658
1526110351,3683,3683
1526112270,3658,3658
1526114191,3637,3637
1526116118,3619,3619
1526118257,3617,3617
1526120207,3578,3578
1526122112,3581,3581
1526124014,3598,3598
1526125931,3612,3612
1526127871,1863,1863
1526130030,2688,2688
1526131942,2696,2696
1526133865,2700,2700
1526135795,2704,2704
1526137716,2729,2729
1526139629,2745,2745
1526141957,2767,2767
1526144174,2785,2785
1526146092,2838,2838
1526148025,2895,2895
1526149936,2905,2905
1526151867,2927,2927
1526153784,2930,2930
1526155705,2923,2923
1526157627,2913,2913
1526159539,2908,2908
1526161458,2882,2882
1526163383,2855,2855
1526165324,2851,2851
1526167215,2841,2841
1526169148,2839,2839
1526171081,2821,2821
1526173255,3550,3550
1526175148,3558,3558
1526177056,3564,3564
1526178981,3552,3552
1526181151,3546,3546
1526183058,3525,3525
1526184988,3523,3523
1526186897,3518,3518
1526188839,3512,3512
1526190737,3515,3515
1526192656,3514,3514
1526194587,3518,3518
1526196487,3537,3537
1526198453,3522,3522
1526200335,3513,3513
1526202258,3496,3496
1526204197,3477,3477
1526206098,3457,3457
1526208011,3437,3437
1526209947,3424,3424
1526211855,3413,3413
1526213771,1698,1698
1526215691,1671,1671
1526217613,2482,2482
