DateTime,AddedIPs,RemovedIPs
1519468085,7,2
1519482739,7,0
1519497374,8,2
1519513718,5,1
1519528329,3,2
1519542975,3,2
1519557606,9,0
1519572262,9,1
1519587384,12,0
1519602016,13,1
1519616662,6,2
1519631548,11,0
1519646173,7,0
1519660820,3,0
1519675462,6,0
1519690104,12,0
1519704984,9,0
1519719619,1,0
1519734503,8,0
1519749538,5,0
1519764255,2,1
1519778891,5,2
1519793783,6,4
1519808422,4,0
1519823301,6,2
1519837944,6,4
1519852574,6,0
1519867206,7,2
1519881859,7,0
1519896743,7,0
1519911612,9,0
1519926256,4,1
1519941140,2,2
1519955782,6,0
1519970410,1,1
1519985050,3,1
1519999701,3,0
1520014337,3,0
1520029220,6,3
1520043852,6,0
1520058496,6,1
1520073378,4,0
1520088017,11,1
1520102665,1,2
1520117292,5,0
1520131925,4,1
1520146566,4,1
1520161223,3,3
1520175856,8,0
1520190988,3,0
1520206915,8,0
1520221455,6,1
1520236092,2,1
1520250727,7,2
1520265619,7,0
1520280497,6,7
1520295132,3,1
1520310016,8,1
1520324650,5,0
1520339307,4,0
1520353951,5,2
1520368565,4,0
1520383459,5,0
1520398335,6,0
1520412971,2,1
1520427608,7,1
1520442259,5,2
1520456902,6,1
1520471533,2,1
1520486416,6,0
1520501049,1,2
1520515936,4,0
1520530578,4,1
1520545209,4,1
1520559857,5,2
1520574486,5,3
1520589382,2,0
1520604262,4,0
1520618892,5,2
1520633531,8,2
1520648176,3,0
1520662806,5,1
1520677460,5,1
1520692349,5,1
1520706976,3,0
1520721618,5,1
1520736506,6,1
1520751141,4,1
1520766023,11,1
1520780655,3,1
1520795536,3,3
1520810412,7,0
1520825065,4,0
1520839691,4,0
1520854326,9,0
1520868972,5,4
1520883617,5,0
1520898249,3,0
1520912895,1,1
1520927537,4,1
1520942426,7,2
1520957297,1,0
1520971942,2,1
1520986818,4,0
1521001455,1,1
1521016097,8,0
1521030734,0,4
1521045444,1,0
1521060007,4,1
1521074669,6,0
1521089290,6,0
1521103934,7,0
1521118577,8,1
1521133222,5,2
1521148101,10,1
1521162669,2,0
1521177364,8,1
1521192251,5,0
1521206892,1,0
1521221531,6,0
1521236176,2,1
1521250809,6,0
1521265464,3,0
1521280332,2,1
1521294966,6,1
1521309632,4,3
1521324494,5,0
1521339139,8,2
1521353770,5,0
1521368409,3,0
1521383297,3,0
1521398179,6,0
1521414044,8,1
1521443537,2,0
1521458177,5,1
1521472805,4,1
1521487732,5,0
1521502346,6,0
1521517215,2,1
1521531859,1,2
1521546493,2,0
1521561142,4,0
1521575772,3,1
1521605059,4,0
1521619687,3,0
1521634339,1,1
1521648966,4,0
1521663617,5,0
1521678249,3,0
1521692889,6,0
1521707776,0,1
1521722665,0,1
1521737290,4,1
1521751940,5,0
1521766570,3,0
1521781221,6,0
1521795860,3,0
1521810485,1,1
1521825386,4,1
1521840251,1,0
1521855383,4,0
1521870258,6,0
1521884885,1,1
1521899530,5,0
1521914174,5,0
1521929058,3,1
1521943929,2,0
1521958589,3,0
1521973209,1,2
1521988095,2,2
1522002740,4,0
1522017358,2,0
1522032262,5,0
1522046902,7,1
1522062049,2,0
1522076897,3,1
1522091777,5,3
1522106409,3,1
1522121060,12,2
1522135694,4,0
1522150331,4,1
1522164968,3,0
1522179612,6,0
1522194248,1,0
1522209645,2,1
1522224494,5,0
1522239393,1,1
1522254017,3,0
1522268657,5,0
1522283319,2,0
1522298181,3,0
1522313063,1,1
1522327701,3,0
1522342336,3,1
1522356989,5,0
1522371635,3,0
1522386289,2,0
1522400892,5,2
1522415782,1,0
1522430416,4,1
1522445059,5,0
1522459703,1,2
1522474576,3,0
1522489461,3,0
1522504335,7,0
1522518968,3,0
1522533856,8,0
1522548499,3,0
1522563377,1,0
