DateTime,AddedIPs,RemovedIPs
1526445003,343,527
1526445902,491,537
1526446802,495,509
1526447702,554,1060
1526448603,449,751
1526449502,418,622
1526450402,315,432
1526451302,439,327
1526452202,583,351
1526453103,1847,287
1526454003,746,242
1526454902,385,643
1526455803,306,624
1526456702,336,703
1526457603,356,656
1526458502,311,576
1526459402,234,495
1526460302,324,395
1526461202,219,422
1526462102,64,370
1526463002,73,302
1526463903,55,298
1526464802,60,472
1526465702,117,603
1526466602,91,292
1526467502,88,238
1526468402,91,205
1526469301,105,222
1526470202,112,281
1526471102,107,234
1526472002,884,211
1526472902,762,202
1526473803,410,419
1526474702,495,634
1526475602,96,1350
1526476503,577,979
1526477402,392,1112
1526478302,656,838
1526479203,380,847
1526480102,480,761
1526481002,406,743
1526481902,443,667
1526482802,474,712
1526483702,569,668
1526484602,175,567
1526485502,93,504
1526486402,92,514
1526487301,138,460
1526488202,158,420
1526489101,243,403
1526490001,721,564
1526490902,116,557
1526491802,91,570
1526492702,67,535
1526493601,100,495
1526494502,106,1114
1526495401,72,1118
1526496301,87,847
1526497202,91,1504
1526498101,105,669
1526499001,95,675
1526499901,80,477
1526500801,114,725
1526501701,105,435
1526502601,102,531
1526503501,96,462
1526504402,109,479
1526505301,132,569
1526506201,108,680
1526507101,135,190
1526508001,147,93
1526508901,94,89
1526509801,134,132
1526511602,11234,340
1526512502,536,701
1526513401,373,117
1526514302,411,91
1526515201,464,69
1526516102,387,94
1526517002,263,97
1526517902,303,67
1526518802,319,82
1526519702,297,95
1526520602,359,96
1526521502,367,84
1526522403,323,77
1526523303,280,102
1526524202,181,103
1526525102,293,94
1526526003,313,92
1526526903,246,102
1526527802,294,122
1526528702,265,110
1526529602,301,127
1526530502,299,133
1526531402,375,82
1526532302,271,129
1526533202,294,73
1526534102,365,64
1526535002,332,69
1526535903,357,58
1526536803,387,52
1526537702,389,83
1526538602,325,58
1526539502,288,59
1526540403,326,42
1526541303,370,41
1526542202,349,33
1526543102,352,170
1526544003,300,64
1526544902,344,70
1526545803,283,69
1526546702,298,49
1526547603,262,77
1526548503,351,69
1526549403,245,63
1526550303,262,71
1526551202,261,67
1526552103,286,78
1526553003,276,85
1526553903,402,179
1526554802,457,8751
