DateTime,Entries,UniqueIPs
1526445003,22656,22656
1526445902,22610,22610
1526446802,22596,22596
1526447702,22090,22090
1526448603,21788,21788
1526449502,21584,21584
1526450402,21467,21467
1526451302,21579,21579
1526452202,21811,21811
1526453103,23371,23371
1526454003,23875,23875
1526454902,23617,23617
1526455803,23299,23299
1526456702,22932,22932
1526457603,22632,22632
1526458502,22367,22367
1526459402,22106,22106
1526460302,22035,22035
1526461202,21832,21832
1526462102,21526,21526
1526463002,21297,21297
1526463903,21054,21054
1526464802,20642,20642
1526465702,20156,20156
1526466602,19955,19955
1526467502,19805,19805
1526468402,19691,19691
1526469301,19574,19574
1526470202,19405,19405
1526471102,19278,19278
1526472002,19951,19951
1526472902,20511,20511
1526473803,20502,20502
1526474702,20363,20363
1526475602,19109,19109
1526476503,18707,18707
1526477402,17987,17987
1526478302,17805,17805
1526479203,17338,17338
1526480102,17057,17057
1526481002,16720,16720
1526481902,16496,16496
1526482802,16258,16258
1526483702,16159,16159
1526484602,15767,15767
1526485502,15356,15356
1526486402,14934,14934
1526487301,14612,14612
1526488202,14350,14350
1526489101,14190,14190
1526490001,14347,14347
1526490902,13906,13906
1526491802,13427,13427
1526492702,12959,12959
1526493601,12564,12564
1526494502,11556,11556
1526495401,10510,10510
1526496301,9750,9750
1526497202,8337,8337
1526498101,7773,7773
1526499001,7193,7193
1526499901,6796,6796
1526500801,6185,6185
1526501701,5855,5855
1526502601,5426,5426
1526503501,5060,5060
1526504402,4690,4690
1526505301,4253,4253
1526506201,3681,3681
1526507101,3626,3626
1526508001,3680,3680
1526508901,3685,3685
1526509801,3687,3687
1526511602,14581,14581
1526512502,14416,14416
1526513401,14672,14672
1526514302,14992,14992
1526515201,15387,15387
1526516102,15680,15680
1526517002,15846,15846
1526517902,16082,16082
1526518802,16319,16319
1526519702,16521,16521
1526520602,16784,16784
1526521502,17067,17067
1526522403,17313,17313
1526523303,17491,17491
1526524202,17569,17569
1526525102,17768,17768
1526526003,17989,17989
1526526903,18133,18133
1526527802,18305,18305
1526528702,18460,18460
1526529602,18634,18634
1526530502,18800,18800
1526531402,19093,19093
1526532302,19235,19235
1526533202,19456,19456
1526534102,19757,19757
1526535002,20020,20020
1526535903,20319,20319
1526536803,20654,20654
1526537702,20960,20960
1526538602,21227,21227
1526539502,21456,21456
1526540403,21740,21740
1526541303,22069,22069
1526542202,22385,22385
1526543102,22567,22567
1526544003,22803,22803
1526544902,23077,23077
1526545803,23291,23291
1526546702,23540,23540
1526547603,23725,23725
1526548503,24007,24007
1526549403,24189,24189
1526550303,24380,24380
1526551202,24574,24574
1526552103,24782,24782
1526553003,24973,24973
1526553903,25196,25196
1526554802,16902,16902
1526555702,17188,17188
1526556602,17247,17247
1526557502,17383,17383
1526558402,17318,17318
1526559302,17617,17617
1526560202,17672,17672
1526561102,17892,17892
1526562002,18012,18012
1526562902,18115,18115
1526563802,18157,18157
1526564702,18669,18669
1526565602,18755,18755
1526566502,18975,18975
1526567402,19109,19109
1526568302,19328,19328
1526569202,19212,19212
1526570103,19093,19093
1526571002,18985,18985
1526571902,18891,18891
1526572802,18831,18831
1526573702,18809,18809
1526574603,18834,18834
1526575502,18825,18825
1526576402,18828,18828
1526577302,18463,18463
1526578202,18345,18345
1526579102,18164,18164
1526580002,17920,17920
1526580902,17683,17683
1526581802,17350,17350
1526582702,17102,17102
1526583602,16987,16987
1526584502,16842,16842
1526585402,16684,16684
1526586302,16565,16565
1526587202,16358,16358
1526588102,16224,16224
1526589003,16099,16099
1526589902,15955,15955
1526590802,15777,15777
1526591702,15694,15694
1526592602,15489,15489
1526593502,15408,15408
1526594402,15327,15327
1526595302,15236,15236
1526596202,15082,15082
1526598002,14520,14520
1526598901,12433,12433
1526599802,12005,12005
1526600702,11581,11581
1526601601,11340,11340
1526602502,11251,11251
1526603402,11120,11120
1526604302,11077,11077
1526605202,10980,10980
1526606102,10728,10728
1526607002,10564,10564
1526607902,10468,10468
1526608802,10073,10073
1526609701,10036,10036
1526610602,9958,9958
1526611502,9886,9886
1526612402,9824,9824
1526613301,10047,10047
1526614201,10204,10204
1526615102,10318,10318
1526616002,10480,10480
1526616902,10588,10588
1526617801,10656,10656
1526618702,10784,10784
1526619601,10901,10901
1526620502,11053,11053
1526621401,11176,11176
1526622302,11224,11224
1526623202,11254,11254
1526624102,11455,11455
1526625001,11536,11536
1526625901,11665,11665
1526626802,11792,11792
1526627701,11967,11967
1526628602,12057,12057
1526629502,12169,12169
1526630402,12272,12272
1526631302,12273,12273
1526632202,12300,12300
1526633102,12339,12339
1526634002,12489,12489
1526634901,12570,12570
1526635801,12584,12584
1526636701,12626,12626
1526637602,12637,12637
1526638502,12656,12656
1526639401,12707,12707
1526640301,13487,13487
1526641202,13742,13742
1526642102,14033,14033
1526643001,14052,14052
1526643902,13912,13912
1526644802,14469,14469
1526646602,14441,14441
1526647502,14931,14931
1526648402,14748,14748
1526649302,14606,14606
1526650202,15089,15089
1526651102,15265,15265
1526652001,15076,15076
1526652902,14907,14907
1526653802,15021,15021
1526654702,15568,15568
1526655602,15383,15383
1526656502,15155,15155
1526657402,15300,15300
1526658302,15569,15569
1526659202,15446,15446
1526660103,15368,15368
1526661002,15295,15295
1526661902,15628,15628
1526662802,14984,14984
1526663702,14662,14662
1526664602,14332,14332
1526665502,14708,14708
1526666402,14725,14725
1526667301,14162,14162
1526668202,13871,13871
1526669101,13745,13745
1526670002,13787,13787
1526670902,13613,13613
1526671802,13381,13381
1526672701,12852,12852
1526673602,12490,12490
1526674502,12923,12923
1526675402,12836,12836
1526676301,12461,12461
1526677202,11757,11757
1526678102,11530,11530
1526679002,11384,11384
1526679901,11043,11043
1526680801,10729,10729
1526681701,10628,10628
1526682602,10479,10479
1526683501,10329,10329
1526684401,9645,9645
1526685302,9449,9449
1526686201,9253,9253
1526687102,9222,9222
1526688001,8862,8862
1526688901,8494,8494
1526689802,8431,8431
1526690701,8443,8443
1526691601,8121,8121
1526692502,7680,7680
1526693401,7615,7615
1526694301,7356,7356
1526695202,7339,7339
1526696101,7319,7319
1526697001,6943,6943
1526697901,6770,6770
1526698802,6467,6467
1526699701,6510,6510
1526700601,6567,6567
1526701502,6422,6422
1526702402,6212,6212
1526703301,6198,6198
1526704202,6238,6238
1526705102,6242,6242
1526706001,6012,6012
1526706902,6106,6106
1526707802,6165,6165
1526708701,6185,6185
1526709602,5920,5920
1526710501,6009,6009
1526711401,6039,6039
1526712302,6193,6193
