DateTime,AddedIPs,RemovedIPs
1518016216,8,5
1518030626,2,0
1518045014,0,5
1518059415,2,1
1518073813,1,5
1518088213,1,1
1518102612,3,4
1518117024,3,4
1518131411,3,4
1518145812,5,4
1518160212,2,3
1518174612,5,8
1518189012,3,0
1518203411,4,2
1518217811,0,2
1518246612,3,3
1518261012,5,3
1518275412,2,2
1518289819,1,6
1518304218,3,2
1518318615,0,2
1518333011,1,5
1518347412,4,4
1518361813,2,1
1518376211,2,0
1518390619,2,0
1518405011,1,4
1518419411,3,7
1518433811,5,1
1518448211,1,3
1518462612,2,1
1518477018,4,1
1518491411,4,2
1518505813,0,3
1518520212,5,2
1518534612,1,3
1518549011,2,0
1518563413,1,1
1518577813,2,4
1518592211,0,4
1518606610,7,1
1518621011,3,3
1518635413,3,4
1518649813,0,1
1518664213,0,2
1518678610,5,3
1518693011,4,3
1518707412,10,2
1518721811,3,2
1518736220,3,0
1518750619,0,3
1518765010,1,7
1518779410,6,3
1518793812,4,1
1518808210,3,0
1518822612,5,4
1518837012,1,2
1518851410,1,8
1518865811,5,6
1518880212,6,4
1518894611,2,1
1518909014,7,1
1518923416,2,0
1518937810,1,9
1518952210,3,1
1518966610,1,8
1518981012,2,1
1518995410,1,0
1519009810,2,3
1519024212,4,5
1519038610,3,5
1519053010,6,5
1519067411,8,5
1519081815,2,0
1519096210,3,2
1519110610,4,2
1519125010,3,1
1519139410,4,3
1519153811,4,0
1519168214,6,5
1519182617,0,3
1519197010,0,5
1519211410,6,7
1519225817,1,3
1519240211,2,4
1519254611,4,3
1519269057,0,2
1519283410,1,6
1519297811,2,3
1519312212,8,7
1519326610,11,1
1519341012,4,0
1519355432,0,4
1519369810,1,3
1519384208,4,2
1519398610,6,0
1519413011,1,4
1519427415,2,0
1519441810,3,2
1519456209,1,3
1519470610,1,14
1519485018,5,6
1519499416,5,1
1519513816,3,1
1519535414,3,5
1519549809,0,6
1519564209,4,1
1519578611,3,2
1519593008,3,2
1519607409,0,1
1519621812,2,1
1519636209,3,5
1519650610,5,5
1519665012,6,3
1519679410,7,2
1519693809,4,1
1519708209,3,0
1519722614,2,6
1519737010,8,3
1519751410,5,1
1519765819,3,0
1519780210,0,3
1519794610,3,4
1519809010,2,7
1519823410,5,4
1519837810,3,8
1519852210,9,3
1519866612,2,1
1519881011,5,6
1519895410,2,7
1519909814,2,4
1519924214,4,1
1519938611,1,0
1519953011,7,2
1521564902,27,43
1521579301,7,0
1521593702,5,0
1521608102,3,3
1521622502,2,6
1521636901,4,2
1521651615,1,2
1521666012,7,2
1521680411,2,3
1521694811,2,0
1521709211,1,6
1521723612,6,4
1521738012,3,7
1521752412,2,2
1521766813,3,3
1521781213,1,2
1521795613,4,4
1521810012,6,5
1521824415,0,5
1521838818,3,0
1521853212,3,2
1521867611,2,2
1521882012,2,8
1521896412,7,2
1521910813,3,1
1521925212,6,2
1521939613,4,2
1521954013,2,4
1521968414,0,5
1521982814,9,2
1521997212,5,2
1522011614,2,3
1522026013,5,1
1522040414,1,5
1522054814,5,5
1522069214,6,5
1522083614,9,5
1522098015,3,3
1522112413,5,2
1522126813,2,1
1522141216,2,7
1522155614,7,6
1522170014,2,2
1522184414,4,4
1522198813,2,1
1522213213,1,9
1522227615,3,6
1522242017,6,7
1522256414,3,4
1522270814,7,4
1522285213,0,1
1522299617,1,3
1522314015,0,7
1522328414,7,2
1522342816,6,4
1522357221,9,2
1522371614,2,1
1522393215,4,5
1522407613,6,4
1522422016,5,4
1522436422,0,3
1522450815,1,1
1522465214,1,0
1522479615,0,5
1522494014,2,7
1522508412,7,12
1522522813,2,3
1522537214,13,4
1522551614,0,1
1522566014,2,6
1522580413,6,4
1522594811,4,1
1522609214,4,0
1522623613,2,1
1522652412,2,4
1522666812,3,5
1522681212,7,5
1522695611,15,10
1522710012,2,0
1522724412,1,4
1522738812,4,8
1522753212,7,1
1522767612,7,3
1522782015,8,2
1522796414,4,0
1522810812,5,3
1522825212,4,2
1522839612,9,11
1522854012,5,11
1522868412,8,2
1522882812,7,1
1522897213,4,4
1522911613,3,8
1522926012,8,9
1522940413,14,5
1522954812,11,4
1522969228,7,4
1522983614,10,4
1522998012,3,11
1523012411,11,5
1523026813,18,8
1523041210,13,6
1523055611,7,2
1523077208,7,9
1523091609,3,15
1523106008,11,10
1523120409,7,8
1523134809,6,10
1523138409,1,1
1523206807,16,51
1523221209,3,7
1523235607,1,3
1523250006,3,5
1523264407,2,10
1523278806,11,8
1523293207,4,5
1523307607,11,0
1523322007,6,0
1523336407,3,0
1523350808,6,7
1523365208,10,8
1523379608,8,4
1523394009,5,1
1523408409,1,4
1523422808,4,3
1523437208,2,10
1523451608,9,5
1523466009,5,9
1523480409,8,5
1523494809,1,1
1523509209,3,9
1523523608,4,9
1523538013,4,7
1523552408,10,4
1523566809,5,1
1523581208,3,4
1523595609,1,6
1523610008,5,9
1523624408,11,6
1523638808,3,6
1523653209,3,2
1523667609,1,4
1523682008,1,3
1523696410,4,6
1523710810,8,10
1523725209,3,3
1523739609,7,2
1523754009,6,0
1523768408,4,9
1523782809,8,7
1523797208,6,2
1523811609,5,3
1523826009,9,2
1523840408,2,2
1523854808,5,5
1523869209,8,6
1523883608,15,2
1523898008,13,9
1523912409,12,6
1523926809,6,5
1523941209,5,5
1523955608,8,9
1523970010,19,5
1523984409,9,8
1523998809,9,4
1524013209,5,3
1524027609,5,13
1524042009,6,12
1524056409,8,15
1524070809,9,7
1524085210,6,6
1524099609,7,7
1524114008,6,13
1524128409,2,15
1524142808,9,11
1524157208,7,3
1524171609,7,5
1524186011,0,8
1524200409,1,7
1524214809,7,7
1524229209,10,8
1524243608,11,6
1524258009,12,10
1524272410,3,2
1524286810,2,4
1524301210,5,7
1524315609,6,9
1524330010,5,7
1524344410,4,0
1524358809,3,7
1524373209,5,3
1524387609,4,9
1524402009,4,12
1524416409,10,10
1524430808,8,3
1524445209,3,4
1524459609,2,4
1524474009,4,5
1524488408,11,7
1524502809,5,2
1524517210,9,7
1524531610,4,1
1524546011,8,4
1524560411,6,5
1524574810,14,10
1524589210,7,9
1524603610,9,1
1524618011,5,3
1524632410,9,3
1524646812,10,12
1524661211,5,4
1524675613,5,7
1524690011,1,3
1524704413,8,7
1524718813,4,11
1524733213,4,12
1524747611,10,4
1524762012,11,13
1524776411,12,3
1524790812,5,9
1524805211,5,8
1524819612,5,8
1524834011,12,5
1524848413,7,2
1524862812,6,7
1524877212,4,3
1524891611,25,6
1524906014,7,9
1524920412,12,12
1524934810,10,7
1524949211,8,8
1524963610,1,5
1524978011,4,4
1524992409,2,12
1525006810,2,8
1525021210,9,3
1525035610,4,6
1525050009,2,24
1525064410,5,6
1525078811,13,11
1525093209,12,9
1525107610,14,7
1525122010,20,1
1525136410,8,5
1525150810,7,1
1525165209,13,2
1525179610,20,8
1525194010,12,3
1525208409,14,4
1525222809,11,7
1525237210,11,17
1525251610,18,9
1525266012,12,15
1525280412,14,17
1525294809,13,12
1525309209,20,6
1525323609,12,17
1525338009,18,17
1525352409,25,8
1525366809,13,15
1525381209,20,12
1525395609,14,9
1525410009,21,21
1525424408,22,13
1525438809,19,12
1525453209,19,19
1525467609,9,12
1525482008,9,13
1525496408,13,23
1525510809,19,23
1525525209,17,17
1525539608,15,16
1525554008,15,18
1525568409,7,21
1525582808,11,17
1525597209,6,18
1525611609,13,18
1525626009,4,12
1525640409,10,6
1525654810,16,14
1525669208,9,20
1525683610,4,16
1525698009,9,14
1525712409,9,17
1525726809,10,8
1525741210,5,12
1525755610,5,5
1525770010,4,13
1525784409,15,4
1525798812,8,12
1525813210,6,9
1525827610,2,11
1525842010,6,4
1525856410,7,8
1525870810,3,8
1525885210,10,9
1525899609,4,6
1525914010,1,2
1525928410,2,8
1525942811,0,13
1525957210,1,8
1525971610,8,7
1525986012,2,4
1526000410,0,6
1526014810,3,7
1526029211,1,4
1526043609,3,10
1526058010,2,5
1526072410,6,1
1526086810,6,2
1526101209,2,0
1526115611,3,3
1526130009,7,7
1526144409,2,2
1526158809,6,2
1526173209,6,2
1526187608,8,3
1526202010,5,2
1526216409,10,3
1526230809,12,7
1526245208,5,3
1526259609,4,3
1526274009,11,3
1526288409,5,7
1526302808,9,1
1526320809,3,9
1526335209,3,6
1526349609,2,5
1526364009,0,6
1526378410,5,14
1526392811,8,8
1526407209,12,2
1526421609,12,6
1526436009,4,8
1526450410,1,6
1526464808,8,8
1526479209,11,2
1526493608,2,4
1526508008,14,1
1526522409,9,1
1526536813,2,6
1526551209,0,5
1526565608,11,14
1526580009,7,10
1526594409,12,1
1526608809,7,4
1526623213,4,6
1526637609,9,14
1526652008,9,2
1526666408,4,16
1526680808,2,8
1526695208,2,2
1526709609,1,1
1526724009,2,11
1526738409,2,10
1526752808,3,10
1526767209,5,7
1526781609,2,2
1526796010,1,9
1526810408,0,9
1526824808,4,5
1526839208,5,5
1526853608,1,1
1526868007,2,1
1526882409,0,2
1526896807,3,2
