DateTime,Entries,UniqueIPs
1518063023,4136,4136
1518077423,4036,4036
1518091823,4145,4145
1518106224,4148,4148
1518120623,4182,4182
1518135032,4206,4206
1518149422,4090,4090
1518163822,3979,3979
1518178222,4010,4010
1518192623,3985,3985
1518207027,4072,4072
1518221431,4085,4085
1518235821,4005,4005
1518250221,3831,3831
1518264622,3833,3833
1518279030,3729,3729
1518293432,3713,3713
1518307825,3658,3658
1518322236,3572,3572
1518336620,3402,3402
1518351020,3332,3332
1518365424,3255,3255
1518379819,3235,3235
1518394230,3241,3241
1518408618,3175,3175
1518423020,3140,3140
1518437420,3187,3187
1518451820,3246,3246
1518466230,3276,3276
1518480621,3258,3258
1518495018,3248,3248
1518509420,3273,3273
1518523818,3300,3300
1518538220,3326,3326
1518552620,3356,3356
1518567034,3403,3403
1518581420,3327,3327
1518595819,3302,3302
1518610219,3270,3270
1518624620,3359,3359
1518639021,3392,3392
1518653423,3453,3453
1518667820,3412,3412
1518682220,3388,3388
1518696620,3414,3414
1518711025,3428,3428
1518725421,3462,3462
1518739827,3497,3497
1518754219,3394,3394
1518768618,3325,3325
1518783022,3270,3270
1518797420,3291,3291
1518811818,3308,3308
1518826222,3171,3171
1518840753,2987,2987
1518855018,2881,2881
1518869418,2856,2856
1518883831,2890,2890
1518898218,2922,2922
1518912622,2960,2960
1518927022,2912,2912
1518941417,2853,2853
1518955817,2836,2836
1518970217,2843,2843
1518984625,3078,3078
1518999018,3187,3187
1519013418,3161,3161
1519027824,3111,3111
1519042218,3121,3121
1519056619,3133,3133
1519071022,3192,3192
1519085432,3252,3252
1519099820,3268,3268
1519114218,3245,3245
1519128618,3258,3258
1519143018,3298,3298
1519157423,3379,3379
1519171826,3426,3426
1519186219,3386,3386
1519200619,3383,3383
1519215018,3431,3431
1519229418,3462,3462
1519243821,3432,3432
1519258219,3514,3514
1519272618,3488,3488
1519287019,3496,3496
1519301419,3506,3506
1519315820,3512,3512
1519330227,3552,3552
1519344619,3593,3593
1519359024,3497,3497
1519373417,3436,3436
1519387817,3491,3491
1519402222,3509,3509
1519416631,3529,3529
1519431019,3536,3536
1519445418,3458,3458
1519459818,3404,3404
1519474217,3362,3362
1519488619,3373,3373
1519503018,3372,3372
1519517427,3410,3410
1519531824,3350,3350
1519546222,3213,3213
1519560618,3152,3152
1519575018,3170,3170
1519589417,3193,3193
1519603822,3240,3240
1519618228,3231,3231
1519632617,3224,3224
1519647017,3314,3314
1519661418,3303,3303
1519675818,3423,3423
1519690238,3513,3513
1519704620,3502,3502
1519719019,3583,3583
1519733419,3669,3669
1519747818,3683,3683
1519762219,3718,3718
1519776620,3773,3773
1519791018,3673,3673
1519805419,3643,3643
1519819819,3712,3712
1519834219,3723,3723
1519848620,3761,3761
1519863023,3766,3766
1519877418,3655,3655
1519891819,3597,3597
1519906219,3703,3703
1519920622,3736,3736
1519935256,3368,3368
1519949429,3425,3425
1521564908,3110,3110
1521579305,3188,3188
1521593707,3304,3304
1521608106,3464,3464
1521622506,3444,3444
1521636906,3423,3423
1521651634,3455,3455
1521666021,3293,3293
1521680419,3232,3232
1521694821,3076,3076
1521709219,2918,2918
1521723619,2814,2814
1521738020,2834,2834
1521752420,2876,2876
1521766821,2873,2873
1521781221,2867,2867
1521795620,2849,2849
1521810020,2871,2871
1521824424,3000,3000
1521838829,3133,3133
1521853220,3239,3239
1521867620,3268,3268
1521882022,3439,3439
1521896420,3141,3141
1521910822,3181,3181
1521925220,3041,3041
1521939619,2610,2610
1521954020,2533,2533
1521968420,2483,2483
1521982821,2492,2492
1521997218,2523,2523
1522011621,2644,2644
1522026019,2625,2625
1522040421,2629,2629
1522054821,2802,2802
1522069220,2903,2903
1522083622,3020,3020
1522098023,3260,3260
1522112422,3344,3344
1522126821,3362,3362
1522141226,3424,3424
1522155622,3479,3479
1522170023,3466,3466
1522184424,3516,3516
1522198821,3475,3475
1522213221,3429,3429
1522227623,3424,3424
1522242027,2890,2890
1522256422,2904,2904
1522270821,2974,2974
1522285220,2925,2925
1522299627,2894,2894
1522314024,2911,2911
1522328421,2958,2958
1522342825,3062,3062
1522357233,3109,3109
1522371623,3074,3074
1522393223,3097,3097
1522407622,3420,3420
1522422026,3450,3450
1522436434,3443,3443
1522450824,3426,3426
1522465223,3358,3358
1522479624,3292,3292
1522494023,3267,3267
1522508420,3261,3261
1522522822,3265,3265
1522537223,3310,3310
1522551622,3281,3281
1522566022,3166,3166
1522580421,3047,3047
1522594817,2569,2569
1522609221,2469,2469
1522623620,2519,2519
1522638017,2212,2212
1522652417,2140,2140
1522666818,2260,2260
1522681218,2346,2346
1522695617,2431,2431
1522710019,2518,2518
1522724419,2594,2594
1522738820,2596,2596
1522753220,2935,2935
1522767621,3134,3134
1522782023,3202,3202
1522796423,3434,3434
1522810820,3498,3498
1522825221,3455,3455
1522839621,3478,3478
1522854024,3485,3485
1522868421,3480,3480
1522882822,3522,3522
1522897224,3497,3497
1522911622,3518,3518
1522926025,3564,3564
1522940422,3527,3527
1522954822,3620,3620
1522969237,3629,3629
1522983623,3616,3616
1522998021,3610,3610
1523012421,3686,3686
1523026821,3704,3704
1523041218,3680,3680
1523055620,3712,3712
1523066412,3674,3674
1523080818,3533,3533
