DateTime,AddedIPs,RemovedIPs
1524265233,13,35
1524269434,6,0
1524273031,11,0
1524278435,18,55
1524283833,26,97
1524289234,14,26
1524294034,9,0
1524298234,4,37
1524303634,15,13
1524306632,27,0
1524310834,17,21
1524316834,26,10
1524321634,17,18
1524327033,25,16
1524332433,34,39
1524337834,46,0
1524340832,26,19
1524344433,50,0
1524348031,24,0
1524351634,29,24
1524355231,14,17
1524359433,17,50
1524364833,14,36
1524370233,15,0
1524375633,22,30
1524378633,30,0
1524382234,23,0
1524386433,11,40
1524391834,15,53
1524397234,163,0
1524403236,131,36
1524408634,49,74
1524414034,19,52
1524419434,39,72
1524424234,20,30
1524429634,31,53
1524435035,11,15
1524440434,24,9
1524446434,68,0
1524451834,33,16
1524457234,15,10
1524462634,27,17
1524467434,37,27
1524473435,61,0
1524478836,52,23
1524484234,23,25
1524489634,40,19
1524495034,21,0
1524500435,32,25
1524505835,23,34
1524511236,74,18
1524516035,20,28
1524521435,25,0
1524526837,22,32
1524532235,47,65
1524536434,33,0
1524541834,43,23
1524547235,29,39
1524552634,25,49
1524558034,26,60
1524563434,23,57
1524568834,15,27
1524574234,7,22
1524579637,25,18
1524590434,69,33
1524595835,26,15
1524600636,38,25
1524606034,63,21
1524611434,61,33
1524616834,88,28
1524622835,45,51
1524628235,23,42
1524634234,16,0
1524639634,17,35
1524644435,22,24
1524650435,18,29
1524655834,12,28
1524660634,19,63
1524666635,13,61
1524671435,28,0
1524676834,26,31
1524682234,22,0
1524687634,30,42
1524693035,20,83
1524698435,16,43
1524703839,21,12
1524709833,33,23
1524714634,24,17
1524719434,23,36
1524725433,13,0
1524730233,19,32
1524736236,31,30
1524741635,84,33
1524747034,62,52
1524751835,55,23
1524757834,24,55
1524762634,18,43
1524768034,31,0
1524774034,23,16
1524779435,18,11
1524783634,32,48
1524787835,20,0
1524793237,13,38
1524799234,58,33
1524804636,13,29
1524809437,31,39
1524815437,18,32
1524820234,19,56
1524825635,17,61
1524831034,11,79
1524836434,9,31
1524842435,18,9
1524847234,16,16
1524850832,27,0
1524856234,27,41
1524861636,27,14
1524867035,47,20
1524870631,37,0
1524875434,61,29
1524879634,40,56
1524885034,81,0
1524891034,31,27
1524895834,23,37
1524900034,18,49
1524904834,23,0
1524910235,16,22
1524914434,12,27
1524919834,11,24
1524924636,12,46
1524930034,28,22
1524935434,36,47
1524939034,14,0
1524944435,14,30
1524948032,43,0
1524953435,28,35
1524956432,29,43
1524960634,11,46
1524966034,17,25
1524971434,12,50
1524976834,20,6
1524980431,17,8
1524985836,34,10
1524991234,23,14
1524997235,38,29
1525002635,26,23
1525008035,49,23
1525013434,45,32
1525018234,85,31
1525024235,106,26
1525029034,15,0
1525035034,24,46
1525039844,19,18
1525045834,15,6
1525050634,14,6
1525056635,10,16
1525061435,27,26
1525066834,34,55
1525072835,28,42
1525078235,7,44
1525083634,41,58
1525089036,25,0
1525094435,16,132
1525099234,10,0
1525104634,11,58
1525110034,15,15
1525116035,30,0
1525121434,24,37
1525126236,25,0
1525131033,27,22
1525134631,27,18
1525138839,34,22
1525142431,45,0
1525148435,36,42
1525153235,72,71
1525159235,44,0
1525164034,27,60
1525170034,15,0
1525175435,13,31
1525180235,8,27
1525186235,20,19
1525191034,13,50
1525196434,37,36
1525200032,26,0
1525206035,34,26
1525210834,16,24
1525216234,33,26
1525221635,29,57
1525227634,14,81
1525232434,9,0
1525238435,15,63
1525243835,17,16
1525249235,12,7
1525254634,18,11
1525260034,26,13
1525265434,21,23
1525270234,31,14
1525275634,48,18
1525281035,54,36
1525284632,52,0
1525290035,76,54
1525295435,48,17
1525300835,21,27
1525303832,7,0
1525308036,11,37
1525314034,20,22
1525319434,5,0
1525324834,17,38
1525330234,29,0
1525335034,19,72
1525341035,25,0
1525347034,18,77
1525351835,24,44
1525356634,17,61
1525361434,11,0
1525365634,17,34
1525369232,12,0
1525374635,13,79
1525380034,21,15
1525384835,31,10
1525388432,30,5
1525392034,19,13
1525399832,41,17
1525405234,43,15
1525411235,57,27
1525416034,56,39
1525421435,57,18
1525426835,39,39
1525432235,13,25
1525437634,12,37
1525443034,16,24
1525448434,9,32
1525453835,9,31
1525457432,7,0
1525461034,9,0
1525466434,50,50
1525471834,29,0
1525477834,28,78
1525483234,35,0
1525489834,24,48
1525496435,19,67
1525500634,6,71
1525506634,9,57
1525511434,12,19
1525516834,20,7
1525522235,281,10
1525528835,71,13
1525533635,43,22
1525539035,46,9
1525544436,66,21
1525550436,48,38
1525555235,110,22
1525560635,48,32
1525566035,30,26
1525570839,19,22
1525577435,15,13
1525582834,11,15
1525588235,7,0
1525593635,6,36
1525598436,28,30
1525603835,14,23
1525609835,35,42
1525614636,20,38
1525620634,35,0
1525625436,18,124
1525631435,9,42
1525636234,18,54
1525641637,14,0
1525647036,37,10
1525652439,47,18
1525657835,86,6
1525663835,24,31
1525668635,30,0
1525674035,57,14
1525679434,46,17
1525685435,62,32
1525690236,56,53
1525695635,38,0
1525701635,21,14
1525707035,12,58
1525711835,8,14
1525717234,15,0
1525722636,15,16
1525728034,12,55
1525732836,30,0
1525738835,38,84
1525744235,20,70
1525750235,11,0
1525755634,21,101
1525760434,30,58
1525765835,14,0
1525771247,14,69
1525776635,18,52
1525782636,19,34
1525788035,59,16
1525793435,31,7
1525797635,17,0
1525803635,32,17
1525809036,60,18
1525814435,56,57
1525819836,78,0
1525824635,72,45
1525831236,31,0
1525836635,21,60
1525841435,10,0
1525846235,11,20
1525852236,17,15
1525858234,6,68
1525863636,14,62
1525868435,20,107
1525874435,22,0
1525879236,15,28
1525884637,13,16
1525889435,31,113
1525894835,32,0
1525900235,15,46
1525905636,13,37
1525911035,22,40
1525917635,45,33
1525923034,72,12
1525928435,44,11
1525933236,27,19
1525938635,26,16
1525944635,55,0
1525949437,42,64
1525955435,46,0
1525960835,53,60
1525965635,24,0
1525971035,20,11
1525976463,21,43
1525982435,12,18
1525987234,13,10
1525992037,6,24
1525997436,13,56
1526003435,28,54
1526008835,27,0
1526014276,33,38
