DateTime,AddedIPs,RemovedIPs
1524265233,147,137
1524269434,83,103
1524273031,114,120
1524278435,113,181
1524283833,144,170
1524289234,130,143
1524294034,111,130
1524298234,87,88
1524303634,148,122
1524306632,131,133
1524310834,108,127
1524316834,164,159
1524321634,148,137
1524327033,132,142
1524332433,158,148
1524337834,163,169
1524340832,101,110
1524344433,111,106
1524348031,112,92
1524351634,88,94
1524355231,76,89
1524359433,109,94
1524364833,139,162
1524370233,110,153
1524375633,129,118
1524378633,120,94
1524382234,115,90
1524386433,100,76
1524391834,155,158
1524397234,261,118
1524403236,279,156
1524408634,169,208
1524414034,127,150
1524419434,227,194
1524424234,141,129
1524429634,189,174
1524435035,174,140
1524440434,155,142
1524446434,209,161
1524451834,148,201
1524457234,166,166
1524462634,164,182
1524467434,178,186
1524473435,212,194
1524478836,204,227
1524484234,151,177
1524489634,182,184
1524495034,152,172
1524500435,181,164
1524505835,163,170
1524511236,242,176
1524516035,175,140
1524521435,190,143
1524526837,148,167
1524532235,178,138
1524536434,143,177
1524541834,134,174
1524547235,163,195
1524552634,138,132
1524558034,192,189
1524563434,158,148
1524568834,167,198
1524574234,138,134
1524579637,194,223
1524590434,359,270
1524595835,152,199
1524600636,194,170
1524606034,220,149
1524611434,194,176
1524616834,241,179
1524622835,152,175
1524628235,143,224
1524634234,135,181
1524639634,155,217
1524644435,146,135
1524650435,183,190
1524655834,162,178
1524660634,183,202
1524666635,159,167
1524671435,179,166
1524676834,182,164
1524682234,190,179
1524687634,189,163
1524693035,185,152
1524698435,189,173
1524703839,156,166
1524709833,190,219
1524714634,131,158
1524719434,171,167
1524725433,148,167
1524730233,155,160
1524736236,211,204
1524741635,232,231
1524747034,193,188
1524751835,187,144
1524757834,145,179
1524762634,152,143
1524768034,177,153
1524774034,169,168
1524779435,153,135
1524783634,176,156
1524787835,118,82
1524793237,176,163
1524799234,179,224
1524804636,144,175
1524809437,126,155
1524815437,125,138
1524820234,136,183
1524825635,158,129
1524831034,168,151
1524836434,126,148
1524842435,159,197
1524847234,139,108
1524850832,108,115
1524856234,172,175
1524861636,144,147
1524867035,177,148
1524870631,115,127
1524875434,189,138
1524879634,139,114
1524885034,208,225
1524891034,137,184
1524895834,157,134
1524900034,154,125
1524904834,156,158
1524910235,174,172
1524914434,139,131
1524919834,161,232
1524924636,148,164
1524930034,191,170
1524935434,227,154
1524939034,112,87
1524944435,152,120
1524948032,137,121
1524953435,147,148
1524956432,122,103
