DateTime,AddedIPs,RemovedIPs
1520630426,3,26
1520644826,11,8
1520658630,31,11
1520669428,3,9
1520680829,2,23
1520693428,2,24
1520707227,5,25
1520718628,6,14
1520733027,6,0
1520746825,0,16
1520761228,1,58
1520775627,2,15
1520790030,2,9
1520800828,2,11
1520811628,1,0
1520826026,2,8
1520836826,4,2
1520851227,0,2
1520865628,2,5
1520880027,3,2
1520894427,2,5
1520905228,2,14
1520919626,7,0
1520934028,1,5
1520948428,1,6
1520962226,3,6
1520973626,2,1
1520986225,1,9
1521000625,5,12
1521015028,2,10
1521027628,2,6
1521040228,3,7
1521054629,2,5
1521067229,1,1
1521079827,2,2
1521093626,0,5
1521106828,3,7
1521121228,3,3
1521135627,1,5
1521150026,2,2
1521160827,1,5
1521173425,1,4
1521187828,1,7
1521199229,2,6
1521213028,1,7
1521224427,0,2
1521238227,4,2
1521252627,3,3
1521265227,0,3
1521279629,3,7
1521292229,3,11
1521306636,1,9
1521319837,4,1
1521334228,2,3
1521348028,1,7
1521362430,4,6
1521376829,6,10
1521390628,17,9
1521402035,26,5
1521416433,9,0
1521430226,1,8
1521444627,0,11
1521459026,0,7
1521472228,8,3
1521484827,4,6
1521499226,9,0
1521513624,3,7
1521528023,1,1
1521540627,7,4
1521555028,3,14
1521567633,3,5
1521582027,3,0
1521593426,12,4
1521607825,23,5
1521621628,3,12
1521636028,2,12
1521646828,5,4
1521661225,1,8
1521675626,6,7
1521686426,2,5
1521700823,2,2
1521715226,3,3
1521726629,1,10
1521738627,5,3
1521753027,4,18
1521765625,1,11
1521779424,1,0
1521792627,3,14
1521807025,2,10
1521821425,4,7
1521835826,4,7
1521850225,3,4
1521862826,2,8
1521875428,2,4
1521889828,3,9
1521904226,3,5
1521915027,3,2
1521929425,30,7
1521940824,74,9
1521954626,20,0
1521966026,7,4
1521979826,5,5
1521994227,3,16
1522005666,0,5
1522033826,3,13
1522046424,0,2
1522075227,3,9
1522086625,7,3
1522101025,5,8
1522115427,2,5
1522129225,4,4
1522143629,2,6
1522155027,3,6
1522168826,2,11
1522180226,3,0
1522194626,2,3
1522208425,2,18
1522219826,3,0
1522234228,2,7
1522248627,1,6
1522263027,5,2
1522276826,2,2
1522288226,4,17
1522302026,1,0
1522314627,0,7
1522326028,1,6
1522340427,3,2
1522354827,3,6
1522368627,2,8
1522383026,3,5
1522394429,1,2
1522408828,2,11
1522423228,1,10
1522434027,3,6
1522448425,1,9
1522462824,3,11
1522475424,1,26
1522489226,1,11
1522503626,4,5
1522516226,2,11
1522529425,1,6
1522543825,3,5
1522557625,11,7
1522570828,14,8
1522585228,5,7
1522599026,1,9
1522610427,5,10
1522624224,3,6
1522635626,5,5
1522650026,2,5
1522664427,2,4
1522678827,2,3
1522693227,2,5
1522707025,5,3
1522718425,1,4
1522732225,2,12
1522743628,2,0
1522758028,1,13
1522772427,1,4
1522786226,2,6
1522797626,7,6
1522811425,5,4
1522822826,1,6
1522837228,1,5
1522851628,2,6
1522862435,3,6
1522876826,4,0
1522891225,4,12
1522905626,2,8
1522920028,0,6
1522934428,3,3
1522948830,2,4
1522963226,2,7
1522977624,1,4
1522991425,2,3
1523002826,3,5
1523016628,1,3
1523031026,1,3
1523041826,1,4
1523053225,4,6
1523067624,2,3
1523079623,0,2
1523092828,3,5
1523107227,1,4
1523121627,3,2
1523136027,19,2
1523149826,4,6
1523164224,4,2
1523178628,4,12
1523190027,1,4
1523204428,0,13
1523218827,3,1
1523233226,2,4
1523247624,1,5
1523262027,3,5
1523276428,2,4
1523290827,3,7
1523305228,5,8
1523316026,2,2
1523329825,1,4
1523341226,5,10
1523355629,0,7
1523370028,1,5
1523384428,1,3
1523398826,1,2
1523413225,3,3
1523424024,2,3
1523438427,5,3
1523449828,4,6
1523463628,36,9
1523475027,158,4
1523489427,32,10
1523500827,23,3
1523515226,27,2
1523526028,7,8
1523536829,4,0
1523547628,6,1
1523562028,3,5
1523574025,3,5
1523587226,2,4
1523601624,6,7
1523616029,26,5
1523626828,15,1
1523641228,4,4
1523655027,18,4
1523668225,10,7
1523680227,1,5
1523694627,6,7
1523706029,48,7
1523716828,16,6
1523728828,67,3
1523742027,11,2
1523754027,39,0
1523768427,12,10
1523782827,8,1
1523793028,7,5
1523806227,7,9
1523817628,4,8
1523832027,5,3
1523844626,9,4
1523855426,12,1
1523869228,12,0
1523878830,4,5
1523891428,3,4
1523903427,7,1
1523917827,5,3
1523929227,9,4
1523941825,7,3
1523955627,1,1
1523968826,2,2
1523982626,6,0
1523997026,4,4
1524008426,9,10
1524021026,7,0
1524033025,2,8
1524045629,8,8
1524058828,15,1
1524070828,7,7
1524085227,8,8
1524099627,5,3
1524111027,1,4
1524123029,1,5
1524136228,2,2
1524147028,0,4
1524157828,5,0
1524170426,3,5
1524184827,3,6
1524196825,4,7
1524208228,5,2
1524219028,5,10
1524228026,0,5
1524251428,4,7
1524265227,1,6
1524278428,2,4
1524289226,0,7
1524303629,1,2
1524316828,4,7
1524327027,3,5
1524340826,5,7
1524355225,3,0
1524364826,2,3
1524378626,38,3
1524391828,5,5
1524403230,257,0
1524414028,45,3
1524424227,24,0
1524435028,9,0
1524446427,8,2
1524457226,5,4
1524467429,1,4
1524478829,4,0
1524489628,2,1
1524500428,1,3
1524511228,69,3
1524521428,13,3
1524532227,39,3
1524541826,51,0
1524552626,15,5
1524563429,8,5
1524574229,5,6
1524579630,2,3
1524590427,2,0
1524600630,0,6
1524611427,6,5
1524622827,5,0
1524634226,3,8
1524644430,3,8
1524655829,6,11
1524666629,9,2
1524676829,17,0
1524687628,7,11
1524698429,2,4
1524709826,2,4
1524719427,4,12
1524741629,44,9
1524751828,29,5
1524762628,5,3
1524774027,3,8
1524787827,3,9
1524799227,9,7
1524809426,5,0
1524820229,5,9
1524831029,2,5
1524842430,2,3
1524856227,3,5
1524870625,5,13
1524885027,19,4
1524895827,9,4
1524910230,7,4
1524924628,1,6
1524939026,11,6
1524953428,9,6
1524966027,4,6
1524980424,1,2
1524991230,1,4
1525002629,1,4
