DateTime,Entries,UniqueIPs
1520630426,3545,3591
1520644826,3547,3594
1520658630,3561,3614
1520669428,3555,3608
1520680829,3534,3587
1520693428,3514,3565
1520707227,3494,3545
1520718628,3487,3537
1520733027,3493,3543
1520746825,3477,3527
1520761228,3421,3470
1520775627,3408,3457
1520790030,3400,3450
1520800828,3392,3441
1520811628,3393,3442
1520826026,3388,3436
1520836826,3390,3438
1520851227,3388,3436
1520865628,3385,3433
1520880027,3386,3434
1520894427,3383,3431
1520905228,3372,3419
1520919626,3379,3426
1520934028,3375,3422
1520948428,3370,3417
1520962226,3367,3414
1520973626,3368,3415
1520986225,3360,3407
1521000625,3353,3400
1521015028,3345,3392
1521027628,3341,3388
1521040228,3337,3384
1521054629,3334,3381
1521067229,3334,3381
1521079827,3334,3381
1521093626,3329,3376
1521106828,3326,3372
1521121228,3326,3372
1521135627,3322,3368
1521150026,3322,3368
1521160827,3318,3364
1521173425,3315,3361
1521187828,3309,3355
1521199229,3305,3351
1521213028,3299,3345
1521224427,3297,3343
1521238227,3299,3345
1521252627,3299,3345
1521265227,3296,3342
1521279629,3292,3338
1521292229,3286,3330
1521306636,3278,3322
1521319837,3281,3325
1521334228,3280,3324
1521348028,3274,3318
1521362430,3272,3316
1521376829,3268,3312
1521390628,3264,3320
1521402035,3285,3341
1521416433,3294,3350
1521430226,3287,3343
1521444627,3276,3332
1521459026,3269,3325
1521472228,3274,3330
1521484827,3272,3328
1521499226,3281,3337
1521513624,3277,3333
1521528023,3277,3333
1521540627,3279,3336
1521555028,3268,3325
1521567633,3266,3323
1521582027,3269,3326
1521593426,3277,3334
1521607825,3295,3352
1521621628,3286,3343
1521636028,3277,3333
1521646828,3278,3334
1521661225,3271,3327
1521675626,3270,3326
1521686426,3267,3323
1521700823,3267,3323
1521715226,3266,3323
1521726629,3257,3314
1521738627,3259,3316
1521753027,3249,3302
1521765625,3240,3292
1521779424,3241,3293
1521792627,3230,3282
1521807025,3222,3274
1521821425,3218,3271
1521835826,3215,3268
1521850225,3214,3267
1521862826,3208,3261
1521875428,3206,3259
1521889828,3200,3253
1521904226,3198,3251
1521915027,3199,3252
1521929425,3222,3275
1521940824,3287,3340
1521954626,3307,3360
1521966026,3310,3363
1521979826,3311,3363
1521994227,3299,3350
1522005666,3294,3345
1522033826,3284,3335
1522046424,3282,3333
1522075227,3276,3327
1522086625,3280,3331
1522101025,3278,3328
1522115427,3275,3325
1522129225,3275,3325
1522143629,3271,3321
1522155027,3268,3318
1522168826,3259,3309
1522180226,3262,3312
1522194626,3261,3311
1522208425,3245,3295
1522219826,3248,3298
1522234228,3243,3293
1522248627,3238,3288
1522263027,3241,3291
1522276826,3241,3291
1522288226,3229,3278
1522302026,3230,3279
1522314627,3223,3272
1522326028,3218,3267
1522340427,3219,3268
1522354827,3216,3265
1522368627,3210,3259
1522383026,3208,3257
1522394429,3207,3256
1522408828,3198,3247
1522423228,3189,3238
1522434027,3186,3235
1522448425,3177,3227
1522462824,3169,3219
1522475424,3144,3194
1522489226,3135,3184
1522503626,3134,3183
1522516226,3125,3174
1522529425,3120,3169
1522543825,3118,3167
1522557625,3122,3171
1522570828,3128,3177
1522585228,3126,3175
1522599026,3118,3167
1522610427,3113,3162
1522624224,3110,3159
1522635626,3111,3159
1522650026,3108,3156
1522664427,3106,3154
1522678827,3105,3153
1522693227,3102,3150
1522707025,3104,3152
1522718425,3101,3149
1522732225,3093,3139
1522743628,3095,3141
1522758028,3083,3129
1522772427,3080,3126
1522786226,3076,3122
1522797626,3076,3123
1522811425,3077,3124
1522822826,3072,3119
1522837228,3068,3115
1522851628,3064,3111
1522862435,3061,3108
1522876826,3065,3112
1522891225,3057,3104
1522905626,3051,3098
1522920028,3045,3092
1522934428,3045,3092
1522948830,3043,3090
1522963226,3038,3085
1522977624,3035,3082
1522991425,3034,3081
1523002826,3032,3079
1523016628,3030,3077
1523031026,3028,3075
1523041826,3026,3072
1523053225,3024,3070
1523067624,3023,3069
1523079623,3021,3067
1523092828,3019,3065
1523107227,3016,3062
1523121627,3017,3063
