DateTime,AddedIPs,RemovedIPs
1524213631,2,1
1524219031,1,3
1524224431,1,4
1524234032,4,5
1524238831,2,1
1524243631,2,0
1524247229,4,0
1524255030,6,3
1524260431,3,3
1524265231,2,1
1524269432,1,0
1524273029,1,0
1524278432,3,4
1524283831,5,0
1524289231,3,5
1524294032,2,3
1524298232,0,1
1524303632,3,1
1524306630,1,1
1524310832,3,3
1524316832,1,0
1524321631,2,2
1524327031,2,1
1524332431,1,3
1524337832,0,2
1524340830,0,2
1524344431,1,0
1524348029,1,1
1524351631,2,5
1524355229,3,2
1524359431,0,4
1524364831,4,0
1524370231,2,7
1524375631,8,3
1524378631,3,3
1524382232,3,1
1524386431,5,0
1524391831,4,0
1524397232,2,4
1524403233,3,0
1524408632,5,2
1524414032,4,1
1524419432,5,0
1524424231,5,2
1524429632,11,5
1524435032,10,0
1524440432,5,5
1524446432,1,3
1524451832,3,5
1524457232,6,2
1524462631,1,0
1524467432,3,1
1524473432,4,3
1524478834,2,2
1524484232,3,3
1524489632,1,1
1524495032,3,2
1524500432,1,3
1524505832,4,3
1524511232,2,0
1524516033,7,6
1524521432,2,2
1524526834,7,2
1524532232,3,5
1524536432,7,0
1524541831,3,7
1524547232,6,0
1524552632,5,1
1524558032,3,3
1524563432,4,4
1524568832,5,1
1524574232,3,4
1524579634,4,0
1524590431,2,4
1524595833,4,3
1524600634,2,3
1524606032,5,3
1524611432,2,0
1524616832,5,2
1524622832,2,7
1524628233,7,5
1524634232,5,0
1524639632,1,2
1524644432,6,0
1524650432,1,1
1524655832,0,8
1524660632,2,0
1524666632,1,2
1524671433,0,2
1524676832,5,2
1524682232,1,4
1524687632,4,4
1524693032,1,3
1524698433,5,5
1524703836,6,2
1524709831,6,2
1524714632,2,0
1524719432,2,4
1524725431,3,3
1524730231,2,3
1524736233,6,2
1524741633,7,5
1524747032,4,3
1524751832,6,6
1524757832,5,4
1524762632,4,2
1524768032,2,0
1524774031,2,6
1524783632,3,0
1524787832,2,2
1524793234,1,2
1524799232,5,3
1524804633,7,3
1524809433,1,0
1524815434,3,2
1524820231,2,2
1524825633,2,3
1524831032,4,1
1524836431,0,3
1524842433,4,4
1524847231,5,5
1524850830,2,0
1524856231,0,8
1524861632,4,3
1524867033,6,3
1524870628,2,0
1524875432,5,1
1524879631,2,2
1524885032,2,1
1524891031,7,2
1524895832,3,1
1524900032,4,1
1524904832,2,1
1524910233,1,0
1524914432,2,4
1524919832,1,0
1524924633,3,2
1524930032,3,1
1524935431,1,7
1524939032,4,0
1524944433,3,3
1524948029,4,2
1524953432,1,1
1524960632,2,2
1524966032,4,1
1524971432,2,2
1524976832,2,1
1524980429,2,0
1524985832,1,2
1524991232,5,2
1524997232,1,3
1525002632,2,2
