DateTime,AddedIPs,RemovedIPs
1524532806,5,5
1524533290,17,14
1524533769,7,8
1524534248,15,19
1524534726,26,26
1524535221,11,7
1524535686,15,10
1524536169,4,2
1524536647,1,0
1524557048,0,1
1524557525,1,0
1524578646,0,1
1524579128,1,0
1524588965,0,1
1524589451,1,0
1524599293,0,1
1524599766,1,0
1524618248,5,11
1524618726,16,16
1524619210,19,24
1524619689,10,10
1524620164,11,15
1524620650,14,18
1524621126,19,16
1524621614,15,12
1524622089,5,5
1524622571,4,5
1524623045,1,0
1524628820,0,1
1524629287,1,0
1524631688,0,1
1524632166,1,0
1524653767,0,1
1524654250,1,1
1524654733,1,0
1524704420,0,3
1524704887,10,4
1524705368,12,12
1524705847,6,12
1524706328,12,12
1524706805,6,9
1524707291,17,22
1524707766,16,21
1524708247,14,10
1524708728,9,6
1524709208,0,3
1524709687,2,2
1524755771,0,1
1524756245,1,0
1524780728,0,1
1524781206,1,0
1524791286,14,16
1524791769,12,11
1524792248,14,14
1524792727,11,12
1524793205,14,14
1524793687,23,20
1524794170,14,7
1524794649,14,7
1524795127,4,5
1524795606,3,0
1524805217,0,1
1524805689,1,0
1524806648,0,1
1524807128,1,0
1524830425,0,2
1524830889,2,0
1524877929,14,18
1524878406,16,17
1524878886,8,8
1524879369,10,12
1524879849,10,8
1524880327,15,19
1524880811,21,19
1524881286,5,4
1524881771,2,1
1524882247,1,1
1524931929,0,1
1524932407,2,1
1524936244,1,1
1524964086,11,16
1524964571,8,8
1524965045,16,15
1524965527,17,20
1524966008,16,8
1524966489,18,16
1524966965,11,13
1524967451,10,13
1524967926,6,6
1524968409,4,4
1524968889,1,0
1525008246,0,2
1525008729,2,0
1525050250,3,10
1525050727,12,12
1525051207,14,14
1525051688,8,10
1525052166,10,9
1525052645,9,9
1525053130,22,19
1525053627,16,11
1525054086,6,6
1525054570,1,2
1525055045,1,1
1525055530,1,0
1525057929,0,1
1525058405,1,0
1525082428,0,1
1525082888,1,0
1525134010,0,1
1525134490,1,0
1525136885,7,11
1525137369,12,17
1525137848,6,8
1525138330,15,16
1525138805,13,12
1525139287,21,15
1525139767,10,11
1525140250,15,16
1525140725,6,4
1525223050,3,7
1525223526,12,13
1525224016,16,17
1525224486,14,11
1525224967,5,9
1525225449,14,14
1525225928,16,17
1525226414,19,18
1525226891,8,6
1525227369,3,0
1525309686,10,8
