DateTime,Entries,UniqueIPs
1523849047,79,79
1523851930,80,80
1523868248,79,79
1523874488,77,77
1523874966,79,79
1523875925,80,80
1523878327,81,81
1523881216,80,80
1523881689,79,79
1523885048,80,80
1523889365,81,81
1523894649,80,80
1523898490,81,81
1523900888,79,79
1523901365,80,80
1523909046,78,78
1523909528,80,80
1523913615,79,79
1523922007,80,80
1523925129,81,81
1523928005,80,80
1523928489,79,79
1523929928,80,80
1523931369,81,81
1523941223,80,80
1523944566,81,81
1523953690,80,80
1523957047,81,81
1523958006,82,82
1523960885,81,81
1523963288,80,80
1523966426,81,81
1523967861,82,82
1523982733,81,81
1523986087,82,82
1523988969,81,81
1523990407,80,80
1523992326,81,81
1524001448,79,79
1524001926,80,80
1524004806,81,81
1524013693,80,80
1524024726,78,78
1524025208,80,80
1524029048,79,79
1524040329,80,80
1524043928,79,79
1524051130,80,80
1524052088,81,81
1524054485,80,80
1524057833,79,79
1524058328,80,80
1524062405,79,79
1524065289,80,80
1524067446,81,81
1524068409,80,80
1524096249,79,79
1524099365,80,80
1524100807,79,79
1524101289,80,80
1524101765,78,78
1524102249,80,80
1524117848,79,79
1524118325,80,80
1524126729,78,78
1524127205,80,80
1524127693,81,81
1524132485,80,80
1524139449,81,81
1524151924,79,79
1524152409,81,81
1524157925,80,80
1524162248,81,81
1524163205,80,80
1524163688,79,79
1524176644,80,80
1524177126,78,78
1524177606,80,80
1524181930,79,79
1524185050,80,80
1524189364,79,79
1524197531,78,78
1524200167,76,76
1524200647,77,77
1524201127,79,79
1524214565,78,78
1524218165,79,79
1524218887,80,80
1524226086,79,79
1524233286,78,78
1524237610,79,79
1524239529,80,80
1524247929,79,79
1524249847,78,78
1524250326,79,79
1524251291,80,80
1524253209,79,79
1524262809,78,78
1524265930,79,79
1524268822,78,78
1524271927,79,79
1524274808,77,77
1524275289,79,79
1524276247,80,80
1524284885,79,79
1524288727,80,80
1524302885,81,81
1524305771,80,80
1524308649,81,81
1524310088,80,80
1524313460,81,81
1524316569,80,80
1524320168,81,81
1524324488,80,80
1524326413,78,78
1524326886,80,80
1524328805,81,81
1524336005,80,80
1524351364,78,78
1524352328,80,80
1524366022,79,79
1524369365,80,80
1524373215,79,79
1524376564,78,78
1524377048,80,80
1524402486,81,81
1524414010,80,80
1524414490,81,81
1524421207,80,80
1524426007,78,78
1524426484,80,80
1524427929,78,78
1524428404,80,80
1524429366,79,79
1524432726,80,80
1524438494,79,79
1524439208,80,80
1524445926,79,79
1524446411,80,80
1524450007,79,79
1524452422,80,80
1524457688,79,79
1524461044,80,80
1524464413,79,79
1524467288,80,80
1524474012,79,79
1524475205,80,80
1524477124,81,81
1524478092,80,80
1524480965,81,81
1524483847,80,80
1524487205,81,81
1524502812,80,80
1524503287,78,78
1524503769,80,80
1524506652,81,81
1524507606,80,80
1524512893,79,79
1524519367,80,80
1524525606,79,79
1524528486,78,78
1524528971,80,80
1524534726,79,79
1524535221,80,80
1524543850,79,79
1524544331,80,80
