DateTime,AddedIPs,RemovedIPs
1518705302,1,0
1518757502,0,1
1518758102,1,0
1518804902,0,1
1518808802,1,0
1518811802,0,1
1518812402,1,0
1518823202,1,1
1518827102,1,1
1518867902,0,1
1518868502,1,0
1518895502,0,1
1518895802,1,0
1518912002,0,1
1518943502,1,1
1518946502,1,0
1518961201,0,1
1518961802,1,0
1519082402,0,1
1519082701,1,0
1519118702,0,1
1519119001,1,0
1519125602,0,1
1519126202,1,0
1519257902,0,1
1519265102,0,1
1519265402,1,0
1519281002,0,1
1519281302,1,0
1519307702,1,1
1519311302,1,0
1519335902,0,1
1519336202,1,0
1519358102,0,1
1519359001,1,0
1519424402,0,1
1519425002,1,0
1519427702,0,1
1519428002,1,0
1519483502,0,1
1519484102,1,0
1519509302,0,1
1519509602,1,0
1519520403,0,1
1519520702,1,0
1519543501,0,1
1519544102,1,0
1519585202,0,1
1519585502,1,0
1519668302,0,1
1519668902,1,0
1519682702,0,1
1519683302,1,0
1519713302,0,1
1519713602,1,0
1519730702,0,1
1519731302,1,0
1519732502,0,1
1519733102,1,0
1519745402,1,1
1519746901,0,1
1519747501,1,0
1519749002,1,1
1519792802,0,1
1519793102,1,0
1519800902,0,1
1519801502,1,0
1519821002,0,1
1519821602,1,0
1519839602,1,1
1519843202,1,0
1519846802,1,0
1519862402,0,1
1519862702,1,0
1519871702,0,1
1519872002,1,0
1519944902,0,1
1519945202,1,0
1519949101,0,2
1519950303,0,1
1519950602,1,0
1519957502,0,1
1519958102,1,0
1519959302,0,1
1519959902,1,0
1519970102,0,1
1519971002,1,0
1519976702,0,1
1519977002,1,0
1519978502,0,1
1519978802,1,0
1520019002,0,1
1520019302,1,0
1520109302,0,1
1520109902,1,0
1520123702,0,1
1520124302,1,0
1520126702,0,1
1520127302,1,0
1520130602,0,1
1520130902,1,0
1520277901,0,1
1520278202,1,0
1520370901,0,1
1520371202,1,0
1520375102,0,1
1520376002,1,0
1520378702,0,1
1520379303,1,0
1520507402,0,1
1520507702,1,0
1520518802,0,1
1520519102,1,0
1520523302,0,1
1520523602,1,0
1520544002,0,1
1520544302,1,0
1520640302,0,1
1520714701,1,1
1520718902,1,0
1520726402,0,1
1520728802,0,1
1520729101,1,0
1520916002,0,1
1520916601,1,0
1520950802,0,1
1520951102,1,0
1520991302,0,1
1520991902,1,0
1521072302,0,2
1521102302,0,1
1521102602,1,0
1521139502,0,1
1521140102,1,0
1521308102,0,1
1521308402,1,0
1521333302,0,1
1521334202,1,0
1521344102,0,1
1521344402,1,0
1521360302,0,1
1521360602,1,0
1521381902,0,1
1521382502,1,0
1521507302,0,1
1521507602,1,0
1521541502,1,0
1521544202,0,1
1521544502,1,0
1521587101,0,1
1521587702,1,0
1521590402,0,1
1521593702,0,1
1521594002,1,0
1521600902,0,1
1521601202,1,0
1521706201,0,1
1521706501,1,0
1521712802,0,1
1521713102,1,0
1521780902,0,1
1521781202,1,0
1521834902,0,1
1521835801,1,0
1521934802,0,1
1521935102,1,0
1521936302,0,1
1521972002,1,0
1521972602,0,1
1522035002,2,0
1522038602,0,2
1522113902,0,1
1522114801,1,0
1522164301,0,1
1522164602,1,0
1522266602,0,1
1522266902,1,0
1522291502,0,1
1522292102,1,0
1522355701,0,1
1522356602,1,0
1522359001,0,1
1522359302,1,0
1522389602,0,1
1522390202,1,0
1522432802,0,1
1522433402,1,0
1522454402,0,2
1522454702,0,1
1522455002,1,0
1522461303,0,1
1522461602,1,0
1522565102,0,1
1522565702,1,0
1522610402,0,1
1522611002,1,0
1522654802,0,1
1522655402,1,0
1522782002,0,1
1522782602,1,0
1522791302,0,1
1522791601,1,0
1522797602,0,1
1522797901,1,0
1522941301,0,1
1522941602,1,0
1522952702,0,1
1522953002,1,0
1522971002,0,1
1522971301,1,0
1523010602,0,1
1523011202,1,0
1523222402,0,1
1523222702,1,0
1523299202,0,1
1523299501,1,0
1523318402,0,1
1523331602,0,1
1523332502,1,0
1523352002,0,1
1523352602,1,0
1523382002,0,1
1523382302,1,0
1523395202,0,1
1523395502,1,0
1523451002,0,1
1523451302,1,0
1523455202,0,1
1523455802,1,0
1523533202,0,1
1523534101,1,0
1523537102,0,1
1523537402,1,0
1523547002,0,1
1523547302,1,0
1523583302,0,1
1523583602,1,0
1523589602,0,1
1523589902,1,0
1523602802,0,1
1523603402,1,0
1523630103,0,1
1523630702,1,0
1523644802,0,1
1523645102,1,0
1523663102,0,1
1523663401,1,0
1523743202,0,1
1523743802,1,0
1523840403,0,1
1523840702,1,0
1523929502,1,0
1523995802,0,1
1523996401,1,0
1524027302,1,0
1524028202,1,0
1524028802,11,0
1524034502,0,1
1524036002,0,12
1524089702,2,0
1524090902,0,2
1524093602,0,0
1524096902,0,0
1524099902,0,1
1524100502,2,0
1524101102,2,0
1524101402,9,0
1524103802,1,0
1524120602,0,3
1524121202,0,1
1524122102,0,9
1524124202,0,0
1524129302,1,1
1524158101,1,0
1524162002,0,1
1524165902,1,0
1524168002,0,1
1524176402,1,0
1524177902,2,0
1524180002,10,0
1524206102,0,1
1524206402,0,4
1524206702,0,7
1524209102,0,1
1524244502,1,0
1524248101,0,1
1524250502,0,1
1524250803,1,0
1524255302,2,0
1524258602,0,2
1524260702,1,0
1524261602,3,0
1524261902,9,0
1524292502,0,1
1524293102,0,11
1524295202,0,1
1524309602,0,1
1524309902,1,0
1524323702,2,0
1524326702,0,2
1524335702,0,1
1524336002,1,0
1524338102,1,0
1524339602,1,0
1524340502,2,0
1524340802,9,0
1524345002,0,1
1524345302,1,0
1524351002,0,1
1524351302,1,0
1524380102,0,3
1524380702,0,1
1524381002,0,9
1524405902,0,1
1524406502,1,0
1524420901,1,0
1524424202,0,1
1524432002,1,0
1524435302,1,1
1524438902,0,1
1524445502,2,0
1524446102,1,0
1524447902,2,0
1524448502,1,0
1524448802,7,0
1524449102,0,1
1524449702,1,0
1524465302,0,3
1524465902,0,8
1524467702,0,1
1524468602,0,1
1524492902,3,0
1524496202,0,3
1524521702,2,0
1524522002,0,2
1524524701,2,0
1524525601,1,0
1524526502,1,0
1524526802,6,0
1524527402,3,0
1524552602,0,1
1524553202,0,1
1524553502,0,3
1524553802,0,8
1524561002,0,1
1524561601,1,0
1524570302,0,1
1524570901,1,0
1524626102,0,1
1524626402,1,0
1524652502,0,1
1524652802,1,0
1524687302,0,1
1524687602,1,0
1524724502,0,1
1524725102,1,0
1524740402,0,1
1524741002,1,0
1524768902,0,1
1524769502,1,0
1524861302,0,1
1524861902,1,0
1524882002,0,1
1524882302,1,0
1524921602,0,1
1524921902,1,0
1524932702,1,0
1524936302,1,0
1524960901,0,1
1524961202,1,0
1524986402,0,1
1524986702,1,0
1524990601,0,1
1524991202,1,0
1525065602,2,0
1525065901,9,0
1525068302,1,0
1525068902,1,0
1525071602,0,3
1525072202,0,1
1525073102,0,9
1525081202,0,1
1525081502,1,0
1525122902,1,0
1525124702,0,1
1525137602,2,0
1525137902,1,0
1525138502,10,0
1525158002,0,1
1525158602,0,3
1525159202,0,9
1525191302,1,0
1525194602,0,1
1525210202,0,1
1525210502,1,0
1525215302,2,0
1525216502,1,0
1525217402,1,0
1525217702,1,0
1525218001,8,0
1525223702,0,1
1525224002,1,0
1525242902,0,2
1525244402,0,1
1525245302,0,1
1525245602,0,9
1525249502,2,0
1525249802,0,2
1525252502,3,0
1525255802,0,2
1525256402,0,1
1525281302,0,1
1525281602,1,0
1525293602,1,0
1525293902,6,0
1525294502,5,0
1525296302,1,0
1525309202,0,1
1525309802,1,0
1525315502,0,1
1525316102,1,0
1525330502,0,1
1525330803,0,3
1525331402,0,9
1525373702,2,0
1525375202,1,0
1525376402,10,0
1525377602,0,1
1525377901,1,0
1525395902,0,1
1525396202,1,0
1525416002,0,1
1525416302,0,3
1525416902,0,8
1525418702,0,1
1525426802,0,1
1525427102,1,0
1525450801,1,0
1525454102,10,0
1525456502,1,0
1525457102,1,0
1525484402,0,1
1525484702,1,0
1525502102,0,1
1525503001,0,1
1525503902,0,1
1525504502,0,1
1525504802,0,1
1525505102,0,8
1525512002,2,0
1525513502,0,2
1525515302,6,0
1525518901,0,6
1525525202,0,1
1525525502,1,0
1525529402,0,1
1525530001,1,0
1525535702,1,0
1525536302,11,0
1525538702,1,0
1525588502,0,2
1525589402,0,1
1525590302,0,1
1525590902,0,9
1525641302,0,1
1525641602,1,0
1525666202,0,1
1525666802,1,0
1525741502,0,1
1525742102,1,0
1525896002,0,1
1525896601,1,0
1525921502,0,1
1525922402,1,0
1525976102,0,1
1525977002,1,0
1526064602,0,1
1526065202,1,0
1526096102,0,1
1526096402,1,0
1526109002,0,1
1526109302,1,0
1526257502,0,1
1526258102,1,0
1526280002,0,1
1526280602,1,0
1526309102,0,0
1526313002,0,1
1526313302,1,0
1526332502,0,1
1526333402,1,0
1526479202,0,1
1526479502,1,0
1526665802,0,1
1526666102,1,0
1526707202,0,1
1526707802,1,0
1526756102,0,1
1526756402,1,0
1526774402,0,1
