DateTime,AddedIPs,RemovedIPs
1526490122,2,11
1526490722,2,3
1526491322,0,1
1526491921,1,1
1526492521,4,4
1526493122,4,0
1526493721,1,0
1526494322,0,6
1526496122,1,7
1526496721,2,7
1526497321,3,0
1526497922,0,2
1526498522,2,4
1526499121,2,0
1526500922,2,14
1526501521,4,0
1526502122,4,0
1526503322,10,0
1526503921,15,0
1526504521,3,20
1526505121,0,2
1526505722,0,10
1526506321,25,0
1526506921,2,2
1526508122,2,6
1526508721,3,1
1526509322,1,11
1526512321,0,39
1526512922,2,0
1526513521,4,5
1526514121,2,3
1526514722,1,0
1526515322,2,0
1526515922,4,21
1526516522,2,0
1526517122,0,1
1526517723,3,0
1526518922,5,0
1526519522,1,0
1526520122,3,3
1526522522,7,4
1526523123,1,2
1526523721,0,8
1526524322,1,0
1526524921,2,3
1526525521,3,0
1526526122,3,0
1526526721,9,16
1526527321,3,1
1526527922,2,6
1526528522,12,0
1526529722,1,3
1526530322,1,0
1526530921,2,1
1526531522,0,13
1526532121,10,18
1526532721,0,29
1526533321,1,0
1526533922,16,2
1526534522,0,7
1526535722,30,7
1526536322,0,2
1526537522,6,1
1526538121,1,0
1526538722,5,1
1526539321,1,1
1526539921,3,0
1526540521,4,0
1526541122,0,3
1526541722,1,0
1526542922,1,4
1526543522,4,19
1526544122,4,3
1526544721,4,0
1526545321,2,1
1526546521,3,2
1526547121,0,3
1526548922,0,1
1526549521,0,2
1526550122,1,3
1526551921,2,0
1526552522,2,4
1526553721,4,0
1526554321,5,19
1526554922,13,4
1526555522,4,5
1526556122,2,1
1526556721,6,14
1526557321,4,0
1526558522,5,3
1526559721,3,1
1526560921,2,7
1526561522,1,1
1526562121,1,3
1526562721,7,0
1526563321,6,11
1526563921,0,1
1526565122,0,3
1526565722,3,10
1526566321,6,0
1526566921,4,1
1526567521,1,0
1526568121,1,0
1526568721,2,0
1526569322,22,0
1526570521,2,4
1526572322,1,1
1526572922,1,9
1526573522,2,0
1526574722,1,0
1526575322,2,1
1526576522,0,2
1526577122,2,7
1526577722,5,2
1526578321,1,0
1526578921,1,7
1526580122,2,19
1526581321,1,9
1526581921,2,3
1526582522,1,0
1526583722,0,3
1526584922,1,1
1526585521,0,8
1526586122,0,3
1526586721,4,0
1526588522,0,5
1526589721,3,6
1526590922,1,3
1526591522,8,6
1526592122,2,0
1526593322,0,14
1526593921,4,5
1526594522,1,0
1526595122,3,3
1526595722,3,3
1526598122,6,0
1526598721,7,0
1526599321,2,1
1526600521,0,1
1526601722,0,1
1526602321,3,0
1526602922,0,3
1526603522,2,2
1526604121,2,7
1526604722,3,0
1526605321,0,2
1526605921,6,1
1526606522,3,4
1526607722,14,0
1526608321,4,1
1526608921,0,7
1526609521,10,0
1526610121,1,3
1526611322,21,0
1526612521,0,2
1526613722,6,7
1526614921,9,21
1526616122,5,0
1526617321,1,3
1526617922,0,2
1526618521,1,0
1526619722,3,1
1526620321,5,0
1526620921,8,4
1526622721,4,0
1526623322,18,2
1526623922,1,0
1526624522,1,0
1526625721,1,6
1526626921,27,6
1526627522,19,8
1526628122,2,0
1526629322,10,4
1526629922,2,2
1526630522,2,0
1526631721,3,6
1526632322,3,15
1526632921,3,1
1526634122,5,2
1526634722,2,0
1526635322,2,0
1526636521,0,1
1526637121,3,6
1526637721,7,0
1526638322,1,1
1526638921,1,10
1526639521,4,0
1526640121,0,1
1526640722,2,1
1526641921,4,3
1526642522,0,7
1526643721,8,8
1526644921,1,8
1526646722,4,7
1526647322,0,30
1526649121,0,5
1526649722,3,0
1526650322,6,8
1526651522,1,1
1526652122,8,2
1526652721,0,5
1526653322,6,0
1526654522,19,7
1526655121,7,0
1526655721,1,18
1526656321,2,0
1526656922,8,4
1526658122,3,5
1526659321,0,4
1526660522,3,5
1526661722,3,13
1526662321,2,0
1526662922,2,1
1526663522,6,0
1526664121,0,3
1526665322,3,3
1526665921,0,5
1526666522,3,10
1526667122,21,0
1526667722,6,3
1526668922,14,6
1526669521,5,0
1526670122,11,0
1526670721,5,1
1526671321,0,3
1526671922,1,0
1526672522,2,1
1526673122,7,0
1526673722,0,2
1526674321,1,0
1526674922,2,8
1526676122,3,3
1526676721,1,0
1526677321,2,1
1526678521,0,3
1526679121,0,5
1526679722,2,0
1526680322,8,2
1526680922,2,8
1526681522,2,10
1526682122,3,0
1526682722,1,3
1526683322,2,0
1526684522,5,10
1526685121,6,0
1526685722,0,6
1526686922,0,5
1526687521,4,0
1526688122,4,0
1526688721,0,7
1526689321,0,2
1526689921,2,0
1526690523,1,0
1526691722,4,10
1526692922,2,6
1526693522,16,1
1526694122,1,0
1526694721,5,11
1526695322,1,3
1526695922,9,2
1526696522,2,0
1526697122,1,4
1526697721,5,6
1526698321,2,0
1526698921,1,0
1526699522,3,0
1526700122,5,0
1526701321,1,1
1526702522,13,2
1526703122,2,0
1526703722,2,0
1526704321,8,2
1526704922,0,2
1526705521,7,0
1526706721,2,12
1526707322,5,6
1526709722,3,12
1526710322,4,0
1526710921,2,2
1526712121,14,0
1526713321,0,32
1526713921,5,0
1526714521,0,22
1526715121,4,0
1526715721,5,0
1526716921,8,9
1526718122,2,5
1526719322,1,1
1526720521,3,1
1526721722,0,2
1526722322,1,0
1526722922,2,1
1526724122,0,5
1526724722,3,0
1526725922,6,11
1526726522,0,2
1526727721,10,6
1526728922,3,25
1526729522,3,0
1526730122,1,6
1526730722,20,0
1526732522,2,4
1526733722,1,7
1526734322,5,0
1526734921,3,0
1526736122,0,4
1526736722,3,2
1526737321,12,0
1526737922,0,4
1526739121,1,3
1526739722,2,4
1526740921,1,0
1526741521,1,5
1526742122,2,0
1526743321,0,7
1526744521,0,27
1526745122,15,0
1526745722,4,16
1526746922,10,0
1526748121,1,0
1526748721,6,0
1526750522,4,7
1526751721,0,13
1526752921,10,6
1526753522,0,5
1526754121,2,3
1526754721,5,0
1526755321,0,5
1526756522,3,14
1526757122,2,20
1526757722,2,0
1526758921,1,7
1526759521,5,0
1526760121,1,3
1526760722,6,2
1526761322,9,0
1526762522,0,2
1526763121,1,4
1526763722,5,1
1526764322,2,0
1526764921,0,18
1526766121,1,1
1526766721,1,4
1526767921,0,1
1526768521,15,6
1526769722,9,2
1526771522,3,7
1526772122,4,3
1526772721,2,2
1526773321,0,1
1526773921,4,3
1526774522,2,0
1526775121,0,16
1526776322,7,0
1526776922,8,11
1526778721,1,1
1526779321,3,3
1526780522,2,15
1526781721,2,0
1526782922,1,3
1526783522,0,4
1526784122,10,0
1526785321,2,8
1526785922,1,0
1526786521,1,2
1526787721,1,1
1526788321,2,0
1526788922,7,0
1526790121,1,6
1526791322,4,4
1526792521,1,2
1526793121,1,9
1526793722,4,8
1526796121,3,2
1526796722,1,0
1526797321,7,2
1526797921,5,2
1526798521,1,0
1526799722,1,8
1526800922,17,0
1526802121,1,6
1526802721,3,1
1526803922,1,4
1526804522,0,16
1526805722,0,2
1526806922,2,1
1526807522,3,4
1526808121,2,0
1526809322,2,5
1526810522,2,2
1526811721,1,4
1526812321,3,7
1526812922,12,0
1526814121,9,2
1526814721,3,0
1526815922,2,20
1526817122,1,2
1526817722,11,4
1526818322,7,0
1526818922,11,0
1526819522,1,3
1526820122,13,17
1526820722,2,0
1526821922,5,15
1526822522,1,0
1526823721,2,4
1526824322,2,29
1526824921,1,6
1526826122,8,0
1526826722,12,6
1526827322,2,5
1526828522,1,6
1526829122,1,0
1526829721,1,0
1526830322,1,5
1526830922,1,0
1526832122,13,10
1526832722,13,0
1526833321,2,5
1526833921,3,0
1526834521,12,0
1526835121,9,0
1526835722,14,5
1526836323,2,0
1526836922,5,2
1526837522,18,0
1526838122,3,0
1526839321,3,1
1526839922,3,16
1526840521,2,3
1526841722,0,10
1526842322,4,0
1526842922,3,2
1526844122,0,2
1526845321,0,3
1526845922,0,1
1526846522,1,0
1526847122,2,1
1526847722,0,2
1526848921,4,2
1526849521,14,2
1526850122,2,2
1526850722,8,4
1526851321,7,0
1526851922,10,0
1526852522,17,1
1526853722,6,2
1526854322,10,0
1526854922,13,23
1526855521,4,0
1526857322,1,11
1526858521,9,0
1526859121,7,1
1526859721,6,2
1526860922,2,2
1526861521,8,0
1526862122,5,2
1526862722,12,6
1526863322,3,0
1526863922,2,12
1526864522,5,1
1526865722,5,12
1526866921,4,0
1526867521,5,16
1526868121,18,0
1526868721,8,3
1526869321,4,1
1526870522,3,1
1526871722,11,4
1526872921,9,4
1526873522,12,0
1526874121,13,2
1526874721,6,0
1526875322,5,10
1526876522,2,0
1526877121,6,0
1526878921,10,9
1526880122,5,1
1526880721,1,2
1526881321,1,0
1526882521,28,2
1526883121,14,13
1526883722,4,0
1526884321,1,5
1526884921,0,3
1526886121,8,0
1526886721,3,1
1526887322,4,0
1526887921,1,5
1526888522,1,0
1526889722,2,7
1526890321,7,0
1526890921,2,2
1526892722,2,0
1526893922,15,7
1526894522,15,1
1526895121,6,0
1526895721,1,0
1526896922,6,0
1526897522,5,2
