DateTime,Entries,UniqueIPs
1526470922,3808,4338
1526472122,3810,4340
1526472722,3813,4343
1526473322,3812,4342
1526473921,3812,4343
1526474521,3811,4338
1526475122,3812,4339
1526475722,3813,4340
1526476922,3816,4343
1526477521,3817,4343
1526478121,3817,4337
1526478722,3806,4325
1526481122,3806,4322
1526481721,3805,4321
1526482922,3807,4323
1526485321,3809,4325
1526486521,3813,4327
1526487122,3814,4323
1526488321,3815,4323
1526488921,3814,4322
1526490122,3813,4321
1526491322,3811,4319
1526491921,3811,4319
1526492521,3810,4318
1526493122,3811,4319
1526493721,3812,4320
1526494322,3810,4318
1526496122,3804,4309
1526496721,3803,4307
1526497321,3806,4310
1526497922,3788,4292
1526498522,3787,4291
1526499121,3780,4284
1526500922,3762,4264
1526501521,3754,4255
1526502122,3757,4258
1526503322,3764,4264
1526503921,3775,4275
1526504521,3775,4275
1526505722,3766,4262
1526506321,3787,4282
1526506921,3789,4282
1526508122,3790,4283
1526508721,3784,4277
1526509322,3785,4278
1526512321,3775,4266
1526513521,3774,4265
1526514121,3775,4266
1526514722,3759,4245
1526515322,3760,4246
1526515922,3761,4247
1526516522,3762,4248
1526517122,3760,4245
1526517723,3760,4245
1526518322,3756,4241
1526518922,3760,4245
1526519522,3760,4245
1526520122,3763,4248
1526521321,3755,4235
1526522522,3755,4235
1526523123,3740,4218
1526524322,3733,4211
1526524921,3734,4212
1526525521,3731,4208
1526526122,3732,4209
1526526721,3739,4218
1526527321,3741,4220
1526527922,3741,4220
1526528522,3747,4226
1526529722,3722,4195
1526530322,3723,4196
1526530921,3718,4191
1526531522,3715,4185
1526532121,3721,4191
1526532721,3720,4190
1526533321,3718,4188
1526533922,3732,4202
1526534522,3708,4178
1526535722,3730,4201
1526536322,3727,4197
1526536922,3726,4195
1526537522,3721,4191
1526538722,3715,4185
1526539321,3714,4184
1526539921,3717,4187
1526540521,3721,4191
1526541122,3720,4190
1526541722,3721,4191
1526542321,3720,4190
1526542922,3719,4188
1526543522,3720,4178
1526544122,3676,4128
1526544721,3679,4131
1526545321,3680,4129
1526545922,3675,4123
1526546521,3675,4124
1526547121,3668,4114
1526548922,3667,4113
1526549521,3663,4109
1526550721,3661,4107
1526551322,3658,4102
1526551921,3660,4104
1526553721,3658,4101
1526554321,3663,4106
1526554922,3672,4115
1526555522,3677,4117
1526556122,3679,4114
1526556721,3683,4120
1526557321,3686,4123
1526558522,3678,4102
1526559721,3680,4104
1526560921,3678,4102
1526562121,3672,4094
1526562721,3665,4077
1526563321,3669,4081
1526563921,3661,4065
1526565122,3658,4062
1526565722,3659,4063
1526566321,3663,4067
1526566921,3662,4063
1526567521,3661,4058
1526568121,3662,4059
1526568721,3663,4060
1526569322,3675,4064
1526571722,3674,4063
1526572322,3672,4060
1526573522,3673,4061
1526574121,3672,4060
1526574722,3673,4061
1526575322,3671,4059
1526576522,3666,4054
1526577122,3668,4055
1526577722,3672,4059
1526578321,3671,4058
1526578921,3667,4052
1526580122,3668,4053
1526581321,3665,4046
1526581921,3662,4042
1526582522,3663,4043
1526583121,3660,4040
1526583722,3654,4032
1526584922,3654,4032
1526586721,3654,4031
1526588522,3649,4025
1526589721,3650,4026
1526590922,3647,4023
1526591522,3645,4021
1526592122,3646,4022
1526593322,3632,4004
1526593921,3628,3999
1526594522,3629,4000
1526595122,3629,4000
1526595722,3611,3972
1526598122,3614,3975
1526598721,3619,3980
1526599321,3591,3946
1526600521,3590,3944
1526601722,3579,3931
1526602321,3580,3932
1526602922,3579,3931
1526603522,3568,3918
1526604121,3568,3918
1526604722,3570,3920
1526605321,3568,3918
1526605921,3573,3923
1526606522,3551,3895
1526607722,3560,3904
1526608321,3562,3906
1526609521,3564,3909
1526610121,3565,3910
1526611322,3567,3910
1526612521,3559,3902
1526613722,3561,3901
1526614322,3556,3896
1526614921,3538,3879
1526615521,3537,3878
1526616122,3540,3881
1526617321,3534,3874
1526618521,3501,3837
1526619722,3489,3824
1526620321,3494,3829
1526620921,3500,3835
1526622122,3460,3791
1526622721,3463,3795
1526623322,3470,3802
1526623922,3469,3801
1526625721,3469,3801
1526626921,3481,3811
1526627522,3493,3824
1526628122,3495,3826
1526629322,3494,3823
1526629922,3491,3820
1526631122,3488,3815
1526631721,3489,3816
1526632322,3487,3814
1526632921,3480,3806
1526634122,3480,3806
1526634722,3481,3808
1526635322,3482,3809
1526636521,3478,3804
1526637121,3479,3805
1526637721,3481,3806
1526638322,3480,3805
1526638921,3481,3806
1526639521,3482,3807
1526640121,3481,3806
1526641921,3474,3799
1526642522,3470,3795
1526643721,3476,3801
1526644921,3428,3750
1526646722,3427,3748
1526647322,3425,3746
1526649722,3424,3745
1526650322,3427,3748
1526652122,3434,3755
1526653322,3439,3760
1526654522,3451,3773
1526655121,3455,3777
1526655721,3452,3774
1526656321,3454,3776
1526656922,3460,3782
1526658122,3458,3780
1526660522,3461,3783
1526661722,3463,3784
1526662321,3464,3785
1526662922,3464,3784
1526663522,3467,3787
1526665322,3464,3783
1526665921,3438,3757
1526666522,3441,3760
1526667122,3460,3779
1526667722,3465,3784
1526668922,3474,3792
1526669521,3474,3793
1526670122,3470,3788
1526670721,3452,3769
1526671922,3446,3763
1526672522,3447,3764
1526673122,3448,3765
1526673722,3447,3764
1526674321,3448,3765
1526674922,3443,3760
1526676122,3440,3756
1526676721,3440,3756
1526677321,3441,3757
1526678521,3440,3754
1526679121,3439,3753
1526680322,3444,3758
1526680922,3443,3757
1526681522,3444,3758
1526682122,3445,3759
1526682722,3446,3760
1526683322,3447,3761
1526684522,3449,3758
1526685121,3451,3760
1526686922,3450,3759
1526688122,3451,3760
1526688721,3451,3759
1526689921,3442,3747
1526690523,3443,3748
1526691722,3398,3699
1526692922,3400,3701
1526693522,3411,3712
1526694122,3405,3706
1526694721,3407,3708
1526695322,3408,3709
1526695922,3414,3715
1526696522,3416,3717
1526697122,3414,3713
1526697721,3416,3715
1526698321,3414,3713
1526698921,3415,3714
1526699522,3417,3716
1526700122,3412,3707
1526701321,3413,3708
1526702522,3421,3717
1526703122,3423,3719
1526703722,3424,3720
1526705521,3430,3726
1526706121,3428,3724
1526706721,3430,3726
1526707322,3435,3731
1526708522,3434,3730
1526709722,3425,3716
1526710322,3425,3716
