DateTime,AddedIPs,RemovedIPs
1526525521,32,32
1526526122,80,80
1526526721,80,80
1526527321,74,74
1526527922,80,80
1526528522,80,80
1526529722,80,80
1526530322,80,80
1526530921,80,80
1526531522,79,79
1526532121,80,80
1526532721,80,80
1526533321,75,75
1526533922,80,80
1526534522,80,80
1526535722,77,77
1526536322,80,80
1526536922,80,80
1526537522,76,76
1526538121,80,80
1526538722,80,80
1526539321,80,80
1526539921,80,80
1526540521,75,75
1526541122,80,80
1526541722,80,80
1526542321,12,12
1526542922,80,80
1526543522,80,80
1526544122,80,80
1526544721,80,80
1526545321,76,76
1526545922,80,80
1526546521,79,79
1526547121,80,80
1526547721,80,80
1526548922,80,80
1526549521,26,26
1526550122,80,80
1526550721,80,80
1526551322,15,15
1526551921,74,74
1526552522,80,80
1526553721,74,74
1526554321,80,80
1526554922,80,80
1526555522,80,80
1526556122,78,78
1526556721,80,80
1526557321,80,80
1526558522,75,75
1526559721,80,80
1526560921,75,75
1526561522,80,80
1526562121,80,80
1526562721,77,77
1526563321,70,70
1526563921,76,76
1526564521,13,13
1526565122,80,80
1526565722,80,80
1526566321,80,80
1526566921,78,78
1526567521,80,80
1526568121,79,79
1526568721,80,80
1526569322,80,80
1526570521,78,78
1526571722,66,66
1526572322,80,80
1526572922,70,70
1526573522,80,80
1526574121,80,80
1526574722,80,80
1526575322,80,80
1526576522,80,80
1526577122,73,73
1526577722,67,67
1526578321,80,80
1526578921,79,79
1526580122,80,80
1526581321,79,79
1526581921,80,80
1526582522,74,74
1526583121,80,80
1526583722,80,80
1526584322,79,79
1526584922,80,80
1526585521,80,80
1526586122,80,80
1526586721,80,80
1526587322,74,74
1526588522,79,79
1526589721,74,74
1526590922,75,75
1526591522,80,80
1526592122,79,79
1526593322,76,76
1526593921,80,80
1526594522,78,78
1526595122,80,80
1526595722,80,80
1526598122,80,80
1526598721,72,72
1526599321,77,77
1526600521,80,80
1526601722,80,80
1526602321,73,73
1526602922,64,64
1526603522,80,80
1526604121,80,80
1526604722,80,80
1526605321,80,80
1526605921,80,80
1526606522,69,69
1526607722,79,79
1526608321,80,80
1526608921,38,38
1526609521,80,80
1526610121,80,80
1526611322,80,80
1526612521,80,80
1526613722,79,79
1526614322,80,80
1526614921,80,80
1526615521,80,80
1526616122,79,79
1526617321,80,80
1526617922,80,80
1526618521,80,80
1526619722,77,77
1526620321,80,80
1526620921,80,80
1526622122,79,79
1526622721,80,80
1526623322,80,80
1526623922,64,64
1526624522,77,77
1526625721,77,77
1526626921,69,69
1526627522,80,80
1526628122,80,80
1526629322,78,78
1526629922,80,80
1526630522,80,80
1526631122,80,80
1526631721,80,80
1526632322,80,80
1526632921,70,70
1526634122,57,57
1526634722,80,80
1526635322,80,80
1526636521,30,30
1526637121,79,79
1526637721,73,73
1526638322,9,9
1526638921,80,80
1526639521,80,80
1526640121,80,80
1526640722,80,80
1526641322,80,80
1526641921,80,80
1526642522,80,80
1526643721,78,78
1526644921,73,73
1526646722,79,79
1526647322,70,70
1526647921,78,78
1526648521,80,80
1526649121,80,80
1526649722,80,80
1526650322,80,80
1526650921,80,80
1526651522,78,78
1526652122,67,67
1526652721,79,79
1526653322,80,80
1526654522,72,72
1526655121,76,76
1526655721,71,71
1526656321,80,80
1526656922,80,80
1526658122,71,71
1526659321,80,80
1526660522,80,80
1526661722,27,27
1526662321,80,80
1526662922,80,80
1526663522,80,80
1526664121,79,79
1526665322,80,80
1526665921,80,80
1526666522,76,76
1526667122,80,80
1526667722,73,73
1526668922,74,74
1526669521,80,80
1526670122,80,80
1526670721,76,76
1526671321,80,80
1526671922,75,75
1526672522,80,80
1526673122,80,80
1526673722,80,80
1526674321,80,80
1526674922,80,80
1526676122,80,80
1526676721,80,80
1526677321,80,80
1526678521,80,80
1526679121,80,80
1526679722,55,55
1526680322,64,64
1526680922,77,77
1526681522,27,27
1526682122,80,80
1526682722,71,71
1526683322,80,80
1526684522,79,79
1526685121,79,79
1526685722,74,74
1526686322,80,80
1526686922,80,80
1526687521,76,76
1526688122,74,74
1526688721,80,80
1526689321,80,80
1526689921,80,80
1526690523,77,77
1526691722,80,80
1526692922,76,76
1526693522,80,80
1526694122,80,80
1526694721,66,66
1526695322,80,80
1526695922,80,80
1526696522,80,80
1526697122,80,80
1526697721,80,80
1526698321,80,80
1526698921,80,80
1526699522,79,79
1526700122,78,78
1526701321,78,78
1526702522,80,80
1526703122,79,79
1526703722,70,70
1526704321,80,80
1526704922,80,80
1526705521,80,80
1526706121,14,14
1526706721,80,80
1526707322,80,80
1526708522,68,68
1526709722,77,77
1526710322,80,80
1526710921,80,80
1526712121,78,78
1526713321,79,79
1526713921,80,80
1526714521,6,6
1526715121,75,75
1526715721,80,80
1526716921,78,78
1526718122,79,79
1526719322,67,67
1526720521,80,80
1526721122,80,80
1526721722,74,74
1526722322,80,80
1526722922,80,80
1526724122,80,80
1526724722,75,75
1526725322,80,80
1526725922,80,80
1526726522,80,80
1526727721,80,80
1526728321,80,80
1526728922,80,80
1526729522,80,80
1526730122,56,56
1526730722,80,80
1526731321,80,80
1526732522,71,71
1526733122,80,80
1526733722,77,77
1526734322,80,80
1526734921,80,80
1526736122,80,80
1526736722,80,80
1526737321,80,80
1526737922,80,80
1526738521,78,78
1526739121,39,39
1526739722,59,59
1526740921,73,73
1526741521,74,74
1526742122,80,80
1526743321,80,80
1526744521,80,80
1526745122,80,80
1526745722,80,80
1526746322,20,20
1526746922,77,77
1526748121,80,80
1526748721,80,80
1526749322,80,80
1526750522,80,80
1526751721,70,70
1526752921,80,80
1526753522,80,80
1526754121,80,80
1526754721,73,73
1526755321,80,80
1526756522,80,80
1526757122,80,80
1526757722,80,80
1526758921,80,80
1526759521,77,77
1526760121,80,80
1526760722,80,80
1526761322,79,79
1526762522,50,50
1526763121,73,73
1526763722,80,80
1526764322,69,69
1526764921,80,80
1526766121,80,80
1526766721,80,80
1526767321,10,10
1526767921,80,80
1526768521,65,65
1526769722,59,59
1526770921,80,80
1526771522,79,79
1526772122,27,27
1526772721,80,80
1526773321,72,72
1526773921,80,80
1526774522,80,80
1526775121,80,80
1526775722,30,30
1526776322,80,80
1526776922,64,64
1526778122,80,80
1526778721,80,80
1526779321,80,80
1526780522,66,66
1526781721,80,80
1526782922,61,61
1526783522,70,70
1526784122,80,80
1526785321,80,80
1526785922,78,78
1526786521,42,42
1526787721,80,80
1526788321,80,80
1526788922,80,80
1526790121,72,72
1526791322,79,79
1526792521,78,78
1526793121,78,78
1526793722,80,80
1526794321,80,80
1526794921,80,80
1526795522,80,80
1526796121,77,77
1526796722,79,79
1526797321,77,77
1526797921,80,80
1526798521,80,80
1526799722,75,75
1526800321,80,80
1526800922,80,80
1526802121,79,79
1526802721,80,80
1526803321,80,80
1526803922,62,62
1526804522,80,80
1526805722,79,79
1526806922,79,79
1526807522,80,80
1526808121,77,77
1526809322,32,32
1526810522,78,78
1526811721,80,80
1526812321,75,75
1526812922,80,80
1526814121,80,80
1526814721,80,80
1526815922,80,80
1526816521,78,78
1526817122,76,76
1526817722,79,79
1526818322,67,67
1526818922,80,80
1526819522,71,71
1526820122,78,78
1526820722,80,80
1526821922,80,80
1526822522,72,72
1526823721,74,74
1526824322,80,80
1526824921,80,80
1526825522,80,80
1526826122,78,78
1526826722,78,78
1526827322,75,75
1526828522,77,77
1526829122,74,74
1526829721,79,79
1526830322,80,80
1526830922,13,13
1526832122,80,80
1526832722,80,80
1526833321,80,80
1526833921,69,69
1526834521,80,80
1526835121,80,80
1526835722,80,80
1526836323,80,80
1526836922,79,79
1526837522,78,78
1526838122,80,80
1526839321,77,77
1526839922,72,72
1526840521,80,80
1526841722,63,63
1526842322,80,80
1526842922,80,80
1526844122,79,79
1526845321,77,77
1526845922,63,63
1526846522,80,80
1526847122,80,80
1526847722,66,66
1526848921,80,80
1526849521,80,80
1526850122,80,80
1526850722,79,79
1526851321,75,75
1526851922,80,80
1526852522,80,80
1526853722,79,79
1526854322,80,80
1526854922,80,80
1526855521,79,79
1526857322,76,76
1526858521,68,68
1526859121,80,80
1526859721,80,80
1526860922,79,79
1526861521,58,58
1526862122,71,71
1526862722,80,80
1526863322,80,80
1526863922,76,76
1526864522,80,80
1526865722,30,30
1526866921,77,77
1526867521,80,80
1526868121,80,80
1526868721,80,80
1526869321,70,70
1526870522,77,77
1526871722,80,80
1526872921,80,80
1526873522,80,80
1526874121,80,80
1526874721,80,80
1526875322,70,70
1526876522,72,72
1526877121,80,80
1526877722,75,75
1526878921,78,78
1526880122,55,55
1526880721,74,74
1526881321,77,77
1526882521,65,65
1526883121,80,80
1526883722,80,80
1526884321,80,80
1526884921,80,80
1526886121,68,68
1526886721,72,72
1526887322,75,75
1526887921,19,19
1526888522,80,80
1526889722,78,78
1526890321,80,80
1526890921,80,80
1526892122,77,77
1526892722,78,78
1526893322,80,80
1526893922,80,80
1526894522,80,80
1526895121,80,80
1526895721,80,80
1526896922,78,78
1526897522,80,80
