DateTime,Entries,UniqueIPs
1508509853,3209,3209
1508574654,3212,3212
1508577359,3213,3213
1508587261,3214,3214
1508724056,3215,3215
1508748363,3216,3216
1508831148,3217,3217
1508852757,3218,3218
1508855459,3220,3220
1508857267,3221,3221
1508909455,3222,3222
1508942756,3223,3223
1509100251,3225,3225
1509102065,3226,3226
1509104760,3227,3227
1509111959,3229,3229
1509115550,3230,3230
1509190253,3231,3231
1509215454,3232,3232
1509219054,3235,3235
1509270357,3240,3240
1509277555,3241,3241
1509322558,3242,3242
1509335155,3243,3243
1509350456,3246,3246
1509365755,3247,3247
1509379262,3248,3248
1509445859,3249,3249
1509448567,3250,3250
1509540357,3251,3251
1509543951,3252,3252
1509549360,3254,3254
1509570065,3255,3255
1509599754,3256,3256
1509624904,3257,3257
1509691556,3258,3258
1509709563,3261,3261
1509712258,3262,3262
1509795954,3263,3263
1509796858,3266,3266
1509835551,3267,3267
1509877862,3269,3269
1509879662,3271,3271
1509901258,3272,3272
1509907549,3273,3273
1509927352,3274,3274
1509961558,3275,3275
1510043464,3276,3276
1510065003,3277,3277
1510065955,3278,3278
1510070450,3279,3279
1510093852,3280,3280
1510105558,3281,3281
1510128961,3282,3282
1510151458,3283,3283
1510217148,3284,3284
1510294561,3285,3285
1510326054,3286,3286
1510330552,3287,3287
1510356651,3288,3288
1510429504,3289,3289
1510440363,3290,3290
1510473659,3291,3291
1510494357,3292,3292
1510690558,3293,3293
1510723856,3294,3294
1510735556,3296,3296
1510736462,3299,3299
1510760752,3300,3300
1510775154,3301,3301
1510821062,3303,3303
1510845303,3304,3304
1511296254,3305,3305
1511297147,3306,3306
1511301603,3307,3307
1511342181,3308,3308
1511365549,3309,3309
1511392560,3310,3310
1511395249,3311,3311
1511424964,3312,3312
1511426768,3313,3313
1511542853,3314,3314
1511724658,3315,3315
1511747155,3316,3316
1511785861,3317,3317
1511825456,3318,3318
1511867759,3319,3319
1511881263,3320,3320
1511922651,3321,3321
1512067561,3322,3322
1512298870,3325,3325
1512312357,3326,3326
1512378065,3327,3327
1512404162,3328,3328
1512428453,3329,3329
1512455466,3330,3330
1512487868,3331,3331
1512524762,3332,3332
1512530154,3333,3333
1512542753,3334,3334
1512579653,3335,3335
1512602162,3341,3341
1512636366,3342,3342
1512662482,3343,3343
1512675979,3345,3345
1512683102,3346,3346
1512721872,3347,3347
1512730878,3351,3351
1512740769,3352,3352
1512922574,3354,3354
1512933360,3359,3359
1512934276,3360,3360
1512945974,3363,3363
1512959472,3364,3364
1512986464,3365,3365
1513020676,3367,3367
