DateTime,AddedIPs,RemovedIPs
1526374322,2,1
1526375522,1,0
1526377321,1,8
1526377921,0,1
1526379722,0,1
1526380922,4,2
1526381522,1,1
1526382121,2,2
1526382721,1,2
1526383321,0,3
1526384522,0,1
1526387521,3,0
1526388122,2,1
1526389322,3,0
1526389921,1,10
1526390521,1,0
1526392321,0,1
1526394122,1,1
1526395322,1,0
1526396522,8,2
1526397721,2,0
1526398322,0,3
1526400122,0,5
1526400722,1,0
1526401922,1,0
1526402522,4,0
1526403121,0,2
1526403721,1,0
1526404322,1,3
1526404922,0,2
1526407321,2,3
1526407922,2,0
1526408522,1,1
1526409122,1,1
1526410922,0,1
1526411521,2,2
1526412122,8,1
1526412722,1,0
1526413322,1,0
1526416322,0,2
1526416922,0,1
1526417522,1,0
1526418122,0,2
1526419322,5,1
1526419921,2,1
1526420522,0,1
1526421721,2,1
1526422321,1,0
1526422921,0,1
1526423522,1,0
1526425322,0,1
1526426522,3,2
1526427721,16,3
1526428321,1,1
1526430121,1,1
1526430722,1,0
1526431922,3,0
1526432521,0,2
1526433122,0,2
1526434321,0,1
1526434922,1,0
1526435522,4,0
1526436122,1,0
1526437322,1,1
1526437921,1,0
1526439721,1,0
1526440321,0,3
1526440922,1,4
1526442121,1,0
1526442722,1,1
1526444521,1,0
1526445122,0,1
1526446922,0,4
1526447522,1,2
1526448121,1,0
1526449322,1,1
1526450521,1,0
1526451721,0,4
1526452922,0,1
1526453521,1,0
1526454122,0,2
1526455321,4,0
1526455922,3,2
1526457121,1,1
1526457721,0,1
1526459522,0,5
1526461322,2,2
1526461922,1,3
1526462522,1,0
1526464922,2,2
1526466121,0,1
1526467321,2,0
1526469722,1,1
1526470922,0,4
1526473321,2,3
1526473921,2,0
1526474521,0,3
1526475722,1,0
1526476321,0,1
1526477521,0,1
1526478121,0,1
1526478721,1,2
1526479322,0,2
1526480521,4,0
1526481721,0,2
1526482922,1,2
1526484122,0,1
1526485321,1,2
1526485921,1,0
1526486521,0,1
1526487122,1,3
1526488321,2,4
1526488921,0,1
1526490122,1,0
1526491322,2,0
1526492521,0,3
1526493122,0,1
1526494322,1,1
1526494921,6,1
1526495522,5,2
1526496122,3,0
1526496721,1,0
1526498522,7,2
1526499121,0,3
1526499722,2,0
1526500322,2,0
1526500922,0,1
1526501521,3,0
1526502122,3,0
1526503322,7,0
1526503921,0,1
1526504521,2,4
1526505722,1,2
1526506321,5,0
1526506921,2,1
1526507522,1,0
1526509322,1,0
1526509921,5,0
1526512321,11,7
1526512921,1,0
1526513521,1,2
1526514121,1,0
1526514722,1,2
1526515921,1,1
1526517122,0,1
1526517722,1,0
1526518321,3,3
1526518922,2,0
1526520122,2,2
1526521321,0,4
1526522522,0,1
1526523123,10,3
1526523721,5,0
1526524921,3,2
1526525521,2,3
1526526121,0,2
1526527321,1,0
1526527922,0,4
1526528522,2,0
1526529722,3,3
1526530921,0,1
1526532121,0,1
1526532721,4,3
1526535722,1,0
1526536922,1,5
1526537522,1,0
1526539321,1,2
1526540521,0,2
1526541122,0,1
1526541722,1,0
1526542922,1,3
1526543522,0,1
1526544122,0,1
1526545321,2,0
1526545922,1,4
1526547121,0,1
1526547721,2,0
1526548321,1,0
1526549521,2,0
1526550122,2,4
1526550721,5,3
1526551322,0,3
1526552522,1,0
1526554922,2,1
1526556122,0,2
1526556721,2,0
1526557321,0,1
1526557922,1,3
1526558522,0,1
1526559721,0,1
1526562121,2,7
1526562721,0,2
1526565122,1,1
1526565722,1,0
1526567521,0,2
1526568121,3,0
1526568721,0,1
1526569321,0,3
1526571722,3,1
1526572321,0,1
1526572922,1,0
1526574121,1,4
1526575322,1,3
1526575922,0,2
1526576522,1,0
1526577122,1,0
1526577722,1,1
1526578321,1,0
1526578921,1,1
1526579522,4,0
1526581321,0,3
1526581921,1,3
1526583121,0,1
1526583722,0,1
1526584922,2,0
1526586122,2,2
1526586721,1,1
1526587321,1,0
1526588522,2,0
1526589121,0,3
1526590321,0,1
1526592122,1,0
1526593322,4,2
1526593921,2,1
1526595122,0,1
1526595722,1,2
1526598122,2,4
1526599321,0,1
1526599921,0,1
1526601722,2,2
1526602922,2,2
1526603522,2,2
1526604121,1,1
1526605321,0,4
1526606522,1,2
1526607722,2,1
1526608321,1,3
1526608921,5,0
1526610121,1,3
1526611322,0,1
1526612521,1,2
1526613122,1,0
1526614921,3,3
1526615521,3,2
1526617321,2,0
1526617922,2,0
1526619722,5,4
1526620321,3,0
1526622122,1,3
1526623922,0,1
1526625721,0,3
1526627522,2,0
1526628122,1,3
1526629322,9,0
1526629922,0,2
1526630522,1,0
1526632322,1,0
1526633521,1,0
1526634122,1,0
1526634722,2,1
1526635322,6,4
1526637121,2,1
1526638921,1,1
1526640121,0,4
1526641921,0,3
1526642522,1,5
1526643721,2,0
1526644921,0,4
1526646722,0,1
1526647322,1,1
1526647921,3,0
1526648521,2,0
1526650322,1,4
1526652122,2,1
1526652721,1,0
1526656321,2,4
1526658122,0,13
1526660522,1,4
