DateTime,AddedIPs,RemovedIPs
1526520122,49,49
1526520722,21,21
1526521321,9,9
1526522522,22,22
1526523123,28,28
1526523721,21,21
1526524921,27,27
1526525521,33,33
1526526121,21,21
1526526721,17,17
1526527321,15,15
1526527922,17,17
1526528522,18,18
1526529122,13,13
1526529722,23,23
1526530322,18,18
1526530921,9,9
1526532121,7,7
1526532721,40,40
1526533321,15,15
1526533922,12,12
1526534522,19,19
1526535722,19,19
1526536922,28,28
1526537522,23,23
1526538121,15,15
1526539321,24,24
1526540521,29,29
1526541122,30,30
1526541722,23,23
1526542922,14,14
1526543522,8,8
1526544122,12,12
1526544721,26,26
1526545321,26,26
1526545922,8,8
1526546521,6,6
1526547121,5,5
1526547721,20,20
1526548321,17,17
1526548921,16,16
1526549521,14,14
1526550122,8,8
1526550721,17,17
1526551322,4,4
1526551921,4,4
1526552522,17,17
1526553721,4,4
1526554922,18,18
1526556122,10,10
1526556721,7,7
1526557321,5,5
1526557922,11,11
1526558522,12,12
1526559122,3,3
1526559721,13,13
1526560322,2,2
1526560921,2,2
1526562121,14,14
1526562721,3,3
1526563321,8,8
1526563921,5,5
1526565122,9,9
1526565722,19,19
1526566921,11,11
1526567521,6,6
1526568121,6,6
1526568721,4,4
1526569321,3,3
1526569922,8,8
1526570521,2,2
1526571722,13,13
1526572321,2,2
1526572922,11,11
1526573522,17,17
1526574121,11,11
1526575322,15,15
1526575922,5,5
1526576522,7,7
1526577122,5,5
1526577722,19,19
1526578321,5,5
1526578921,11,11
1526579522,21,21
1526580121,2,2
1526581321,17,17
1526581921,9,9
1526582522,5,5
1526583121,3,3
1526583722,8,8
1526584922,15,15
1526586122,31,31
1526586721,25,25
1526587321,24,24
1526588522,25,25
1526589121,27,27
1526589721,9,9
1526590321,13,13
1526590921,4,4
1526591522,7,7
1526592122,4,4
1526593322,15,15
1526593921,13,13
1526594522,6,6
1526595122,10,10
1526595722,20,20
1526598122,35,35
1526598721,15,15
1526599321,10,10
1526599921,12,12
1526600521,4,4
1526601722,27,27
1526602321,9,9
1526602922,18,18
1526603522,26,26
1526604121,8,8
1526605321,17,17
1526605921,21,21
1526606522,10,10
1526607722,28,28
1526608321,13,13
1526608921,20,20
1526610121,25,25
1526611322,2,2
1526612521,21,21
1526613122,8,8
1526614322,8,8
1526614921,15,15
1526615521,3,3
1526616122,2,2
1526616722,14,14
1526617321,12,12
1526617922,12,12
1526618521,2,2
1526619722,19,19
1526620321,19,19
1526620921,9,9
1526622122,13,13
1526622721,3,3
1526623322,8,8
1526623922,12,12
1526624522,13,13
1526625721,11,11
1526626321,2,2
1526626921,8,8
1526627522,11,11
1526628122,9,9
1526629322,27,27
1526629922,9,9
1526630522,20,20
1526631122,6,6
1526631721,8,8
1526632322,28,28
1526632921,6,6
1526633521,8,8
1526634122,11,11
1526634722,9,9
1526635322,12,12
1526636521,21,21
1526637121,10,10
1526637721,3,3
1526638322,19,19
1526638921,10,10
1526639521,4,4
1526640121,2,2
1526640722,4,4
1526641322,4,4
1526641921,9,9
1526642522,9,9
1526643721,17,17
1526644921,13,13
1526646722,20,20
1526647322,9,9
1526647921,6,6
1526648521,12,12
1526649121,6,6
1526649721,18,18
1526650322,7,7
1526650921,8,8
1526651522,11,11
1526652122,22,22
1526652721,21,21
1526653322,3,3
1526654522,12,12
1526656321,17,17
1526656922,8,8
1526658122,21,21
1526659321,25,25
1526660522,16,16
1526661722,14,14
1526662321,12,12
1526662922,8,8
1526663522,15,15
1526664121,6,6
1526665322,8,8
1526665921,6,6
1526666522,14,14
1526667121,10,10
1526667722,22,22
1526668322,11,11
1526668922,10,10
1526669521,9,9
1526670121,10,10
