DateTime,AddedIPs,RemovedIPs
1525093202,161,0
1525096802,208,0
1525100401,118,0
1525104002,328,0
1525107602,205,0
1525111202,126,0
1525114802,147,0
1525118401,194,0
1525122002,234,0
1525125602,142,0
1525129202,134,0
1525132802,164,2163
1525136402,320,0
1525140002,234,0
1525143602,118,0
1525147202,223,0
1525150802,152,0
1525154402,165,0
1525158002,164,0
1525161602,156,0
1525165202,171,0
1525168802,158,0
1525172402,159,0
1525176002,140,0
1525179602,125,0
1525183202,122,0
1525186801,96,0
1525190402,84,0
1525194002,74,0
1525198502,127,1
1525202102,115,0
1525205701,103,0
1525209302,102,0
1525212902,113,0
1525216502,150,0
1525220102,101,3971
1525223701,182,0
1525227302,280,0
1525230901,95,0
1525234502,240,0
1525238102,188,0
1525241702,191,0
1525245302,231,0
1525248902,184,0
1525252502,126,0
1525256102,154,0
1525260602,163,0
1525264202,251,0
1525267802,290,0
1525271402,131,0
1525275002,113,0
1525278602,113,0
1525282202,114,0
1525285801,89,0
1525289402,120,0
1525293002,103,0
1525296602,113,0
1525301102,166,0
1525304702,207,0
1525308301,209,3580
1525311902,253,0
1525315502,89,0
1525319102,83,0
1525322701,95,0
1525326302,131,0
1525329901,104,0
1525333502,153,0
1525337102,134,0
1525340702,135,0
1525344302,128,0
1525347902,148,0
1525351501,158,0
1525355102,148,0
1525358702,168,0
1525362302,142,0
1525365902,126,0
1525369502,170,0
1525373102,198,0
1525376702,84,0
1525380301,154,0
1525383902,88,0
1525387502,106,0
1525391102,91,0
1525394702,95,4142
1525398301,94,0
1525401902,124,0
1525405502,112,0
1525409101,176,0
1525412701,173,0
1525416302,92,0
1525419902,123,0
1525423501,128,0
1525427102,125,0
1525430702,142,0
1525434302,105,0
1525437902,112,0
1525441502,114,0
1525445102,103,0
1525448701,152,0
1525452302,256,0
1525455902,241,0
1525459502,112,0
1525463102,116,0
1525466701,122,0
1525470302,98,0
1525473902,88,0
1525477502,157,0
1525481102,214,3261
1525484702,203,0
1525488301,79,0
1525491901,78,0
1525495502,98,0
1525499102,102,0
1525502702,130,0
1525506302,108,0
1525509901,121,0
1525513502,108,0
1525517102,122,0
1525520702,134,0
1525524302,113,0
1525527902,126,0
1525531502,107,0
1525535101,155,0
1525538702,137,0
1525542302,138,0
1525545902,125,0
1525549502,108,0
1525553102,96,0
1525556702,180,0
1525560302,126,0
1525563901,103,0
1525567502,88,3074
1525571102,112,0
1525574701,80,0
1525578302,75,0
1525581902,71,0
1525585502,132,0
1525589102,121,0
1525592702,152,0
1525596302,155,0
1525599902,149,0
1525603502,196,0
1525607102,99,0
1525610701,131,0
1525614301,121,0
1525617902,89,0
1525621502,112,0
1525625101,103,0
1525628702,89,0
1525633202,234,0
1525636802,74,0
1525640402,74,0
1525644002,70,0
1525647602,66,0
1525651201,72,2891
1525654802,150,0
1525658401,130,0
1525662002,227,0
1525665602,133,0
1525669202,120,0
1525672802,128,0
1525676401,138,0
1525680002,161,0
1525683602,171,0
1525687202,132,0
1525690802,154,0
1525694402,150,0
1525698002,127,0
1525701602,159,0
1525705202,99,0
1525708802,215,0
1525712402,171,0
1525716002,267,0
1525719602,85,0
1525723202,129,0
1525726802,114,0
1525730402,131,1
1525734001,112,0
1525737602,152,2542
1525741202,124,0
1525744801,144,0
1525748401,165,0
1525752002,217,0
1525755602,183,0
1525759202,157,0
1525762802,193,0
1525766401,195,0
1525770002,193,0
1525773602,232,0
1525777202,200,0
1525780802,203,0
1525784402,199,0
1525788001,159,0
1525791602,165,0
1525795202,135,0
1525798802,170,0
1525802402,184,0
1525806001,201,0
1525809602,189,0
1525813202,164,0
1525816802,157,0
1525820401,173,0
1525824002,130,3516
1525827602,108,0
1525831202,72,0
1525834802,294,0
1525838402,122,0
1525842002,128,0
1525845601,132,0
1525849202,191,0
1525852802,163,0
1525856402,171,0
1525860001,176,0
1525863602,129,0
1525867202,158,0
1525870802,132,0
1525874402,136,0
1525878002,129,0
1525881602,138,0
1525885202,135,0
1525888801,108,0
1525892402,171,0
1525896002,150,0
1525899602,124,0
1525903202,103,0
1525906802,135,0
1525910402,129,4091
1525914002,99,0
1525917602,90,0
1525921202,102,0
1525924802,131,0
1525928402,105,0
1525932002,115,0
1525935602,103,0
1525939202,121,0
1525942802,116,0
1525946402,120,0
1525950002,176,0
1525953602,140,0
1525957202,114,0
1525960802,146,0
1525964402,93,0
1525968002,111,0
1525971602,97,0
1525975202,140,0
1525978802,330,0
1525982402,179,0
1525986001,129,0
1525989602,118,0
1525994101,132,0
1525997702,105,3530
1526001302,173,0
1526004902,284,0
1526008501,97,0
1526012102,135,0
1526015701,144,0
1526019302,91,0
1526022902,130,0
1526026502,259,0
1526030101,139,0
1526033702,142,0
1526037302,277,0
1526040902,158,0
1526044501,215,0
1526048101,142,0
1526051701,172,0
1526055302,121,0
1526058902,172,0
1526062502,145,0
1526066101,105,0
1526069702,100,0
1526073301,81,0
1526076902,114,0
1526080502,107,0
1526084101,107,3128
1526087702,93,0
1526091301,96,0
1526094902,91,0
1526098502,104,0
1526102101,184,0
1526105702,122,0
1526109302,108,0
1526112901,165,0
1526116502,110,0
1526120102,130,0
1526123701,125,0
1526127302,123,0
1526130902,113,0
1526134502,128,0
1526138102,459,0
1526141702,106,0
1526145301,120,0
1526148902,92,0
1526152502,98,0
1526156101,93,0
1526159702,124,0
1526163302,100,0
1526166901,85,0
1526170501,70,3495
1526174102,91,0
1526177702,96,0
1526181302,111,0
1526184902,79,0
1526188501,83,0
1526192102,116,0
1526195702,122,0
1526199302,135,0
1526202901,128,0
1526206502,118,0
1526210102,91,0
1526213702,143,0
1526217302,227,0
1526220901,98,0
1526224502,116,0
1526228102,193,0
1526231702,111,0
1526235302,126,0
1526238902,125,0
1526242502,185,0
1526246102,134,0
1526249701,247,0
1526253302,196,0
1526256902,73,3111
1526260501,83,0
1526264101,109,0
1526267702,97,0
1526271301,78,0
1526274902,114,0
1526278502,115,0
1526282101,362,0
1526285702,186,0
1526289302,209,0
1526292902,128,0
1526296502,205,0
1526300102,217,0
1526304601,235,0
1526309102,231,0
1526312702,158,0
1526316302,154,0
1526319902,170,0
1526323502,120,0
1526327101,108,0
1526330702,131,0
1526334302,94,0
1526337902,102,0
1526341502,108,0
1526345102,133,3105
1526348702,205,0
1526352302,116,0
1526355902,123,0
1526359502,150,0
1526363102,245,0
1526366702,198,0
1526370302,224,0
1526373902,213,0
1526377502,204,0
1526381101,197,0
1526384702,192,0
1526388302,186,0
1526391902,178,0
1526395502,149,0
1526399102,159,0
1526402702,275,0
1526406302,250,0
1526409902,222,0
1526413502,165,0
1526417101,123,0
1526420701,131,0
1526424302,135,0
1526427901,109,0
1526431502,225,3586
1526435101,198,0
1526438702,120,0
1526442302,140,0
1526445901,93,0
1526449502,125,0
1526453102,133,0
1526456702,158,0
1526460302,263,0
1526463902,157,0
1526467502,141,0
1526471101,152,0
1526474701,127,0
1526478302,144,0
1526481902,123,0
1526485502,176,0
1526489102,107,0
1526492701,123,0
1526496302,108,0
1526499902,115,0
1526503502,110,0
1526507102,140,0
1526511602,155,2
1526515201,109,4131
1526518802,217,0
1526522402,114,0
1526526002,125,0
1526529602,89,0
1526533202,93,0
1526536802,113,0
1526540402,144,0
1526544002,172,0
1526547601,161,0
1526551202,122,0
1526554802,153,0
1526558402,114,0
1526562002,127,0
1526565602,130,0
1526569201,140,0
1526572802,100,0
1526576402,172,0
1526580001,179,0
1526583601,134,0
1526587202,122,0
1526590802,103,0
1526594401,161,0
1526598002,144,0
1526601602,73,3562
1526605202,100,0
1526608802,143,0
1526612402,177,0
1526616002,90,0
1526619602,154,0
1526623202,110,0
1526626802,1054,0
1526630401,986,0
1526634002,552,0
1526637602,1196,0
1526641202,689,0
1526644802,118,0
1526648402,597,0
1526652001,1458,0
1526655602,1358,0
1526659202,1227,0
1526662802,176,0
1526666402,120,0
1526670002,109,0
1526673602,118,1
1526677203,112,0
1526680802,97,0
1526684402,87,0
1526688002,104,3275
1526691602,105,0
1526695202,134,0
1526698802,94,0
1526702402,183,0
1526706002,135,0
1526709603,410,0
1526713201,890,0
1526716802,1024,0
1526720402,283,0
1526724002,269,0
1526727602,455,0
1526731202,481,0
