DateTime,AddedIPs,RemovedIPs
1524658817,2,4
1524663314,0,9
1524665190,5,0
1524666026,4,2
1524673226,3,4
1524680424,1,12
1524687626,6,4
1524689422,0,3
1524692115,1,0
1524694824,3,3
1524702016,1,1
1524709221,1,7
1524716426,11,2
1524723619,4,7
1524730817,4,4
1524737141,0,1
1524738021,5,1
1524744438,0,9
1524745346,6,6
1524749724,10,0
1524752416,7,4
1524810923,31,30
1524817224,1,2
1524824422,2,3
1524825323,1,0
1524830749,11,0
1524831628,1,3
1524835232,0,12
1524838820,3,4
1524846023,13,7
1524853229,2,3
1524860426,2,3
1524868530,4,2
1524870331,0,1
1524872126,2,0
1524874833,1,1
1524875736,1,0
1524878428,1,0
1524882033,9,7
1524882931,2,0
1524889228,8,7
1524896421,4,6
1524903621,2,3
1524962464,27,36
1524963916,1,0
1524968409,3,4
1524975615,5,7
1524982814,4,5
1524990010,5,0
1524997209,1,5
1525003527,0,1
1525004381,3,5
1525007880,0,7
1525011474,4,7
1525018672,4,7
1525026047,3,3
1525028716,3,0
1525033217,2,4
1525038616,0,2
1525040413,1,5
1525044917,0,1
1525046739,1,0
1525047617,4,6
1525049412,2,0
1525050312,0,2
1525053020,1,0
1525054813,2,4
1525056606,1,0
1525062020,9,2
1525063820,0,1
1525069218,7,3
1525076415,6,6
1525083620,4,3
1525087225,0,1
1525089937,4,15
1525090820,5,2
1525098020,1,0
1525098916,0,1
1525105218,6,2
1525112419,7,3
1525119626,0,3
1525120531,0,1
1525126818,2,3
1525128622,1,0
1525134022,3,4
1525141237,13,5
1525143020,1,0
1525148426,4,5
1525155622,1,1
1525158324,0,1
1525162816,5,7
1525170019,6,0
1525177360,5,3
1525179972,0,5
1525180829,4,0
1525183567,0,1
1525184431,6,2
1525190745,1,0
1525191625,5,5
1525198824,5,2
1525205148,0,1
1525206034,4,5
1525206930,2,0
1525211425,1,0
1525213225,2,2
1525214134,1,0
1525215929,1,0
1525219548,1,0
1525220429,5,4
1525221323,0,1
1525222226,0,3
1525223127,0,1
1525224028,0,2
1525224922,0,3
1525227629,4,7
1525234824,6,3
1525242028,3,3
1525249226,5,5
1525256423,6,2
1525262755,10,0
1525263637,2,3
1525269975,0,4
1525270827,6,1
1525271731,0,2
1525278029,4,4
1525285232,3,8
1525292414,2,1
1525295120,0,1
1525296012,0,2
1525300524,2,2
1525302318,0,1
1525306811,3,6
1525311314,1,0
1525314015,3,5
1525321222,6,7
1525328415,3,5
1525330215,1,0
1525335620,7,4
1525342817,2,3
1525350155,4,2
1525353660,1,8
1525354525,6,0
1525357218,3,4
1525364420,4,5
1525371619,14,5
1525378820,2,4
1525380628,0,1
1525386024,5,4
1525393224,2,1
1525400424,1,6
1525401316,1,0
1525407619,5,7
1525408526,1,0
1525412124,0,1
1525414820,5,5
1525422023,4,1
1525429222,4,3
1525435601,0,11
1525436419,9,5
1525443623,4,5
1525450814,2,3
1525458024,6,2
1525465226,2,1
1525472424,2,2
1525477823,1,0
1525478747,2,0
1525479628,1,5
1525486825,0,5
1525491318,0,1
1525494016,5,7
1525496717,3,0
1525501220,5,3
1525505723,0,1
1525508425,1,3
1525515627,4,3
1525522035,0,3
1525522954,4,2
1525526436,5,1
1525527321,1,0
1525530018,1,6
1525537222,4,4
1525544421,4,2
1525551623,2,1
1525552531,0,1
1525553423,0,1
1525558824,3,2
1525560619,0,2
1525565143,0,1
1525566023,4,1
1525573234,3,4
1525580423,4,9
1525584025,1,1
1525584922,1,0
1525587622,5,3
1525594818,2,3
1525602025,4,4
1525608346,8,0
1525609233,5,3
1525612818,0,6
1525616418,1,3
1525623615,3,4
1525630823,4,4
1525633520,0,29
1525636217,0,1
1525638019,1,6
1525645221,2,4
1525647023,0,1
1525652415,2,2
1525655118,0,1
1525659623,4,7
1525666817,5,6
1525674026,5,2
1525681212,4,4
1525685729,1,1
1525688420,4,3
1525692921,1,0
1525694840,0,5
1525695761,0,8
1525699229,4,0
1525700120,1,0
1525702815,0,6
1525710016,2,7
1525717223,5,2
1525724427,3,4
1525728023,0,1
1525729820,0,2
1525731615,5,3
1525737931,0,1
1525738827,2,2
1525746014,1,4
1525750524,1,0
1525752351,1,0
1525753223,7,5
1525760421,2,3
1525767624,4,4
1525774819,5,2
1525782030,12,17
1525782928,3,0
1525786523,0,3
1525789230,4,7
1525791029,1,0
1525796424,3,4
1525803624,4,3
1525809936,0,1
1525810822,4,0
1525818018,11,5
1525825221,3,2
1525827925,0,1
1525832420,4,7
1525834223,1,0
1525835124,1,0
1525839632,6,8
1525843231,1,0
1525845020,2,0
1525845945,2,0
1525846827,5,4
1525854019,5,3
1525861223,4,3
1525867628,0,8
1525868553,1,7
1525872042,9,0
1525872936,1,0
1525875624,7,5
1525882819,5,7
1525890024,2,3
1525892730,0,1
1525896342,0,1
1525897233,4,1
1525901721,0,1
1525902625,0,1
1525904417,4,5
1525911619,9,1
1525918822,12,8
1525923323,0,1
1525926022,9,4
1525933226,3,7
1525941316,2,6
1525947626,3,3
1525951226,1,0
1525954835,51,2
1525958419,0,4
1525959331,0,3
