DateTime,Entries,UniqueIPs
1524658817,1699,1699
1524663314,1690,1690
1524665190,1695,1695
1524666026,1697,1697
1524673226,1696,1696
1524680424,1685,1685
1524687626,1687,1687
1524689422,1684,1684
1524692115,1685,1685
1524694824,1685,1685
1524702016,1685,1685
1524709221,1679,1679
1524716426,1688,1688
1524723619,1685,1685
1524730817,1685,1685
1524737141,1684,1684
1524738021,1688,1688
1524744438,1679,1679
1524745346,1679,1679
1524749724,1689,1689
1524752416,1692,1692
1524810923,1693,1693
1524817224,1692,1692
1524824422,1691,1691
1524825323,1692,1692
1524830749,1703,1703
1524831628,1701,1701
1524835232,1689,1689
1524838820,1688,1688
1524846023,1694,1694
1524853229,1693,1693
1524860426,1692,1692
1524868530,1694,1694
1524870331,1693,1693
1524872126,1695,1695
1524874833,1695,1695
1524875736,1696,1696
1524878428,1697,1697
1524882033,1699,1699
1524882931,1701,1701
1524889228,1702,1702
1524896421,1700,1700
1524903621,1699,1699
1524962464,1690,1690
1524963916,1691,1691
1524968409,1690,1690
1524975615,1688,1688
1524982814,1687,1687
1524990010,1692,1692
1524997209,1688,1688
1525003527,1687,1687
1525004381,1685,1685
1525007880,1678,1678
1525011474,1675,1675
1525018672,1672,1672
1525026047,1672,1672
1525028716,1675,1675
1525033217,1673,1673
1525038616,1671,1671
1525040413,1667,1667
1525044917,1666,1666
1525046739,1667,1667
1525047617,1665,1665
1525049412,1667,1667
1525050312,1665,1665
1525053020,1666,1666
1525054813,1664,1664
1525056606,1665,1665
1525062020,1672,1672
1525063820,1671,1671
1525069218,1675,1675
1525076415,1675,1675
1525083620,1676,1676
1525087225,1675,1675
1525089937,1664,1664
1525090820,1667,1667
1525098020,1668,1668
1525098916,1667,1667
1525105218,1671,1671
1525112419,1675,1675
1525119626,1672,1672
1525120531,1671,1671
1525126818,1670,1670
1525128622,1671,1671
1525134022,1670,1670
1525141237,1678,1678
1525143020,1679,1679
1525148426,1678,1678
1525155622,1678,1678
1525158324,1677,1677
1525162816,1675,1675
1525170019,1681,1681
1525177360,1683,1683
1525179972,1678,1678
1525180829,1682,1682
1525183567,1681,1681
1525184431,1685,1685
1525190745,1686,1686
1525191625,1686,1686
1525198824,1689,1689
1525205148,1688,1688
1525206034,1687,1687
1525206930,1689,1689
1525211425,1690,1690
1525213225,1690,1690
1525214134,1691,1691
1525215929,1692,1692
1525219548,1693,1693
1525220429,1694,1694
1525221323,1693,1693
1525222226,1690,1690
1525223127,1689,1689
1525224028,1687,1687
1525224922,1684,1684
1525227629,1681,1681
1525234824,1684,1684
1525242028,1684,1684
1525249226,1684,1684
1525256423,1688,1688
1525262755,1698,1698
1525263637,1697,1697
1525269975,1693,1693
1525270827,1698,1698
1525271731,1696,1696
1525278029,1696,1696
1525285232,1691,1691
1525292414,1692,1692
1525295120,1691,1691
1525296012,1689,1689
1525300524,1689,1689
1525302318,1688,1688
1525306811,1685,1685
1525311314,1686,1686
1525314015,1684,1684
1525321222,1683,1683
1525328415,1681,1681
1525330215,1682,1682
1525335620,1685,1685
1525342817,1684,1684
1525350155,1686,1686
1525353660,1679,1679
1525354525,1685,1685
1525357218,1684,1684
1525364420,1683,1683
1525371619,1692,1692
1525378820,1690,1690
1525380628,1689,1689
1525386024,1690,1690
1525393224,1691,1691
1525400424,1686,1686
1525401316,1687,1687
1525407619,1685,1685
1525408526,1686,1686
1525412124,1685,1685
1525414820,1685,1685
1525422023,1688,1688
1525429222,1689,1689
1525435601,1678,1678
1525436419,1682,1682
1525443623,1681,1681
1525450814,1680,1680
1525458024,1684,1684
1525465226,1685,1685
1525472424,1685,1685
1525477823,1686,1686
1525478747,1688,1688
1525479628,1684,1684
1525486825,1679,1679
1525491318,1678,1678
1525494016,1676,1676
1525496717,1679,1679
1525501220,1681,1681
1525505723,1680,1680
1525508425,1678,1678
1525515627,1679,1679
1525522035,1676,1676
1525522954,1678,1678
1525526436,1682,1682
1525527321,1683,1683
1525530018,1678,1678
1525537222,1678,1678
1525544421,1680,1680
1525551623,1681,1681
1525552531,1680,1680
1525553423,1679,1679
1525558824,1680,1680
1525560619,1678,1678
1525565143,1677,1677
1525566023,1680,1680
1525573234,1679,1679
1525580423,1674,1674
1525584025,1674,1674
1525584922,1675,1675
1525587622,1677,1677
1525594818,1676,1676
1525602025,1676,1676
1525608346,1684,1684
1525609233,1686,1686
1525612818,1680,1680
1525616418,1678,1678
1525623615,1677,1677
1525630823,1677,1677
1525633520,1648,1648
1525636217,1647,1647
1525638019,1642,1642
1525645221,1640,1640
1525647023,1639,1639
1525652415,1639,1639
1525655118,1638,1638
1525659623,1635,1635
1525666817,1634,1634
