DateTime,AddedIPs,RemovedIPs
1524844932,4,1
1524848592,1,1
1524855791,0,1
1524859391,1,3
1524862932,1,0
1524863292,1,2
1524866592,1,0
1524870191,0,1
1524873792,1,1
1524877332,4,0
1524880992,3,6
1524884532,3,0
1524888193,3,4
1524895392,2,6
1524898995,1,4
1524902598,1,0
1524906192,3,1
1524909798,3,0
1524913398,1,3
1524916992,2,0
1524920592,0,3
1524924192,1,0
1524931397,1,42
1524934992,1,0
1524938592,1,5
1524942197,1,0
1524945801,1,3
1524949393,2,1
1524952992,1,0
1524956532,2,0
1524958813,2,1
1524967399,2,3
1524970993,1,3
1524974593,3,0
1524978195,1,6
1524981794,1,3
1524985395,1,0
1524988933,2,1
1524992595,1,0
1524996198,0,4
1524999793,1,0
1525003393,0,2
1525006993,2,2
1525010593,2,1
1525017793,1,0
1525021394,2,3
1525024993,1,2
1525032195,2,0
1525039393,0,1
1525042993,2,0
1525046594,0,1
1525050194,1,0
1525053734,1,1
1525057395,3,7
1525061001,3,4
1525064594,2,4
1525066994,3,0
1525068194,0,1
1525071795,1,1
1525075394,2,0
1525078994,1,0
1525082594,2,3
1525086196,2,1
1525089794,0,2
1525093395,0,1
1525096994,1,1
1525100596,1,0
1525104194,2,3
1525107794,1,2
1525111400,2,0
1525118536,2,0
1525129395,1,0
1525136535,1,2
1525140196,1,0
1525143795,1,4
1525147401,3,0
1525150995,1,5
1525158197,2,3
1525161795,2,3
1525165395,3,0
1525168996,1,2
1525172595,2,2
1525176135,2,0
1525179795,3,4
1525186995,1,0
1525190595,3,1
1525194195,3,1
1525195095,1,1
1525197795,0,2
1525201397,2,0
1525208597,0,1
1525212195,1,3
1525219396,1,0
1525222935,1,0
1525226538,3,4
1525230196,1,6
1525233797,3,0
1525237402,0,2
1525240996,2,0
1525244596,2,1
1525248136,2,0
1525251797,2,1
1525255396,2,0
1525259008,0,6
1525262539,2,0
1525266136,1,0
1525269796,2,2
1525273396,2,2
1525276996,1,2
1525280596,1,0
1525284198,1,1
1525287737,0,5
1525291337,1,0
1525294936,0,3
1525298596,0,2
1525302197,1,0
1525312996,2,1
1525316597,2,0
1525317077,1,6
1525320137,1,1
1525323797,2,3
1525327398,1,3
1525330937,1,0
1525334597,4,0
1525338198,1,1
1525341737,1,2
1525345397,0,1
1525348999,1,2
1525352599,1,0
1525356137,1,0
1525359797,0,1
1525363397,2,0
1525364317,4,0
1525367017,1,0
1525370619,1,0
1525374217,1,2
1525376437,1,3
1525381357,1,1
1525388558,1,2
1525395757,0,2
1525399421,1,0
1525402958,2,7
1525406561,2,0
1525410218,1,5
1525413819,3,0
1525417357,1,0
1525421017,1,2
1525424557,0,2
1525428217,3,0
1525431761,0,2
1525435358,1,0
1525439022,0,2
1525442619,3,0
1525446217,1,2
1525449818,0,1
1525453358,2,1
1525456962,2,0
1525460562,1,3
1525467819,0,3
1525471360,1,0
1525475022,0,2
1525478558,0,1
1525485758,0,1
1525489363,1,6
1525491098,4,0
1525496559,3,1
1525500158,1,2
1525507419,1,2
1525510958,1,2
1525514619,1,0
1525518158,2,2
1525521760,2,0
1525525359,1,0
1525528960,0,1
1525532560,3,1
1525536159,1,2
1525539761,0,2
1525543359,4,0
1525554219,0,1
1525557820,1,0
1525561419,1,2
1525564959,2,0
1525572161,1,1
1525575761,1,4
1525579419,3,2
1525582960,3,3
1525586621,1,0
1525590159,0,5
1525593759,1,1
1525597419,1,1
1525600961,3,0
1525604620,1,0
1525608160,3,4
1525615363,1,3
1525618960,1,3
1525622621,1,4
1525626220,3,0
1525633423,0,4
1525644225,1,0
1525651366,2,2
1525658560,2,3
1525662160,0,1
1525665763,4,4
1525669364,1,0
1525673021,3,4
1525676560,1,0
1525679920,1,2
1525680224,0,3
1525683820,2,0
1525687360,1,4
1525694560,0,2
1525701761,0,1
1525708961,0,2
1525716161,1,1
1525719821,1,3
1525723361,1,0
1525727021,1,0
1525730561,3,2
1525734222,1,0
1525737762,1,1
1525745021,1,2
1525748562,2,4
1525752221,3,0
1525755762,1,5
1525759482,2,1
1525761461,1,0
1525762962,0,5
1525766562,2,0
1525770163,0,2
1525773822,2,0
1525777362,1,1
1525784628,3,0
1525788162,0,2
1525791764,0,2
1525795364,2,0
1525799025,1,0
1525802563,1,0
1525806224,2,6
1525813364,1,1
1525816963,10,0
1525820563,1,2
1525824163,1,1
1525827763,1,2
1525831369,1,2
1525835023,1,0
1525838623,3,8
1525842164,2,0
1525845765,2,3
1525849364,1,0
1525852969,2,3
1525856565,2,0
1525860164,1,3
1525863769,1,0
1525871025,1,0
1525872421,1,2
1525874581,0,1
1525878183,1,0
1525881781,2,5
1525885381,1,0
1525888981,1,3
1525892581,1,0
1525896181,1,2
1525899781,1,2
1525903382,2,0
1525906981,1,0
1525910583,7,3
1525914182,2,0
1525917784,9,1
1525921384,4,7
1525924987,4,0
1525928592,2,3
1525932185,1,0
1525935810,0,4
1525942990,1,0
1525946587,1,0
1525950186,1,0
1525957386,0,1
1525960988,3,2
1525964591,1,0
1525968189,6,3
1525971790,2,0
1525975390,1,3
1525978989,4,0
1525986192,0,2
1525989732,2,0
1525993393,0,1
1525996991,1,0
1526007733,3,3
1526011567,4,6
1526014987,2,5
1526018589,1,0
1526022191,2,6
1526029388,3,3
1526032988,1,0
1526043793,0,2
1526047389,3,1
1526050929,0,1
1526054588,1,1
1526058189,2,0
1526061789,1,2
1526076190,1,2
1526083389,1,2
1526086989,0,1
1526090592,2,1
1526094191,2,3
1526097792,2,0
1526101392,1,0
1526104990,2,7
1526108590,2,3
1526108889,1,0
1526112189,0,1
1526115788,1,2
1526122989,1,2
1526126589,1,1
1526130192,1,0
1526133789,2,1
1526137390,1,0
1526140989,2,2
1526144590,1,0
1526148189,1,1
1526151789,4,2
1526155394,1,0
1526158929,1,0
1526162593,0,1
1526169790,5,2
1526176989,1,3
1526180590,1,0
1526184135,2,5
1526187790,0,7
1526191389,1,0
1526194994,2,2
1526198592,3,2
1526202131,3,0
1526205794,2,6
1526209395,1,0
1526212995,1,1
1526216593,0,1
1526219650,2,2
1526223791,4,3
1526227391,3,2
1526230990,2,4
1526238190,2,2
1526241790,2,0
1526245391,1,2
1526248990,0,1
1526252590,1,1
1526256190,1,0
1526263390,4,0
1526266994,1,0
1526270590,3,6
1526274196,3,0
1526277790,1,4
1526284991,1,2
1526288530,1,0
1526292191,1,2
1526295791,1,0
1526299334,1,0
1526301251,2,0
1526306592,1,2
1526313792,1,1
1526317332,11,0
1526320995,2,5
