DateTime,AddedIPs,RemovedIPs
1525039393,0,2
1525042993,2,0
1525046594,0,1
1525050194,1,3
1525053734,3,1
1525057395,4,5
1525061001,3,3
1525064594,2,2
1525066994,5,2
1525071795,2,2
1525075394,2,1
1525078994,1,1
1525082594,2,2
1525086196,4,2
1525089794,1,0
1525093395,0,2
1525096994,2,3
1525100596,2,0
1525104194,5,0
1525107794,3,1
1525111400,4,3
1525118536,2,1
1525122194,0,6
1525125794,1,2
1525129395,2,2
1525136535,2,2
1525140196,14,6
1525143795,1,1
1525147401,3,3
1525150995,1,6
1525154596,1,3
1525158197,3,2
1525161795,2,3
1525165395,3,2
1525168996,2,1
1525172595,2,1
1525176135,3,1
1525179795,3,2
1525183395,1,1
1525186995,1,1
1525190595,4,1
1525194195,4,4
1525195095,1,1
1525201397,4,4
1525204938,1,0
1525208597,1,0
1525212195,1,3
1525215796,3,2
1525219396,2,4
1525222935,1,0
1525226538,5,1
1525230196,2,3
1525233797,4,3
1525237402,1,4
1525240996,2,5
1525244596,2,2
1525248136,2,1
1525251797,3,2
1525255396,2,0
1525259008,1,3
1525262539,3,1
1525266136,3,1
1525269796,3,3
1525273396,3,5
1525276996,1,0
1525280596,4,1
1525284198,1,4
1525291337,1,2
1525294936,1,1
1525298596,2,1
1525302197,2,1
1525305797,0,1
1525309336,0,2
1525312996,2,3
1525316597,3,3
1525317077,1,2
1525320137,1,0
1525323797,2,2
1525327398,1,5
1525330937,1,1
1525334597,5,2
1525338198,1,1
1525341737,1,0
1525345397,1,0
1525348999,1,2
1525352599,1,2
1525356137,2,1
1525359797,0,1
1525363397,4,4
1525364317,5,1
1525367017,11,2
1525370619,2,2
1525374217,2,3
1525376437,2,2
1525377757,0,24
1525381357,2,6
1525384957,1,0
1525388558,1,1
1525392159,0,1
1525399421,2,1
1525402958,2,1
1525406561,2,4
1525410218,2,4
1525413819,3,3
1525417357,1,3
1525421017,2,1
1525424557,0,1
1525428217,4,2
1525431761,0,2
1525435358,1,2
1525439022,0,1
1525442619,4,1
1525446217,1,1
1525449818,1,2
1525453358,3,4
1525456962,2,0
1525460562,1,1
1525464159,0,5
1525467819,1,4
1525471360,1,2
1525475022,0,2
1525478558,1,1
1525482218,1,1
1525485758,1,0
1525489363,1,2
1525491098,4,4
1525496559,3,2
1525500158,1,3
1525503818,0,3
1525507419,1,0
1525510958,2,3
1525514619,1,0
1525518158,3,2
1525521760,2,1
1525525359,1,1
1525528960,13,0
1525532560,12,4
1525536159,12,4
1525539761,0,5
1525543359,4,2
1525550619,1,2
1525554219,2,1
1525557820,1,2
1525561419,1,1
1525564959,2,3
1525568559,4,0
1525572161,1,2
1525575761,1,1
1525579419,3,2
1525582960,3,5
1525586621,1,0
1525593759,2,2
1525597419,1,0
1525600961,3,2
1525604620,1,2
1525608160,3,1
1525611820,0,4
1525615363,1,16
1525618960,2,1
1525622621,2,12
1525626220,5,3
1525629762,0,1
1525633423,1,1
1525636960,0,1
1525644225,1,0
1525651366,2,3
1525658560,2,2
1525662160,0,1
1525665763,4,6
1525669364,1,3
1525673021,3,6
1525676560,2,2
1525679920,1,1
1525683820,2,2
1525687360,1,2
1525690961,0,2
1525694560,1,1
1525701761,1,3
1525705361,0,5
1525708961,2,1
1525712621,2,5
1525716161,2,1
1525719821,2,0
1525723361,1,4
1525727021,1,0
1525730561,4,1
1525734222,2,4
1525737762,2,1
1525741422,0,1
1525745021,2,1
1525748562,2,2
1525752221,3,5
1525755762,1,1
1525759482,2,4
1525761461,2,1
