DateTime,AddedIPs,RemovedIPs
1523129581,1,1
1523133181,1,0
1523136781,0,1
1523151181,1,0
1523154781,1,1
1523161981,0,2
1523165581,1,0
1523169181,1,0
1523172781,1,0
1523176381,0,1
1523179981,0,1
1523194381,1,0
1523197981,0,2
1523205181,0,1
1523208781,1,0
1523212381,0,1
1523219581,1,1
1523223181,1,1
1523233981,0,2
1523237581,1,1
1523244781,1,1
1523248381,1,0
1523259181,0,1
1523262781,1,0
1523266381,1,0
1523269981,2,1
1523277181,1,0
1523280781,0,1
1523284381,1,0
1523295181,0,1
1523305981,2,0
1523313181,1,0
1523320381,0,1
1523327582,0,2
1523334781,0,1
1523338381,2,0
1523341981,1,0
1523359981,0,3
1523367181,2,0
1523370781,1,1
1523374381,2,0
1523377981,1,0
1523381581,1,2
1523385181,2,0
1523392381,2,0
1523403181,1,0
1523428381,1,0
1523439181,1,1
1523446381,0,1
1523453581,1,0
1523457181,0,1
1523460781,1,0
1523464381,1,0
1523467981,3,0
1523471581,5,0
1523475181,2,1
1523478781,2,0
1523482381,0,1
1523485981,3,0
1523489581,4,1
1523496781,4,0
1523503981,0,1
1523507581,1,0
1523511181,0,1
1523518381,1,0
1523532781,0,1
1523536382,0,1
1523543581,1,0
1523550781,0,1
1523561581,0,1
1523575981,0,2
1523579581,0,1
1523586781,0,1
1523590381,2,0
1523593981,2,1
1523601181,1,0
1523604782,2,0
1523608381,1,0
1523611981,1,1
1523615581,0,1
1523619182,2,0
1523622781,2,0
1523629981,1,1
1523644381,1,0
1523647981,0,2
1523651581,1,0
1523659228,2,0
1523665981,1,0
1523676781,0,1
1523680381,1,1
1523687581,1,0
1523698381,0,1
1523705581,0,1
1523709181,2,0
1523712781,0,1
1523723581,1,0
1523727181,2,0
1523730781,1,0
1523737981,0,1
1523745181,3,3
1523759581,0,1
1523766781,1,0
1523770381,1,0
1523773981,0,2
1523777581,1,1
1523781181,1,1
1523788381,0,1
1523795581,2,0
1523799181,1,1
1523802781,2,0
1523806381,0,4
1523809981,0,1
1523813581,1,1
1523820781,0,3
1523827981,0,2
1523838781,0,1
1523842381,1,0
1523845982,0,1
1523856781,0,2
1523863981,1,1
1523867582,3,0
1523871181,0,2
1523874781,1,0
1523878381,0,1
1523881981,0,2
1523885582,1,0
1523892781,1,1
1523896381,2,0
1523899981,0,1
1523914381,1,2
1523917981,0,1
1523921581,1,0
1523925181,1,1
1523932381,1,0
1523943182,1,0
1523950382,0,1
1523953981,1,0
1523957581,1,1
1523961182,0,1
1523964781,0,2
1523968381,0,2
1523971981,0,3
1523975581,0,1
1523982781,0,2
1523989981,0,6
1523997181,0,2
1524000781,1,0
1524007981,0,4
1524011581,1,0
1524015181,1,2
1524025981,0,1
1524029581,0,2
1524036781,1,1
1524043981,0,2
1524047581,0,1
1524051181,2,1
1524058381,0,2
1524061981,1,1
1524065581,2,0
1524069181,0,6
1524072781,0,2
1524076381,1,0
1524079981,1,1
1524083581,0,1
1524090781,0,4
1524094381,0,0
1524097981,2,0
1524101581,1,0
1524123181,0,1
1524130381,0,1
1524133982,1,0
1524155581,1,0
1524159181,1,2
1524162781,1,0
1524169981,1,0
1524177181,0,1
1524180781,1,1
1524191581,1,0
1524195181,0,1
1524198781,0,1
1524202381,0,2
1524209581,0,3
1524220381,0,3
1524223981,0,2
1524231182,1,0
1524241982,0,1
1524245582,0,2
1524256381,0,2
1524285181,0,1
1524295981,0,1
1524299581,1,2
1524306781,1,0
1524317581,1,1
1524328381,1,0
1524342781,1,0
1524357181,0,1
1524360781,1,0
1524371582,0,1
1524378781,1,0
1524382381,1,0
1524389581,1,0
1524393181,0,1
1524400381,3,2
1524403982,6,0
1524418381,0,1
1524421982,1,0
1524425581,1,0
1524447182,0,1
1524454381,2,0
1524457981,0,1
1524468781,1,0
1524475981,3,0
1524479581,1,1
1524493981,0,2
1524497581,0,2
1524501181,2,0
1524504781,0,1
1524508381,1,0
1524519181,2,1
