DateTime,AddedIPs,RemovedIPs
1524263581,13,9
1524267181,8,9
1524270781,8,12
1524274381,12,11
1524281581,6,6
1524285181,11,12
1524292381,13,14
1524295981,13,13
1524299581,5,4
1524306781,15,15
1524313981,5,6
1524317581,17,17
1524324781,10,11
1524328381,13,11
1524335581,6,10
1524339181,14,11
1524342781,9,7
1524346382,8,8
1524349981,6,8
1524353581,5,4
1524357181,7,6
1524360781,5,8
1524367981,12,11
1524371582,15,15
1524378781,18,18
1524382381,6,6
1524389581,10,8
1524393181,12,13
1524400381,9,9
1524403982,14,15
1524411181,10,10
1524414781,10,10
1524421982,11,9
1524425581,13,14
1524432782,7,7
1524436382,12,10
1524443581,10,11
1524447182,10,10
1524454381,9,5
1524457981,7,10
1524465181,11,12
1524468781,11,11
1524475981,12,9
1524479581,5,11
1524486781,10,7
1524490381,14,15
1524497581,10,10
1524501181,14,12
1524508381,8,5
1524511981,7,13
1524519181,8,8
1524522782,8,8
1524529982,11,9
1524533581,6,7
1524537181,7,8
1524544382,7,7
1524547982,12,12
1524555181,6,7
1524558782,10,11
1524565981,15,14
1524569581,7,7
1524576781,14,13
1524580381,3,4
1524587581,18,14
1524591181,8,12
1524598381,7,7
1524601981,11,9
1524609181,7,7
1524612781,10,10
1524619981,13,13
1524623581,8,10
1524630781,8,6
1524634381,11,12
1524641582,3,5
1524645181,8,8
1524652381,9,7
1524655981,7,5
1524663181,16,18
1524666781,9,8
1524673981,12,10
1524677581,10,10
1524684781,11,10
1524688381,10,9
1524695581,12,13
1524699181,7,9
1524706381,10,9
1524709981,15,13
1524717181,4,7
1524720781,14,13
1524727981,13,12
1524731581,7,6
1524738781,13,13
1524742381,11,14
1524749581,16,12
1524753181,11,12
1524760381,11,12
1524763981,1,1
1524771181,11,12
1524774781,10,13
1524781981,13,10
1524785581,8,6
1524789181,9,9
1524796381,9,12
1524799981,10,10
1524807181,11,9
1524810781,7,6
1524817981,13,11
1524821581,7,10
1524828781,16,16
1524832381,12,10
1524839581,8,10
1524843181,9,8
1524850381,10,10
1524853982,7,11
1524857581,8,7
1524864781,12,11
1524868381,10,11
1524871982,14,14
1524875581,7,6
1524882781,15,16
1524886381,8,9
1524893581,14,11
1524897181,10,13
1524900781,5,5
1524907981,10,11
1524911581,18,14
1524915181,15,16
1524922382,6,6
1524925981,14,15
1524933181,12,10
1524936781,12,11
1524940381,5,5
1524947581,10,13
1524951181,11,10
1524954781,11,11
1524958382,10,6
1524961981,9,12
1524969181,12,10
1524972781,9,10
1524979981,8,8
1524983581,5,5
1524987182,12,12
1524994381,12,11
1524997982,13,15
1525005181,8,6
1525008781,13,15
1525015981,13,15
1525019581,12,11
1525026781,17,14
1525030382,10,8
1525037581,10,11
1525041181,15,12
1525048381,15,20
1525051981,15,12
1525059181,16,17
1525062781,12,15
1525069981,14,12
1525073581,10,10
1525080782,11,10
1525084381,11,9
1525091581,8,13
1525095181,10,10
1525099231,18,15
1525105981,10,8
1525113181,8,11
1525116781,12,14
1525123981,15,15
1525127582,8,9
1525131181,8,8
1525134781,8,6
1525141981,6,5
1525145581,5,6
1525149181,14,13
1525156381,7,11
1525159981,11,8
1525167182,16,14
1525170781,14,14
1525177981,13,11
1525181581,8,10
1525188782,14,17
1525192381,11,9
1525199581,8,8
1525203181,9,10
1525206781,10,11
1525213981,8,5
1525217581,8,9
1525224781,12,14
1525228381,11,10
1525235581,9,8
1525239181,6,7
1525246381,9,9
1525249981,10,12
1525257181,9,6
1525260781,12,13
1525267981,9,12
1525271581,14,12
1525278781,11,12
1525282381,13,10
1525285981,6,7
1525293181,10,8
1525296781,12,11
1525300885,11,14
1525303981,10,9
1525311181,9,9
1525314781,11,11
1525321981,9,8
1525325581,11,16
1525332781,10,6
1525336381,13,14
1525343581,7,5
1525347182,12,10
1525354381,12,15
1525357981,9,8
1525361581,13,15
1525368781,10,4
1525372381,5,7
1525375981,11,11
1525383182,12,11
1525386781,7,6
1525390381,12,12
1525393981,6,8
1525397581,5,7
1525401181,10,8
1525408381,17,16
1525411981,14,18
1525419181,9,10
1525422782,8,6
1525429981,15,16
1525433582,15,17
1525440781,14,12
1525444381,4,7
1525451581,12,12
1525455181,16,12
1525458781,6,8
1525462381,9,6
1525469582,11,11
